epoch,critic_loss,actor_loss,q1_loss,q2_loss,cost_loss,expected_cost,lagrange,expert_kl,smoothness,avg_return,survival_rate,mortality_rate,avg_length,inadmissibility_rate,expert_argmax_match,mean_kl_to_expert,policy_entropy,mean_action_deviation_from_expert,soft_survival_rate,soft_inadmissibility_rate,soft_avg_return,soft_policy_entropy,soft_mean_kl_to_expert
1,1.7963509559631348,0.07105393707752228,0.027255166321992874,0.026265114545822144,0.00509863393381238,0.05305925011634827,1.0611850023269654e-05,1.3463103771209717,0.27155423164367676,,,,,,,,,,,,,,
2,1.7233054637908936,0.0725259780883789,0.022877594456076622,0.020016919821500778,0.0042417412623763084,0.045536674559116364,1.9719184935092927e-05,1.3294175863265991,0.2724011540412903,,,,,,,,,,,,,,
3,1.6634188890457153,0.0739583969116211,0.020482469350099564,0.019441919401288033,0.0035843555815517902,0.04221515730023384,2.8162216395139694e-05,1.3129076957702637,0.27279171347618103,,,,,,,,,,,,,,
4,1.611918568611145,0.07491407543420792,0.023284299299120903,0.02251543290913105,0.0035265786573290825,0.03745961934328079,3.565414026379585e-05,1.2863621711730957,0.2720548212528229,,,,,,,,,,,,,,
5,1.5690698623657227,0.07700562477111816,0.025786984711885452,0.02836100570857525,0.0034624640829861164,0.03417157009243965,4.2488454282283785e-05,1.263075828552246,0.2709634602069855,,,,,,,,,,,,,,
6,1.532126784324646,0.07485131174325943,0.034125056117773056,0.03830631077289581,0.0031923558562994003,0.03157893568277359,4.88042414188385e-05,1.2371798753738403,0.2693561017513275,,,,,,,,,,,,,,
7,1.5039974451065063,0.07325877994298935,0.04520159587264061,0.05489303544163704,0.003211251925677061,0.029108969494700432,5.462603531777859e-05,1.2078455686569214,0.2683895528316498,,,,,,,,,,,,,,
8,1.4805288314819336,0.06499150395393372,0.05806107819080353,0.07103652507066727,0.003301273100078106,0.026958195492625237,6.001767441630364e-05,1.1780503988265991,0.26569709181785583,,,,,,,,,,,,,,
9,1.4654381275177002,0.05509835481643677,0.0746210440993309,0.08952867239713669,0.0031893558334559202,0.02585378661751747,6.518843173980713e-05,1.1516659259796143,0.26389777660369873,,,,,,,,,,,,,,
10,1.4569365978240967,0.03926623612642288,0.08975975960493088,0.10901908576488495,0.002989684697240591,0.025612596422433853,7.03109510242939e-05,1.116585612297058,0.26082074642181396,0.7001627683639526,0.7001627683639526,0.29983723163604736,26.200546264648438,0.0,0.9978345632553101,0.9168972969055176,-0.0,0.5709724426269531,0.49637243151664734,0.0,0.49637243151664734,1.6240653991699219,1.1409461498260498
11,1.4492835998535156,0.023174572736024857,0.10585487633943558,0.12410856783390045,0.0027351866010576487,0.02501627989113331,7.531420700252056e-05,1.0884255170822144,0.25845620036125183,,,,,,,,,,,,,,
12,1.442541480064392,0.0011793592711910605,0.1174875870347023,0.13558180630207062,0.0029036125633865595,0.0241792481392622,8.0150056630373e-05,1.0560364723205566,0.2551984190940857,,,,,,,,,,,,,,
13,1.4341241121292114,-0.01958303153514862,0.12745340168476105,0.14385075867176056,0.002723313169553876,0.024366388097405434,8.502333424985407e-05,1.020695686340332,0.2511390745639801,,,,,,,,,,,,,,
14,1.425234317779541,-0.04063573107123375,0.1336340457201004,0.14254450798034668,0.002629035385325551,0.025821032002568245,9.018754065036772e-05,0.9936580061912537,0.24848169088363647,,,,,,,,,,,,,,
15,1.4278712272644043,-0.0666482001543045,0.1401783972978592,0.1453029364347458,0.00248731323517859,0.02864847704768181,9.591723605990408e-05,0.9587615728378296,0.24438989162445068,,,,,,,,,,,,,,
16,1.4118314981460571,-0.08312883973121643,0.1386459618806839,0.1416601836681366,0.0023443906102329493,0.031286414712667465,0.00010217451900243757,0.9309566617012024,0.24089579284191132,,,,,,,,,,,,,,
17,1.4035358428955078,-0.10355281084775925,0.1370374858379364,0.13520626723766327,0.002173918066546321,0.03371143713593483,0.00010891680642962453,0.8946837186813354,0.23612600564956665,,,,,,,,,,,,,,
18,1.3976962566375732,-0.12155075371265411,0.13418298959732056,0.12858135998249054,0.0022732610814273357,0.037203676998615265,0.00011635754182934758,0.8590579032897949,0.23154377937316895,,,,,,,,,,,,,,
19,1.3932478427886963,-0.13878707587718964,0.12993906438350677,0.12328185886144638,0.0021594318095594645,0.03847147151827812,0.00012405183613300322,0.8264293670654297,0.226994127035141,,,,,,,,,,,,,,
20,1.3853873014450073,-0.1486765593290329,0.12709762156009674,0.11799713224172592,0.0021490363869816065,0.03878973796963692,0.00013180978372693061,0.7924178838729858,0.22226764261722565,0.7001627683639526,0.7001627683639526,0.29983723163604736,26.200546264648438,0.0,0.9978345632553101,0.9168972969055176,-0.0,0.5709724426269531,0.5406180024147034,0.0,0.5406180024147034,1.5433104038238525,0.8366400003433228
21,1.3809446096420288,-0.15874339640140533,0.12336952239274979,0.1143723800778389,0.0020850300788879395,0.03847378492355347,0.0001395045407116413,0.7625106573104858,0.21753321588039398,,,,,,,,,,,,,,
22,1.375840425491333,-0.17634093761444092,0.1140027642250061,0.10675178468227386,0.0019953816663473845,0.037223055958747864,0.00014694915190339086,0.72406005859375,0.2115187793970108,,,,,,,,,,,,,,
23,1.3752543926239014,-0.19043879210948944,0.11366044729948044,0.10598982870578766,0.0019876747392117977,0.03943091630935669,0.0001548353351652622,0.6896727681159973,0.20634052157402039,,,,,,,,,,,,,,
24,1.367749571800232,-0.19531559944152832,0.10938239842653275,0.10126452147960663,0.001888719038106501,0.03424955531954765,0.00016168524622917172,0.6632171869277954,0.20159992575645447,,,,,,,,,,,,,,
25,1.365316390991211,-0.20985740423202515,0.10666318982839584,0.0994735062122345,0.001797974924556911,0.031961582601070404,0.0001680775627493858,0.6271768808364868,0.19496701657772064,,,,,,,,,,,,,,
26,1.3606780767440796,-0.2246871441602707,0.10523195564746857,0.09842676669359207,0.001759480219334364,0.03108469769358635,0.0001742945022881031,0.5930354595184326,0.1892765909433365,,,,,,,,,,,,,,
27,1.359089970588684,-0.23770016431808472,0.10284555703401566,0.09818865358829498,0.0017558411927893758,0.029542988166213036,0.0001802030999213457,0.5647537708282471,0.1836472451686859,,,,,,,,,,,,,,
28,1.3563323020935059,-0.2589498460292816,0.10609476268291473,0.10366419702768326,0.0017466809367761016,0.027239948511123657,0.00018565108962357042,0.5308287143707275,0.1771964281797409,,,,,,,,,,,,,,
29,1.3562067747116089,-0.26950719952583313,0.10713345557451248,0.10679735988378525,0.001755617675371468,0.02550911158323288,0.000190752911940217,0.5079036951065063,0.17215214669704437,,,,,,,,,,,,,,
30,1.3517162799835205,-0.29111602902412415,0.11233385652303696,0.11157809942960739,0.0015944456681609154,0.028245482593774796,0.00019640200845897197,0.47753557562828064,0.16623616218566895,0.7001627683639526,0.7001627683639526,0.29983723163604736,26.200546264648438,0.0,0.9978345632553101,0.9168972969055176,-0.0,0.5709724426269531,0.597199022769928,0.0,0.597199022769928,1.3059132099151611,0.5038848519325256
31,1.3504139184951782,-0.3199687898159027,0.1133456826210022,0.11327691376209259,0.0016051649581640959,0.025336308404803276,0.00020146927013993263,0.44643715023994446,0.1588924080133438,,,,,,,,,,,,,,
32,1.3507866859436035,-0.3396015763282776,0.11452410370111465,0.1180659756064415,0.0015952123794704676,0.025636665523052216,0.00020659660324454308,0.4226240813732147,0.15331482887268066,,,,,,,,,,,,,,
33,1.3479924201965332,-0.3560611605644226,0.11529431492090225,0.11967669427394867,0.0014899420784786344,0.027053125202655792,0.00021200722828507423,0.40035006403923035,0.1474662721157074,,,,,,,,,,,,,,
34,1.3456422090530396,-0.38427090644836426,0.11908628046512604,0.12512929737567902,0.0013991178711876273,0.02804735116660595,0.00021761669851839543,0.37437695264816284,0.14061397314071655,,,,,,,,,,,,,,
35,1.3450897932052612,-0.40163806080818176,0.12083352357149124,0.1257794201374054,0.0013824687339365482,0.032336294651031494,0.00022408395744860171,0.35371145606040955,0.1346939653158188,,,,,,,,,,,,,,
36,1.345697283744812,-0.43166232109069824,0.12105486541986465,0.12798286974430084,0.0014289289247244596,0.033491045236587524,0.00023078216649591922,0.3312872648239136,0.12775906920433044,,,,,,,,,,,,,,
37,1.3412665128707886,-0.44878023862838745,0.11988060176372528,0.12767969071865082,0.001426549511961639,0.0340365432202816,0.00023758947513997553,0.3130275309085846,0.12256157398223877,,,,,,,,,,,,,,
38,1.3412539958953857,-0.46654993295669556,0.12308326363563538,0.13094574213027954,0.0014208630891516805,0.03954780474305153,0.00024549903608858583,0.3015032410621643,0.11723829060792923,,,,,,,,,,,,,,
39,1.3408743143081665,-0.48521924018859863,0.1204780712723732,0.12787872552871704,0.0012990242103114724,0.04189620912075043,0.0002538782779127359,0.2806780934333801,0.11006360501050949,,,,,,,,,,,,,,
40,1.3402795791625977,-0.5096462368965149,0.12045416235923767,0.12627345323562622,0.0012927380157634616,0.045242030173540115,0.00026292668394744395,0.26752161979675293,0.10545811802148819,0.7001627683639526,0.7001627683639526,0.29983723163604736,26.200546264648438,0.0,0.9978345632553101,0.9168972969055176,-0.0,0.5709724426269531,0.6524980664253235,0.0,0.6524980664253235,0.867880642414093,0.23938901722431183
41,1.3371992111206055,-0.5245705246925354,0.122540183365345,0.12861113250255585,0.0013441938208416104,0.04215242713689804,0.0002713571693748236,0.2569184899330139,0.10009098052978516,,,,,,,,,,,,,,
42,1.3374016284942627,-0.5473117828369141,0.12079562991857529,0.12594155967235565,0.001298193703405559,0.042063694447278976,0.0002797699082642794,0.24103312194347382,0.09367610514163971,,,,,,,,,,,,,,
43,1.3362197875976562,-0.5569343566894531,0.12020616978406906,0.12494832277297974,0.0011540522100403905,0.040730126202106476,0.0002879159335047007,0.2382296472787857,0.08996861428022385,,,,,,,,,,,,,,
44,1.336506962776184,-0.5704461336135864,0.12003491818904877,0.1213146224617958,0.001339741749688983,0.03568143770098686,0.00029505222104489806,0.22930748760700226,0.08456247299909592,,,,,,,,,,,,,,
45,1.334825873374939,-0.5838204026222229,0.1210472583770752,0.12156150490045547,0.001250942936167121,0.031129950657486916,0.0003012782111763955,0.22860026359558105,0.08095812797546387,,,,,,,,,,,,,,
46,1.3335293531417847,-0.5960447192192078,0.1194230392575264,0.11994922906160355,0.0011391235748305917,0.030441101640462875,0.00030736643150448806,0.2228381484746933,0.07622633129358292,,,,,,,,,,,,,,
47,1.3339643478393555,-0.6117858290672302,0.11777298897504807,0.11742271482944489,0.001145336078479886,0.028503527864813805,0.00031306713707745083,0.22379064559936523,0.07276048511266708,,,,,,,,,,,,,,
48,1.3342702388763428,-0.6261747479438782,0.11888333410024643,0.11792650818824768,0.0011679454473778605,0.026694605126976967,0.00031840605810284624,0.22267062962055206,0.0689423456788063,,,,,,,,,,,,,,
49,1.3344285488128662,-0.6385653018951416,0.12165609002113342,0.11798521876335144,0.0011485905852168798,0.02412320114672184,0.0003232306983321906,0.2203950136899948,0.06629201769828796,,,,,,,,,,,,,,
50,1.3315290212631226,-0.6514872908592224,0.120462566614151,0.11854208260774612,0.0011241334723308682,0.02368534728884697,0.00032796776778996,0.2324146181344986,0.06286435574293137,0.7001627683639526,0.7001627683639526,0.29983723163604736,26.200546264648438,0.0,0.9978345632553101,0.9168972969055176,-0.0,0.5709724426269531,0.6837209463119507,0.0,0.6837209463119507,0.43213972449302673,0.1418878138065338
51,1.3325769901275635,-0.6655705571174622,0.12012659758329391,0.11908702552318573,0.001148845418356359,0.0249593798071146,0.0003329596437513829,0.2334502786397934,0.06006985902786255,,,,,,,,,,,,,,
52,1.3319952487945557,-0.6668710708618164,0.12277297675609589,0.1220887154340744,0.0010608478914946318,0.026375295594334602,0.0003382347028702498,0.23909147083759308,0.058237385004758835,,,,,,,,,,,,,,
53,1.3321819305419922,-0.6827412247657776,0.12146111577749252,0.12179351598024368,0.0011322225909680128,0.026843354105949402,0.0003436033736914397,0.2421215921640396,0.05589405819773674,,,,,,,,,,,,,,
54,1.332153558731079,-0.6851903200149536,0.12182048708200455,0.1221693903207779,0.0011231940006837249,0.026881907135248184,0.00034897975511848935,0.2514052391052246,0.05439525097608566,,,,,,,,,,,,,,
55,1.3309242725372314,-0.7039451599121094,0.12263253331184387,0.1246737688779831,0.0011422923998907208,0.03004402667284012,0.0003549885604530574,0.25406673550605774,0.05183291435241699,,,,,,,,,,,,,,
56,1.3316266536712646,-0.7219157218933105,0.12420079857110977,0.12560829520225525,0.0010406816145405173,0.03136938437819481,0.0003612624373286963,0.2619280219078064,0.050403892993927,,,,,,,,,,,,,,
57,1.3310840129852295,-0.7169065475463867,0.12506888806819916,0.12548425793647766,0.0009865059982985258,0.03439722955226898,0.0003681418832391501,0.27114003896713257,0.04876071587204933,,,,,,,,,,,,,,
58,1.331741213798523,-0.7241533398628235,0.12344340234994888,0.12720169126987457,0.0009118531015701592,0.03520549461245537,0.0003751829821616412,0.27626076340675354,0.04815929755568504,,,,,,,,,,,,,,
59,1.3301517963409424,-0.7267916798591614,0.12608009576797485,0.12831874191761017,0.0009637604234740138,0.03595448285341263,0.0003823738787323237,0.28566139936447144,0.04643027111887932,,,,,,,,,,,,,,
60,1.3318413496017456,-0.7376555800437927,0.12363167107105255,0.12585794925689697,0.0009682955569587648,0.03633065149188042,0.00038964000903069976,0.2984941899776459,0.045479800552129745,0.7001627683639526,0.7001627683639526,0.29983723163604736,26.200546264648438,0.0,0.9978345632553101,0.9168972969055176,-0.0,0.5709724426269531,0.6945075988769531,0.0,0.6945075988769531,0.19333259761333466,0.16022075712680817
61,1.331272006034851,-0.7456948757171631,0.12331593781709671,0.12746617197990417,0.0009517786675132811,0.03452220931649208,0.00039654445089399817,0.3075566291809082,0.04512603580951691,,,,,,,,,,,,,,
62,1.3303762674331665,-0.7428998947143555,0.12454412132501602,0.12659260630607605,0.0009318965603597462,0.036744602024555206,0.0004038933712989092,0.3094785511493683,0.04427182674407959,,,,,,,,,,,,,,
63,1.3317713737487793,-0.7522549033164978,0.12540654838085175,0.127668559551239,0.0009684244869276881,0.03083636611700058,0.00041006064452230934,0.3160616457462311,0.04276816174387932,,,,,,,,,,,,,,
64,1.33083975315094,-0.7516372799873352,0.12230504304170609,0.1254088580608368,0.0010145927080884576,0.031213771551847458,0.0004163033988326788,0.323610782623291,0.04256485402584076,,,,,,,,,,,,,,
65,1.3312907218933105,-0.7666309475898743,0.12290078401565552,0.12489154934883118,0.0009077683207578957,0.030666112899780273,0.0004224366214126349,0.3373662233352661,0.04163353517651558,,,,,,,,,,,,,,
66,1.3310983180999756,-0.7726166844367981,0.12150071561336517,0.12269360572099686,0.0008851895690895617,0.02652801387012005,0.0004277422241866589,0.34542858600616455,0.041693516075611115,,,,,,,,,,,,,,
67,1.3312304019927979,-0.7708673477172852,0.12412988394498825,0.12456453591585159,0.0008661301108077168,0.02900843508541584,0.00043354391120374206,0.3516332507133484,0.04112964868545532,,,,,,,,,,,,,,
