epoch,critic_loss,actor_loss,q1_loss,q2_loss,cost_loss,cql_q1,cql_q2,expected_immediate_cost,expected_cost_to_go,expected_support_cost,expected_smoothness_cost,expected_uncertainty_cost,exact_soft_inadmissibility_rate,support_cost_for_lambda,smooth_cost_for_lambda,uncertainty_cost_for_lambda,cost_budget,support_budget,smooth_budget,uncertainty_budget,lagrange,lambda_inad,lambda_support,lambda_smooth,lambda_uncertainty,expert_kl,uses_action_mask,use_certified_nudging,barrier_weight,support_weight,rho_cost,rho_reward,avg_return,survival_rate,mortality_rate,avg_length,inadmissibility_rate,expert_argmax_match,mean_kl_to_expert,policy_entropy,mean_action_deviation_from_expert,soft_survival_rate,soft_inadmissibility_rate,soft_avg_return,soft_policy_entropy,soft_mean_kl_to_expert
1,4.1992011070251465,0.37410950660705566,0.03993713855743408,0.042423609644174576,0.8237481117248535,3.2988154888153076,3.2873692512512207,1.9420879482368036e-07,0.0889621376991272,0.31362783908843994,0.054039116948843,0.0829392820596695,1.9420879482368036e-07,0.31362783908843994,0.054039116948843,0.0829392820596695,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0011267667869105935,False,True,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,
2,4.105852127075195,0.30191612243652344,0.035925544798374176,0.03831151872873306,0.8090869188308716,3.236326217651367,3.2087299823760986,1.7458019385685475e-07,0.08731462061405182,0.2917897701263428,0.05200370401144028,0.08447964489459991,1.7458019385685475e-07,0.2917897701263428,0.05200370401144028,0.08447964489459991,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0020906853023916483,False,True,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,
3,4.013716697692871,0.2269718050956726,0.03350973129272461,0.03565889224410057,0.7919115424156189,3.1782145500183105,3.127058744430542,1.56476133383876e-07,0.08921389281749725,0.27301025390625,0.05019206553697586,0.0890953466296196,1.56476133383876e-07,0.27301025390625,0.05019206553697586,0.0890953466296196,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0044853598810732365,False,True,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,
4,3.9208853244781494,0.14606718719005585,0.03331662714481354,0.03539036959409714,0.7725238800048828,3.1097517013549805,3.0495572090148926,1.393194395404862e-07,0.08840636163949966,0.25419530272483826,0.04844067245721817,0.08975739032030106,1.393194395404862e-07,0.25419530272483826,0.04844067245721817,0.08975739032030106,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.009118840098381042,False,True,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,
5,3.832258939743042,0.07267110794782639,0.033913321793079376,0.03566959872841835,0.750931441783905,3.049267053604126,2.974221706390381,1.2491251766277855e-07,0.0996789038181305,0.23924171924591064,0.04703027009963989,0.09751667082309723,1.2491251766277855e-07,0.23924171924591064,0.04703027009963989,0.09751667082309723,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.013540913350880146,False,True,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,
6,3.7362661361694336,-0.007931698113679886,0.03701486811041832,0.03854621574282646,0.7255234122276306,2.974656581878662,2.8957066535949707,1.1147103862185759e-07,0.10620997101068497,0.22562585771083832,0.04575686901807785,0.09941048920154572,1.1147103862185759e-07,0.22562585771083832,0.04575686901807785,0.09941048920154572,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0192994624376297,False,True,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,
7,3.637212038040161,-0.09386152029037476,0.042655330151319504,0.04531056433916092,0.6963207721710205,2.8994901180267334,2.8063607215881348,9.901924613586743e-08,0.11811304092407227,0.21223749220371246,0.044491492211818695,0.10596490651369095,9.901924613586743e-08,0.21223749220371246,0.044491492211818695,0.10596490651369095,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.026512032374739647,False,True,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,
8,3.536069631576538,-0.18280969560146332,0.05188450962305069,0.05413603037595749,0.6635938882827759,2.814162492752075,2.718747854232788,8.75474697181744e-08,0.1319703608751297,0.1999894231557846,0.04329584166407585,0.10912209749221802,8.75474697181744e-08,0.1999894231557846,0.04329584166407585,0.10912209749221802,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.035301052033901215,False,True,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,
9,3.438755512237549,-0.27495741844177246,0.065370574593544,0.0670909434556961,0.6286225318908691,2.724581003189087,2.6307621002197266,7.749143549062865e-08,0.13956832885742188,0.1900889128446579,0.04238736256957054,0.11153466254472733,7.749143549062865e-08,0.1900889128446579,0.04238736256957054,0.11153466254472733,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.044222310185432434,False,True,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,
10,3.343486785888672,-0.37705495953559875,0.08003130555152893,0.08191557228565216,0.5920918583869934,2.6373562812805176,2.541539430618286,6.799619711728155e-08,0.14899666607379913,0.18011991679668427,0.04148855060338974,0.11575700342655182,7.238181826355369e-08,0.1773172914981842,0.04120025411248207,0.11096559464931488,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.055009618401527405,False,True,0.0,1.0,1.0,1.0,0.7001627683639526,0.7001627683639526,0.29983723163604736,26.200546264648438,0.0,0.9978345632553101,0.9168972969055176,-0.0,0.5709724426269531,0.697953999042511,7.238181826355369e-08,0.697953999042511,0.12292428314685822,0.03304921090602875
