epoch,critic_loss,actor_loss,q1_loss,q2_loss,cost_loss,cql_q1,cql_q2,expected_immediate_cost,expected_cost_to_go,expected_support_cost,expected_smoothness_cost,expected_uncertainty_cost,exact_soft_inadmissibility_rate,support_cost_for_lambda,smooth_cost_for_lambda,uncertainty_cost_for_lambda,cost_budget,support_budget,smooth_budget,uncertainty_budget,lagrange,lambda_inad,lambda_support,lambda_smooth,lambda_uncertainty,expert_kl,uses_action_mask,use_certified_nudging,barrier_weight,support_weight,rho_cost,rho_reward,avg_return,survival_rate,mortality_rate,avg_length,inadmissibility_rate,expert_argmax_match,mean_kl_to_expert,policy_entropy,mean_action_deviation_from_expert,soft_survival_rate,soft_inadmissibility_rate,soft_avg_return,soft_policy_entropy,soft_mean_kl_to_expert
1,4.133920192718506,0.37401118874549866,0.03993714600801468,0.042423613369464874,0.7584671974182129,3.2988154888153076,3.2873692512512207,2.6972968043973612e-18,0.04260924085974693,0.3135921359062195,0.05403676629066467,0.08238586783409119,2.6972968043973612e-18,0.3135921359062195,0.05403676629066467,0.08238586783409119,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.001129204174503684,False,True,25.0,1.0,0.0,1.0,,,,,,,,,,,,,,
2,4.041449546813965,0.30143243074417114,0.035899169743061066,0.03826199099421501,0.7448186874389648,3.236563205718994,3.208376407623291,2.424524484830956e-18,0.03601595014333725,0.2917073369026184,0.051997534930706024,0.07973426580429077,2.424524484830956e-18,0.2917073369026184,0.051997534930706024,0.07973426580429077,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0021044646855443716,False,True,25.0,1.0,0.0,1.0,,,,,,,,,,,,,,
3,3.9503090381622314,0.22612853348255157,0.0334370918571949,0.03559727966785431,0.7287225127220154,3.1786859035491943,3.1264185905456543,2.1728789784946145e-18,0.0313098207116127,0.27290284633636475,0.050183240324258804,0.0805991142988205,2.1728789784946145e-18,0.27290284633636475,0.050183240324258804,0.0805991142988205,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.004515801090747118,False,True,25.0,1.0,0.0,1.0,,,,,,,,,,,,,,
4,3.8586792945861816,0.14516299962997437,0.03319941461086273,0.035318512469530106,0.7105737924575806,3.110527276992798,3.048647403717041,1.934790962398017e-18,0.02471855841577053,0.2541084289550781,0.04843433201313019,0.07773059606552124,1.934790962398017e-18,0.2541084289550781,0.04843433201313019,0.07773059606552124,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.009168995544314384,False,True,25.0,1.0,0.0,1.0,,,,,,,,,,,,,,
5,3.771228075027466,0.07131519168615341,0.03373710438609123,0.03558996319770813,0.6901770234107971,3.050219774246216,2.9732282161712646,1.734474391214852e-18,0.023440850898623466,0.23915961384773254,0.047025829553604126,0.08004922419786453,1.734474391214852e-18,0.23915961384773254,0.047025829553604126,0.08004922419786453,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.013617158867418766,False,True,25.0,1.0,0.0,1.0,,,,,,,,,,,,,,
6,3.6768057346343994,-0.00911676324903965,0.036782074719667435,0.0384688675403595,0.666341245174408,2.9757893085479736,2.8946375846862793,1.548086093981008e-18,0.020024167373776436,0.22558318078517914,0.04575401172041893,0.07916562259197235,1.548086093981008e-18,0.22558318078517914,0.04575401172041893,0.07916562259197235,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.01936066523194313,False,True,25.0,1.0,0.0,1.0,,,,,,,,,,,,,,
7,3.579627752304077,-0.09538714587688446,0.042346566915512085,0.045195311307907104,0.6390550136566162,2.9008214473724365,2.8052403926849365,1.37531339642494e-18,0.019476551562547684,0.21221862733364105,0.04449128732085228,0.08248795568943024,1.37531339642494e-18,0.21221862733364105,0.04449128732085228,0.08248795568943024,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0265873484313488,False,True,25.0,1.0,0.0,1.0,,,,,,,,,,,,,,
8,3.4806482791900635,-0.18414439260959625,0.05147054046392441,0.05395738407969475,0.6085451245307922,2.815737247467041,2.7176132202148438,1.2162286768502463e-18,0.020623259246349335,0.20000670850276947,0.04329889640212059,0.08415403217077255,1.2162286768502463e-18,0.20000670850276947,0.04329889640212059,0.08415403217077255,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.03536606207489967,False,True,25.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,3.3858802318573,-0.27590805292129517,0.06486549228429794,0.06683298945426941,0.5761920809745789,2.726330518722534,2.6296489238739014,1.0767915647752184e-18,0.02142028883099556,0.19014766812324524,0.04239386320114136,0.0870266705751419,1.0767915647752184e-18,0.19014766812324524,0.04239386320114136,0.0870266705751419,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.044221051037311554,False,True,25.0,1.0,0.0,1.0,,,,,,,,,,,,,,
10,3.2935380935668945,-0.3779044449329376,0.07936138659715652,0.08159081637859344,0.5426318645477295,2.6395468711853027,2.540360927581787,9.450039088123512e-19,0.023594709113240242,0.18018996715545654,0.04149486869573593,0.08955729007720947,1.0062727129165188e-18,0.17740654945373535,0.04120923951268196,0.08640119433403015,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.055011436343193054,False,True,25.0,1.0,0.0,1.0,0.7001627683639526,0.7001627683639526,0.29983723163604736,26.200546264648438,0.0,0.9978345632553101,0.9168972969055176,-0.0,0.5709724426269531,0.6979522705078125,1.0062727129165188e-18,0.6979522705078125,0.12302733957767487,0.03301176801323891
