epoch,critic_loss,actor_loss,q1_loss,q2_loss,cost_loss,cql_q1,cql_q2,expected_immediate_cost,expected_cost_to_go,expected_support_cost,expected_smoothness_cost,expected_uncertainty_cost,exact_soft_inadmissibility_rate,support_cost_for_lambda,smooth_cost_for_lambda,uncertainty_cost_for_lambda,cost_budget,support_budget,smooth_budget,uncertainty_budget,lagrange,lambda_inad,lambda_support,lambda_smooth,lambda_uncertainty,expert_kl,uses_action_mask,use_certified_nudging,barrier_weight,support_weight,rho_cost,rho_reward,avg_return,survival_rate,mortality_rate,avg_length,inadmissibility_rate,expert_argmax_match,mean_kl_to_expert,policy_entropy,mean_action_deviation_from_expert,soft_survival_rate,soft_inadmissibility_rate,soft_avg_return,soft_policy_entropy,soft_mean_kl_to_expert
1,4.185951232910156,0.06936182081699371,0.028160009533166885,0.02860441245138645,0.9195846915245056,3.185919761657715,3.233283758163452,0.8739402294158936,0.101153165102005,16.28329086303711,0.35190364718437195,0.11133212596178055,0.8739402294158936,16.28329086303711,0.35190364718437195,0.11133212596178055,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,2.3484511375427246,False,False,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,
2,4.130726337432861,0.07471785694360733,0.02919411100447178,0.030047399923205376,0.9039546847343445,3.145419120788574,3.189641237258911,0.8693334460258484,0.11824296414852142,16.202802658081055,0.3509126901626587,0.11745485663414001,0.8693334460258484,16.202802658081055,0.3509126901626587,0.11745485663414001,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,2.2974672317504883,False,False,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,
3,4.07320499420166,0.08052048832178116,0.031094146892428398,0.03251989185810089,0.8851264119148254,3.1026885509490967,3.146240234375,0.8637470006942749,0.13923096656799316,16.105213165283203,0.3497242033481598,0.12624309957027435,0.8637470006942749,16.105213165283203,0.3497242033481598,0.12624309957027435,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,2.239077091217041,False,False,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,
4,4.0128302574157715,0.08443006128072739,0.03531968221068382,0.03687954694032669,0.8614016175270081,3.0579469203948975,3.1005122661590576,0.8576668500900269,0.16258502006530762,15.99886703491211,0.34886935353279114,0.13477912545204163,0.8576668500900269,15.99886703491211,0.34886935353279114,0.13477912545204163,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,2.1805074214935303,False,False,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,
5,3.9515790939331055,0.08741679787635803,0.040868766605854034,0.04258854314684868,0.8348300457000732,3.011197566986084,3.0553858280181885,0.8501640558242798,0.19170595705509186,15.867871284484863,0.3479180335998535,0.1453501433134079,0.8501640558242798,15.867871284484863,0.3479180335998535,0.1453501433134079,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,2.115034580230713,False,False,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,
6,3.8834221363067627,0.08669264614582062,0.048576075583696365,0.04976961761713028,0.80181485414505,2.9614686965942383,3.005054473876953,0.8412333726882935,0.22606778144836426,15.711150169372559,0.3467664122581482,0.15722574293613434,0.8412333726882935,15.711150169372559,0.3467664122581482,0.15722574293613434,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,2.0401017665863037,False,False,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,
7,3.811788558959961,0.08019135147333145,0.05851944535970688,0.059006091207265854,0.7638943791389465,2.9044134616851807,2.9563238620758057,0.8317594528198242,0.2644171118736267,15.545263290405273,0.3462265133857727,0.16842715442180634,0.8317594528198242,15.545263290405273,0.3462265133857727,0.16842715442180634,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,1.9701241254806519,False,False,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,
8,3.7368698120117188,0.06828635185956955,0.07184203714132309,0.07076645642518997,0.7202817797660828,2.8472564220428467,2.900702953338623,0.8206377625465393,0.3108314871788025,15.3499116897583,0.34521347284317017,0.18180833756923676,0.8206377625465393,15.3499116897583,0.34521347284317017,0.18180833756923676,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,1.8929039239883423,False,False,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,
9,3.65584659576416,0.04524391144514084,0.08726809918880463,0.08416729420423508,0.6696122288703918,2.7857656478881836,2.843832492828369,0.8081501722335815,0.3628191351890564,15.130409240722656,0.34431952238082886,0.19449838995933533,0.8081501722335815,15.130409240722656,0.34431952238082886,0.19449838995933533,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,1.8155274391174316,False,False,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,
10,3.5744071006774902,0.014174998737871647,0.10570321977138519,0.09996058791875839,0.6152338981628418,2.7205986976623535,2.7864201068878174,0.7946054339408875,0.41926342248916626,14.891786575317383,0.34336793422698975,0.20718826353549957,0.7841015209099819,14.848926544189453,0.34300726652145386,0.20245705544948578,0.0001,0.25,1.0,0.25,0.0392000760454991,0.0392000760454991,0.0,0.0,0.0,1.7377530336380005,False,False,0.0,0.0,1.0,1.0,0.7783045172691345,0.7783045172691345,0.22169548273086548,9.212190628051758,0.7270968650934886,0.6233422756195068,6.469225883483887,-0.0,4.775040626525879,0.7759250998497009,0.7837162339713931,0.7759250998497009,3.104525327682495,1.8045735359191895
11,3.4936234951019287,-0.00973887275904417,0.12687014043331146,0.11721520125865936,0.5558202266693115,2.6601412296295166,2.727294445037842,0.7807477116584778,0.48127445578575134,14.647449493408203,0.34263932704925537,0.21980679035186768,0.7807477116584778,14.647449493408203,0.34263932704925537,0.21980679035186768,0.0001,0.25,1.0,0.25,0.0392000760454991,0.0392000760454991,0.0,0.0,0.0,1.6668285131454468,False,False,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,
