epoch,critic_loss,actor_loss,q1_loss,q2_loss,cost_loss,cql_q1,cql_q2,expected_immediate_cost,expected_cost_to_go,expected_support_cost,expected_smoothness_cost,expected_uncertainty_cost,exact_soft_inadmissibility_rate,support_cost_for_lambda,smooth_cost_for_lambda,uncertainty_cost_for_lambda,cost_budget,support_budget,smooth_budget,uncertainty_budget,lagrange,lambda_inad,lambda_support,lambda_smooth,lambda_uncertainty,expert_kl,uses_action_mask,use_certified_nudging,barrier_weight,support_weight,rho_cost,rho_reward,avg_return,survival_rate,mortality_rate,avg_length,inadmissibility_rate,expert_argmax_match,mean_kl_to_expert,policy_entropy,mean_action_deviation_from_expert,soft_survival_rate,soft_inadmissibility_rate,soft_avg_return,soft_policy_entropy,soft_mean_kl_to_expert
1,4.256104946136475,0.9207751750946045,0.03122265450656414,0.03043461963534355,0.9439349174499512,3.235029697418213,3.2659952640533447,2.783794667461725e-18,0.11282701790332794,0.8760489225387573,0.11183637380599976,0.10465089231729507,2.783794667461725e-18,0.8760489225387573,0.11183637380599976,0.10465089231729507,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.006068041082471609,False,False,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
2,4.189368724822998,0.875180721282959,0.03135131672024727,0.029064133763313293,0.9273126721382141,3.1856796741485596,3.217601776123047,2.6054921641131634e-18,0.127403125166893,0.8732930421829224,0.11200039088726044,0.10919076204299927,2.6054921641131634e-18,0.8732930421829224,0.11200039088726044,0.10919076204299927,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.006694800220429897,False,False,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
3,4.124776363372803,0.8307968974113464,0.033234983682632446,0.02984592318534851,0.9078726768493652,3.1349265575408936,3.1727192401885986,2.432178180243756e-18,0.14628873765468597,0.8709332346916199,0.112384133040905,0.11643408238887787,2.432178180243756e-18,0.8709332346916199,0.112384133040905,0.11643408238887787,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.007774711586534977,False,False,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
4,4.059482097625732,0.7842798829078674,0.03688809648156166,0.03205111622810364,0.8842914700508118,3.0852463245391846,3.127256393432617,2.2792461334628083e-18,0.1674625426530838,0.8682283163070679,0.11271779239177704,0.12522004544734955,2.2792461334628083e-18,0.8682283163070679,0.11271779239177704,0.12522004544734955,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.009921888820827007,False,False,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
5,3.994392156600952,0.7381980419158936,0.04252452403306961,0.03593125939369202,0.8561593294143677,3.0365118980407715,3.0830421447753906,2.1283925847660532e-18,0.19235458970069885,0.8654807806015015,0.11306468397378922,0.13535569608211517,2.1283925847660532e-18,0.8654807806015015,0.11306468397378922,0.13535569608211517,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.012536541558802128,False,False,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
6,3.926530361175537,0.6887573599815369,0.050205379724502563,0.041877925395965576,0.8236759305000305,2.986612319946289,3.0349297523498535,1.9831309838053098e-18,0.22395627200603485,0.8634485006332397,0.11325597018003464,0.1482161432504654,1.9831309838053098e-18,0.8634485006332397,0.11325597018003464,0.1482161432504654,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.015890631824731827,False,False,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
7,3.853900671005249,0.6379197239875793,0.06004088371992111,0.04948441684246063,0.786652147769928,2.9295055866241455,2.98594069480896,1.8491254498250348e-18,0.25957947969436646,0.8610454201698303,0.11351703107357025,0.16372527182102203,1.8491254498250348e-18,0.8610454201698303,0.11351703107357025,0.16372527182102203,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.01995254121720791,False,False,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
8,3.779473304748535,0.5793232917785645,0.07304998487234116,0.06033563241362572,0.7430686950683594,2.874117136001587,2.9319205284118652,1.7120066148142633e-18,0.30111029744148254,0.8585517406463623,0.11368188261985779,0.1790032833814621,1.7120066148142633e-18,0.8585517406463623,0.11368188261985779,0.1790032833814621,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.02484087273478508,False,False,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
9,3.702927350997925,0.5175357460975647,0.08793936669826508,0.07305151224136353,0.6952723264694214,2.8164892196655273,2.8768391609191895,1.5842928233682198e-18,0.34744763374328613,0.8565196394920349,0.11408831179141998,0.19548951089382172,1.5842928233682198e-18,0.8565196394920349,0.11408831179141998,0.19548951089382172,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.029977520927786827,False,False,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
10,3.6240952014923096,0.4518445134162903,0.10561084747314453,0.08869697898626328,0.6420451998710632,2.756610155105591,2.8188741207122803,1.4678497813585175e-18,0.4027528166770935,0.8537960648536682,0.11401122063398361,0.21239681541919708,1.4452758853589296e-18,0.8526895642280579,0.11449289321899414,0.2086065411567688,0.0001,0.25,1.0,0.25,0.0,0.0,0.0006026895642280578,0.0,0.0,0.036845862865448,False,False,25.0,1.0,1.0,1.0,0.7783910036087036,0.7783910036087036,0.2216089963912964,8.328669548034668,0.0,0.8881415128707886,4.06712532043457,-0.0,1.470738172531128,0.7778216600418091,1.4301202240088988e-18,0.7778216600418091,0.47730204463005066,0.022409386932849884
