epoch,critic_loss,actor_loss,q1_loss,q2_loss,cost_loss,cql_q1,cql_q2,expected_immediate_cost,expected_cost_to_go,expected_support_cost,expected_smoothness_cost,expected_uncertainty_cost,exact_soft_inadmissibility_rate,support_cost_for_lambda,smooth_cost_for_lambda,uncertainty_cost_for_lambda,cost_budget,support_budget,smooth_budget,uncertainty_budget,lagrange,lambda_inad,lambda_support,lambda_smooth,lambda_uncertainty,expert_kl,uses_action_mask,use_certified_nudging,barrier_weight,support_weight,rho_cost,rho_reward,avg_return,survival_rate,mortality_rate,avg_length,inadmissibility_rate,expert_argmax_match,mean_kl_to_expert,policy_entropy,mean_action_deviation_from_expert,soft_survival_rate,soft_inadmissibility_rate,soft_avg_return,soft_policy_entropy,soft_mean_kl_to_expert
1,4.197024345397949,0.9881200790405273,0.03201175853610039,0.0292108952999115,0.885150671005249,3.3405797481536865,3.160722255706787,2.974866564721421e-18,0.06827952712774277,0.8810139894485474,0.11090622842311859,0.14489084482192993,2.974866564721421e-18,0.8810139894485474,0.11090622842311859,0.14489084482192993,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.006276912521570921,False,True,25.0,1.0,0.0,1.0,,,,,,,,,,,,,,
2,4.136198997497559,0.9476751089096069,0.029630498960614204,0.029441699385643005,0.8701118230819702,3.292745590209961,3.1212847232818604,2.7828795989090882e-18,0.08232693374156952,0.8788508176803589,0.11076627671718597,0.14826363325119019,2.7828795989090882e-18,0.8788508176803589,0.11076627671718597,0.14826363325119019,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.00633589643985033,False,True,25.0,1.0,0.0,1.0,,,,,,,,,,,,,,
3,4.074289321899414,0.9045880436897278,0.029145777225494385,0.03132074698805809,0.8523150682449341,3.2454662322998047,3.0775492191314697,2.603065629786239e-18,0.09908539801836014,0.8763765096664429,0.11076930165290833,0.15392112731933594,2.603065629786239e-18,0.8763765096664429,0.11076930165290833,0.15392112731933594,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.006448541767895222,False,True,25.0,1.0,0.0,1.0,,,,,,,,,,,,,,
4,4.014541149139404,0.8644064664840698,0.029964512214064598,0.0349862314760685,0.8318007588386536,3.2002837657928467,3.035295248031616,2.432537383424757e-18,0.12084402143955231,0.8740002512931824,0.11059712618589401,0.16286946833133698,2.432537383424757e-18,0.8740002512931824,0.11059712618589401,0.16286946833133698,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.007178544998168945,False,True,25.0,1.0,0.0,1.0,,,,,,,,,,,,,,
5,3.9519379138946533,0.8207231760025024,0.03261566162109375,0.04010223597288132,0.8078226447105408,3.1507349014282227,2.9920594692230225,2.2692535848680146e-18,0.14399951696395874,0.8723572492599487,0.11064233630895615,0.1717730015516281,2.2692535848680146e-18,0.8723572492599487,0.11064233630895615,0.1717730015516281,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.007556177210062742,False,True,25.0,1.0,0.0,1.0,,,,,,,,,,,,,,
6,3.8877580165863037,0.7738611698150635,0.036968979984521866,0.04759782925248146,0.7803764939308167,3.1004602909088135,2.945169448852539,2.1084172069486633e-18,0.17276115715503693,0.8701507449150085,0.11066295951604843,0.18453392386436462,2.1084172069486633e-18,0.8701507449150085,0.11066295951604843,0.18453392386436462,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.008492555469274521,False,True,25.0,1.0,0.0,1.0,,,,,,,,,,,,,,
7,3.8189151287078857,0.7227545380592346,0.04366590082645416,0.05820386856794357,0.7477636337280273,3.045900821685791,2.892662525177002,1.9513213397592768e-18,0.2065788358449936,0.8675331473350525,0.11059033125638962,0.1964302659034729,1.9513213397592768e-18,0.8675331473350525,0.11059033125638962,0.1964302659034729,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.00956463161855936,False,True,25.0,1.0,0.0,1.0,,,,,,,,,,,,,,
8,3.751291036605835,0.6696791052818298,0.052461087703704834,0.07063709944486618,0.7113205194473267,2.9915101528167725,2.8422343730926514,1.8039671786439273e-18,0.24476730823516846,0.8653311133384705,0.11059147864580154,0.20827460289001465,1.8039671786439273e-18,0.8653311133384705,0.11059147864580154,0.20827460289001465,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.010537403635680676,False,True,25.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,3.6762008666992188,0.60994553565979,0.06419425457715988,0.08650164306163788,0.6692397594451904,2.9291813373565674,2.783348560333252,1.6654174245710157e-18,0.2886197566986084,0.8633037209510803,0.1107061430811882,0.22207777202129364,1.6654174245710157e-18,0.8633037209510803,0.1107061430811882,0.22207777202129364,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.01162747573107481,False,True,25.0,1.0,0.0,1.0,,,,,,,,,,,,,,
10,3.60593843460083,0.5455507636070251,0.08002835512161255,0.10697256773710251,0.6227691769599915,2.8665003776550293,2.7258365154266357,1.5352806143156512e-18,0.3384801745414734,0.8613700270652771,0.11079095304012299,0.23284032940864563,1.5798970385648092e-18,0.859736979007721,0.1106996014714241,0.22844712436199188,0.0001,0.25,1.0,0.25,0.0,0.0,0.000609736979007721,0.0,0.0,0.013222378678619862,False,True,25.0,1.0,0.0,1.0,0.7797572612762451,0.7797572612762451,0.22024273872375488,9.349513053894043,0.0,0.9075052738189697,3.9925432205200195,-0.0,1.1165146827697754,0.7781257033348083,1.5632330389795902e-18,0.7781257033348083,0.49406179785728455,0.006970883347094059
11,3.532489776611328,0.4767380952835083,0.09679349511861801,0.12812405824661255,0.5729649662971497,2.8024754524230957,2.666738986968994,1.3972573607026296e-18,0.39128026366233826,0.858432948589325,0.11063514649868011,0.2407468557357788,1.3972573607026296e-18,0.858432948589325,0.11063514649868011,0.2407468557357788,0.0001,0.25,1.0,0.25,0.0,0.0,0.000609736979007721,0.0,0.0,0.015033319592475891,False,True,25.0,1.0,0.0,1.0,,,,,,,,,,,,,,
12,3.463012456893921,0.40376970171928406,0.11690394580364227,0.150099977850914,0.5214760899543762,2.737794876098633,2.6112701892852783,1.289941532969414e-18,0.4449278712272644,0.8565991520881653,0.11093997210264206,0.24487559497356415,1.289941532969414e-18,0.8565991520881653,0.11093997210264206,0.24487559497356415,0.0001,0.25,1.0,0.25,0.0,0.0,0.000609736979007721,0.0,0.0,0.016641397029161453,False,True,25.0,1.0,0.0,1.0,,,,,,,,,,,,,,
13,3.3951473236083984,0.3283309042453766,0.13820014894008636,0.17242589592933655,0.4680400788784027,2.6742260456085205,2.558736801147461,1.1962727377772514e-18,0.5007731318473816,0.8542926907539368,0.11088959872722626,0.24690918624401093,1.1962727377772514e-18,0.8542926907539368,0.11088959872722626,0.24690918624401093,0.0001,0.25,1.0,0.25,0.0,0.0,0.000609736979007721,0.0,0.0,0.018712468445301056,False,True,25.0,1.0,0.0,1.0,,,,,,,,,,,,,,
14,3.3293373584747314,0.2519820034503937,0.1620294153690338,0.19434520602226257,0.413936048746109,2.6124556064605713,2.5055980682373047,1.1124428423811008e-18,0.554911196231842,0.8513802289962769,0.110990010201931,0.2441159039735794,1.1124428423811008e-18,0.8513802289962769,0.110990010201931,0.2441159039735794,0.0001,0.25,1.0,0.25,0.0,0.0,0.000609736979007721,0.0,0.0,0.02063598297536373,False,True,25.0,1.0,0.0,1.0,,,,,,,,,,,,,,
15,3.2664341926574707,0.17577385902404785,0.18455924093723297,0.21381011605262756,0.36182230710983276,2.55157732963562,2.4609076976776123,1.0427863765883166e-18,0.6051414608955383,0.8494340777397156,0.11105837672948837,0.23588864505290985,1.0427863765883166e-18,0.8494340777397156,0.11105837672948837,0.23588864505290985,0.0001,0.25,1.0,0.25,0.0,0.0,0.000609736979007721,0.0,0.0,0.022725695744156837,False,True,25.0,1.0,0.0,1.0,,,,,,,,,,,,,,
16,3.211557388305664,0.1004021167755127,0.20523355901241302,0.2288503646850586,0.3149811327457428,2.5024940967559814,2.4224908351898193,9.788018882558085e-19,0.649679958820343,0.8463391065597534,0.11101339757442474,0.2228531837463379,9.788018882558085e-19,0.8463391065597534,0.11101339757442474,0.2228531837463379,0.0001,0.25,1.0,0.25,0.0,0.0,0.000609736979007721,0.0,0.0,0.025247013196349144,False,True,25.0,1.0,0.0,1.0,,,,,,,,,,,,,,
17,3.157597303390503,0.03266172111034393,0.22238077223300934,0.23860090970993042,0.2719763517379761,2.4559485912323,2.393329620361328,9.334326860185e-19,0.6856082081794739,0.8438834547996521,0.11126291751861572,0.21084986627101898,9.334326860185e-19,0.8438834547996521,0.11126291751861572,0.21084986627101898,0.0001,0.25,1.0,0.25,0.0,0.0,0.000609736979007721,0.0,0.0,0.02772417478263378,False,True,25.0,1.0,0.0,1.0,,,,,,,,,,,,,,
18,3.1039741039276123,-0.026820065453648567,0.23352999985218048,0.24112620949745178,0.2348383218050003,2.4188311100006104,2.3701279163360596,8.94501844078998e-19,0.7117531895637512,0.8410440683364868,0.11139983683824539,0.1956862062215805,8.94501844078998e-19,0.8410440683364868,0.11139983683824539,0.1956862062215805,0.0001,0.25,1.0,0.25,0.0,0.0,0.000609736979007721,0.0,0.0,0.031600698828697205,False,True,25.0,1.0,0.0,1.0,,,,,,,,,,,,,,
19,3.058135509490967,-0.07357799261808395,0.23953649401664734,0.2393776774406433,0.20484349131584167,2.393061876296997,2.355693817138672,8.76318863251434e-19,0.7279713749885559,0.8388460278511047,0.11176469922065735,0.18345612287521362,8.76318863251434e-19,0.8388460278511047,0.11176469922065735,0.18345612287521362,0.0001,0.25,1.0,0.25,0.0,0.0,0.000609736979007721,0.0,0.0,0.034738682210445404,False,True,25.0,1.0,0.0,1.0,,,,,,,,,,,,,,
20,3.0153350830078125,-0.11355248093605042,0.24097687005996704,0.23246148228645325,0.18187186121940613,2.371873140335083,2.3481764793395996,8.58670758087462e-19,0.7349448204040527,0.8361101746559143,0.11206840723752975,0.16712048649787903,8.745922077848545e-19,0.8343367576599121,0.11229241639375687,0.1641329675912857,0.0001,0.25,1.0,0.25,0.0,0.0,0.001194073736667633,0.0,0.0,0.038968659937381744,False,True,25.0,1.0,0.0,1.0,0.7853888869285583,0.7853888869285583,0.21461111307144165,8.425227165222168,0.0,0.9136074781417847,4.010693073272705,-0.0,1.4208863973617554,0.7792118191719055,8.657814394767198e-19,0.7792118191719055,0.4679408073425293,0.021549686789512634
21,2.9802496433258057,-0.1393500566482544,0.2383078783750534,0.2233477085828781,0.1652410924434662,2.359236717224121,2.3474693298339844,8.453018133285917e-19,0.7282204627990723,0.8343288898468018,0.1127123311161995,0.16157500445842743,8.453018133285917e-19,0.8343288898468018,0.1127123311161995,0.16157500445842743,0.0001,0.25,1.0,0.25,0.0,0.0,0.001194073736667633,0.0,0.0,0.04280732199549675,False,True,25.0,1.0,0.0,1.0,,,,,,,,,,,,,,
22,2.9485297203063965,-0.15762856602668762,0.23229004442691803,0.21198417246341705,0.15287315845489502,2.3518214225769043,2.350943088531494,8.412123874764944e-19,0.7160828709602356,0.8319759964942932,0.11336889863014221,0.15580885112285614,8.412123874764944e-19,0.8319759964942932,0.11336889863014221,0.15580885112285614,0.0001,0.25,1.0,0.25,0.0,0.0,0.001194073736667633,0.0,0.0,0.04711368307471275,False,True,25.0,1.0,0.0,1.0,,,,,,,,,,,,,,
