epoch,critic_loss,actor_loss,q1_loss,q2_loss,cost_loss,cql_q1,cql_q2,expected_reward_lcb,expected_inad_cost,expected_immediate_cost,expected_support_cost,expected_smooth_cost,expected_uncertainty_cost,exact_soft_inadmissibility_rate,measured_support,measured_smooth,measured_uncertainty,lambda_inad,lambda_support,lambda_smooth,lambda_uncertainty,lagrange,cost_budget,uses_action_mask,avg_return,survival_rate,mortality_rate,avg_length,inadmissibility_rate,expert_argmax_match,mean_kl_to_expert,policy_entropy,mean_action_deviation_from_expert,soft_survival_rate,soft_inadmissibility_rate,soft_avg_return,soft_policy_entropy,soft_mean_kl_to_expert
1,4.1535115242004395,0.9347770810127258,0.031183911487460136,0.030124850571155548,0.8826008439064026,3.185919761657715,3.233283758163452,-0.04123448580503464,0.07699757069349289,3.0666714118007718e-18,0.8814724087715149,0.11289536207914352,0.12835507094860077,3.0666714118007718e-18,0.8814724087715149,0.11289536207914352,0.12835507094860077,0.0,0.0,0.0,0.0,0.0,0.0001,False,,,,,,,,,,,,,,
2,4.098090171813965,0.8932977318763733,0.031921304762363434,0.03133200854063034,0.8674123883247375,3.14528751373291,3.1895620822906494,-0.0028329642955213785,0.09422697126865387,2.8694548033607258e-18,0.8779390454292297,0.11246729642152786,0.13287433981895447,2.8694548033607258e-18,0.8779390454292297,0.11246729642152786,0.13287433981895447,0.0,0.0,0.0,0.0,0.0,0.0001,False,,,,,,,,,,,,,,
3,4.040596008300781,0.853564977645874,0.03368383273482323,0.03367140144109726,0.8490921258926392,3.1023330688476562,3.1459646224975586,0.03602497652173042,0.11484811455011368,2.6780803647919887e-18,0.8760762810707092,0.11231499910354614,0.14272885024547577,2.6780803647919887e-18,0.8760762810707092,0.11231499910354614,0.14272885024547577,0.0,0.0,0.0,0.0,0.0,0.0001,False,,,,,,,,,,,,,,
4,3.9804210662841797,0.8115506768226624,0.03775225579738617,0.038097526878118515,0.8260171413421631,3.057263135910034,3.0998449325561523,0.07645666599273682,0.13635240495204926,2.5050916696984677e-18,0.8736891746520996,0.11200249195098877,0.15073862671852112,2.5050916696984677e-18,0.8736891746520996,0.11200249195098877,0.15073862671852112,0.0,0.0,0.0,0.0,0.0,0.0001,False,,,,,,,,,,,,,,
5,3.919647216796875,0.7659615874290466,0.04332016408443451,0.04404394328594208,0.8001506328582764,3.0101406574249268,3.054124116897583,0.12076261639595032,0.16325430572032928,2.3302612569710975e-18,0.8713100552558899,0.11163824051618576,0.16166065633296967,2.3302612569710975e-18,0.8713100552558899,0.11163824051618576,0.16166065633296967,0.0,0.0,0.0,0.0,0.0,0.0001,False,,,,,,,,,,,,,,
6,3.8524985313415527,0.7156539559364319,0.051206789910793304,0.05169864371418953,0.7680928111076355,2.9599220752716064,3.003077983856201,0.1700567603111267,0.19678190350532532,2.1513625631960383e-18,0.8689501881599426,0.11133018881082535,0.17508043348789215,2.1513625631960383e-18,0.8689501881599426,0.11133018881082535,0.17508043348789215,0.0,0.0,0.0,0.0,0.0,0.0001,False,,,,,,,,,,,,,,
7,3.782447576522827,0.6621286869049072,0.06154044717550278,0.061689071357250214,0.7312394976615906,2.902376413345337,2.953580379486084,0.22284024953842163,0.2336302101612091,1.9964459033304227e-18,0.8667991161346436,0.11099942028522491,0.18912547826766968,1.9964459033304227e-18,0.8667991161346436,0.11099942028522491,0.18912547826766968,0.0,0.0,0.0,0.0,0.0,0.0001,False,,,,,,,,,,,,,,
8,3.709880828857422,0.6004172563552856,0.07550813257694244,0.07453759759664536,0.6890373826026917,2.8446943759918213,2.8969008922576904,0.2837551534175873,0.27729663252830505,1.8367417288745034e-18,0.8645832538604736,0.11038834601640701,0.20326723158359528,1.8367417288745034e-18,0.8645832538604736,0.11038834601640701,0.20326723158359528,0.0,0.0,0.0,0.0,0.0,0.0001,False,,,,,,,,,,,,,,
9,3.6319165229797363,0.5339143872261047,0.09176743030548096,0.08936750143766403,0.6399878859519958,2.782602548599243,2.838984727859497,0.34980013966560364,0.3268010914325714,1.6909172315069176e-18,0.8624937534332275,0.11002238839864731,0.21952593326568604,1.6909172315069176e-18,0.8624937534332275,0.11002238839864731,0.21952593326568604,0.0,0.0,0.0,0.0,0.0,0.0001,False,,,,,,,,,,,,,,
10,3.5543875694274902,0.4645589292049408,0.11118187755346298,0.10689998418092728,0.5875516533851624,2.7169175148010254,2.780590534210205,0.4192257225513458,0.3802091181278229,1.5571644012037775e-18,0.8611302375793457,0.10976183414459229,0.23380939662456512,1.5665573365700126e-18,0.8596286773681641,0.10944224148988724,0.22880534827709198,0.0,0.000609628677368164,0.0,0.0,0.0,0.0001,False,0.7708045840263367,0.7708045840263367,0.22919541597366333,8.907363891601562,0.0,0.8426388502120972,4.1202712059021,-0.0,1.1444077491760254,0.7768435478210449,1.5500244526727888e-18,0.7768435478210449,0.48500382900238037,0.016041260212659836
