epoch,critic_loss,actor_loss,q1_loss,q2_loss,cost_loss,cql_q1,cql_q2,expected_reward_lcb,expected_inad_cost,expected_immediate_cost,expected_support_cost,expected_smooth_cost,expected_uncertainty_cost,exact_soft_inadmissibility_rate,measured_support,measured_smooth,measured_uncertainty,lambda_inad,lambda_support,lambda_smooth,lambda_uncertainty,lagrange,cost_budget,uses_action_mask,avg_return,survival_rate,mortality_rate,avg_length,inadmissibility_rate,expert_argmax_match,mean_kl_to_expert,policy_entropy,mean_action_deviation_from_expert,soft_survival_rate,soft_inadmissibility_rate,soft_avg_return,soft_policy_entropy,soft_mean_kl_to_expert
1,4.09399938583374,0.28056177496910095,0.02385755069553852,0.023224683478474617,0.8616934418678284,3.123133659362793,3.2473134994506836,0.04716277867555618,0.08600106090307236,2.650957526096681e-18,0.31787607073783875,0.054726749658584595,0.10110197961330414,2.650957526096681e-18,0.31787607073783875,0.054726749658584595,0.10110197961330414,0.0,0.0,0.0,0.0,0.0,0.0001,False,,,,,,,,,,,,,,
2,4.019713878631592,0.21212352812290192,0.024345748126506805,0.02248699590563774,0.8507450222969055,3.059929847717285,3.184342384338379,0.0988527238368988,0.0929446890950203,2.4219538142822943e-18,0.3005146086215973,0.053127553313970566,0.10707590728998184,2.4219538142822943e-18,0.3005146086215973,0.053127553313970566,0.10707590728998184,0.0,0.0,0.0,0.0,0.0,0.0001,False,,,,,,,,,,,,,,
3,3.9473705291748047,0.1451261192560196,0.025473911315202713,0.02270471304655075,0.8382348418235779,2.9948017597198486,3.127112627029419,0.14806552231311798,0.09822631627321243,2.2085503152303512e-18,0.2821940779685974,0.05119883641600609,0.112260602414608,2.2085503152303512e-18,0.2821940779685974,0.05119883641600609,0.112260602414608,0.0,0.0,0.0,0.0,0.0,0.0001,False,,,,,,,,,,,,,,
4,3.8735263347625732,0.07424658536911011,0.028555188328027725,0.02336154133081436,0.8220292329788208,2.928328275680542,3.0708324909210205,0.20487463474273682,0.10739033669233322,2.0082855462330473e-18,0.26698237657546997,0.04979287460446358,0.12351913750171661,2.0082855462330473e-18,0.26698237657546997,0.04979287460446358,0.12351913750171661,0.0,0.0,0.0,0.0,0.0,0.0001,False,,,,,,,,,,,,,,
5,3.7978556156158447,0.001327755395323038,0.03291168063879013,0.025409109890460968,0.8040892481803894,2.8590176105499268,3.011873483657837,0.26284223794937134,0.1135488972067833,1.8129131369686883e-18,0.2511598765850067,0.0483238585293293,0.13205960392951965,1.8129131369686883e-18,0.2511598765850067,0.0483238585293293,0.13205960392951965,0.0,0.0,0.0,0.0,0.0,0.0001,False,,,,,,,,,,,,,,
6,3.7141683101654053,-0.07826809585094452,0.0389927439391613,0.029168272390961647,0.7818458676338196,2.782668352127075,2.9456543922424316,0.32847860455513,0.1195279210805893,1.6398238360331656e-18,0.23692075908184052,0.046890709549188614,0.1346936970949173,1.6398238360331656e-18,0.23692075908184052,0.046890709549188614,0.1346936970949173,0.0,0.0,0.0,0.0,0.0,0.0001,False,,,,,,,,,,,,,,
7,3.632779598236084,-0.15413324534893036,0.04584237560629845,0.03428666666150093,0.7577423453330994,2.711541175842285,2.8782753944396973,0.39112916588783264,0.12322419136762619,1.4838596553193282e-18,0.2231408655643463,0.0454937145113945,0.1401841938495636,1.4838596553193282e-18,0.2231408655643463,0.0454937145113945,0.1401841938495636,0.0,0.0,0.0,0.0,0.0,0.0001,False,,,,,,,,,,,,,,
8,3.543792247772217,-0.23146823048591614,0.05557525157928467,0.041020024567842484,0.7295989990234375,2.6262762546539307,2.8089194297790527,0.4577968120574951,0.125560462474823,1.3401678363660573e-18,0.2112952023744583,0.04435458034276962,0.15181659162044525,1.3401678363660573e-18,0.2112952023744583,0.04435458034276962,0.15181659162044525,0.0,0.0,0.0,0.0,0.0,0.0001,False,,,,,,,,,,,,,,
9,3.4543464183807373,-0.32549136877059937,0.06524601578712463,0.049435943365097046,0.6982383131980896,2.5444424152374268,2.7384095191955566,0.5409333109855652,0.13206720352172852,1.190518766038756e-18,0.199687197804451,0.04331905022263527,0.15887847542762756,1.190518766038756e-18,0.199687197804451,0.04331905022263527,0.15887847542762756,0.0,0.0,0.0,0.0,0.0,0.0001,False,,,,,,,,,,,,,,
10,3.3639893531799316,-0.4054301679134369,0.0784434974193573,0.06000411510467529,0.6649709343910217,2.461191177368164,2.6599502563476562,0.6129093766212463,0.139818012714386,1.0730729743314863e-18,0.1904579997062683,0.04241623356938362,0.17141832411289215,1.110863720159536e-18,0.18687857687473297,0.042071957141160965,0.16419172286987305,0.0,0.0,0.0,0.0,0.0,0.0001,False,0.6710540056228638,0.6710540056228638,0.32894599437713623,27.049243927001953,0.0,0.9913382530212402,1.0306570529937744,-0.0,0.5938698649406433,0.6974331140518188,1.110863720159536e-18,0.6974331140518188,0.13602545857429504,0.026201948523521423
