epoch,critic_loss,actor_loss,q1_loss,q2_loss,cost_loss,cql_q1,cql_q2,expected_immediate_cost,expected_cost_to_go,expected_support_cost,expected_smoothness_cost,expected_uncertainty_cost,exact_soft_inadmissibility_rate,support_cost_for_lambda,smooth_cost_for_lambda,uncertainty_cost_for_lambda,cost_budget,support_budget,smooth_budget,uncertainty_budget,lagrange,lambda_inad,lambda_support,lambda_smooth,lambda_uncertainty,expert_kl,uses_action_mask,use_certified_nudging,barrier_weight,support_weight,rho_cost,rho_reward,avg_return,survival_rate,mortality_rate,avg_length,inadmissibility_rate,expert_argmax_match,mean_kl_to_expert,policy_entropy,mean_action_deviation_from_expert,soft_survival_rate,soft_inadmissibility_rate,soft_avg_return,soft_policy_entropy,soft_mean_kl_to_expert
1,4.0121893882751465,0.050499219447374344,0.025363760069012642,0.01807640679180622,0.8180558681488037,3.2155513763427734,3.0858356952667236,0.7558057308197021,0.09119868278503418,15.782187461853027,0.4761248230934143,0.10144758224487305,0.7558057308197021,15.782187461853027,0.4761248230934143,0.10144758224487305,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,2.844020128250122,False,False,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,
2,3.929769992828369,0.05906335636973381,0.023708205670118332,0.01894512213766575,0.8070452809333801,3.1455376148223877,3.0146055221557617,0.7508223056793213,0.1058230772614479,15.687560081481934,0.4738008677959442,0.10623008012771606,0.7508223056793213,15.687560081481934,0.4738008677959442,0.10623008012771606,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,2.7513608932495117,False,False,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,
3,3.8485240936279297,0.06670960038900375,0.02331324853003025,0.02101035602390766,0.7934842109680176,3.0733449459075928,2.948087453842163,0.7434250116348267,0.12258204817771912,15.551031112670898,0.47035518288612366,0.11245863139629364,0.7434250116348267,15.551031112670898,0.47035518288612366,0.11245863139629364,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,2.63747239112854,False,False,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,
4,3.763465166091919,0.0734720230102539,0.02440868690609932,0.025577956810593605,0.7777053713798523,2.9994003772735596,2.872145891189575,0.7352362871170044,0.142662912607193,15.392111778259277,0.466169148683548,0.12121851742267609,0.7352362871170044,15.392111778259277,0.466169148683548,0.12121851742267609,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,2.5205624103546143,False,False,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,
5,3.6778616905212402,0.07736808061599731,0.026202788576483727,0.031039005145430565,0.7606031894683838,2.9238033294677734,2.7962300777435303,0.7265293002128601,0.16626006364822388,15.217299461364746,0.46109771728515625,0.12921006977558136,0.7265293002128601,15.217299461364746,0.46109771728515625,0.12921006977558136,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,2.406221628189087,False,False,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,
6,3.5851831436157227,0.08026578277349472,0.030923781916499138,0.03877893462777138,0.7380819916725159,2.83724045753479,2.7175562381744385,0.7154253721237183,0.19308671355247498,14.987391471862793,0.45558223128318787,0.13977186381816864,0.7154253721237183,14.987391471862793,0.45558223128318787,0.13977186381816864,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,2.281934976577759,False,False,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,
7,3.492372751235962,0.07010693103075027,0.03733968362212181,0.05091988295316696,0.7127641439437866,2.7531235218048096,2.629574775695801,0.7015285491943359,0.22041094303131104,14.7045259475708,0.44820377230644226,0.14772473275661469,0.7015285491943359,14.7045259475708,0.44820377230644226,0.14772473275661469,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,2.1541786193847656,False,False,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,
8,3.3968234062194824,0.048329051584005356,0.04523523896932602,0.06269420683383942,0.6833764314651489,2.664025068283081,2.5470097064971924,0.6850526332855225,0.25180622935295105,14.351143836975098,0.4391303062438965,0.15637093782424927,0.6850526332855225,14.351143836975098,0.4391303062438965,0.15637093782424927,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,2.022657871246338,False,False,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,
9,3.300196647644043,0.02021597884595394,0.05717315152287483,0.07978656888008118,0.6500309109687805,2.570493221282959,2.455918788909912,0.6689336895942688,0.28146132826805115,14.005842208862305,0.43014782667160034,0.16298292577266693,0.6689336895942688,14.005842208862305,0.43014782667160034,0.16298292577266693,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,1.9032922983169556,False,False,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,
10,3.202117919921875,-0.02174270525574684,0.07329663634300232,0.09899244457483292,0.6137062907218933,2.4691405296325684,2.3631041049957275,0.6488588452339172,0.3082308769226074,13.58597469329834,0.41828709840774536,0.16387875378131866,0.6683001524069905,13.460543632507324,0.4153064489364624,0.16011060774326324,0.0001,0.25,1.0,0.25,0.03341000762034953,0.03341000762034953,0.0,0.0,0.0,1.7695777416229248,False,False,0.0,0.0,1.0,1.0,0.7001627683639526,0.7001627683639526,0.29983723163604736,26.200546264648438,0.0,0.9978345632553101,0.9168972969055176,-0.0,0.5709724426269531,0.29966485500335693,0.6677359979654657,0.29966485500335693,3.123405933380127,1.9244160652160645
