epoch,critic_loss,actor_loss,q1_loss,q2_loss,cost_loss,cql_q1,cql_q2,expected_immediate_cost,expected_cost_to_go,expected_support_cost,expected_smoothness_cost,expected_uncertainty_cost,exact_soft_inadmissibility_rate,support_cost_for_lambda,smooth_cost_for_lambda,uncertainty_cost_for_lambda,cost_budget,support_budget,smooth_budget,uncertainty_budget,lagrange,lambda_inad,lambda_support,lambda_smooth,lambda_uncertainty,expert_kl,uses_action_mask,use_certified_nudging,barrier_weight,support_weight,rho_cost,rho_reward,avg_return,survival_rate,mortality_rate,avg_length,inadmissibility_rate,expert_argmax_match,mean_kl_to_expert,policy_entropy,mean_action_deviation_from_expert,soft_survival_rate,soft_inadmissibility_rate,soft_avg_return,soft_policy_entropy,soft_mean_kl_to_expert
1,4.09399938583374,0.2805686295032501,0.02385755069553852,0.023224683478474617,0.8616934418678284,3.123133659362793,3.2473134994506836,2.650957526096681e-18,0.08600106090307236,0.31787607073783875,0.054726749658584595,0.10110197961330414,2.650957526096681e-18,0.31787607073783875,0.054726749658584595,0.10110197961330414,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0013763027964159846,False,False,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
2,4.019713878631592,0.212131530046463,0.024345748126506805,0.02248699590563774,0.8507450222969055,3.059929847717285,3.184342384338379,2.4219469900422407e-18,0.09294470399618149,0.30051466822624207,0.053127553313970566,0.10707590728998184,2.4219469900422407e-18,0.30051466822624207,0.053127553313970566,0.10707590728998184,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0015792074846103787,False,False,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
3,3.9473705291748047,0.14514069259166718,0.025473911315202713,0.02270471304655075,0.8382348418235779,2.9948017597198486,3.127112627029419,2.2085343920035596e-18,0.09822633117437363,0.2821941375732422,0.0511988066136837,0.1122606098651886,2.2085343920035596e-18,0.2821941375732422,0.0511988066136837,0.1122606098651886,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0028967109974473715,False,False,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
4,3.8735263347625732,0.07427133619785309,0.028555188328027725,0.023361539468169212,0.8220292329788208,2.928328275680542,3.0708324909210205,2.008264039537121e-18,0.10739034414291382,0.26698264479637146,0.049792855978012085,0.1235191598534584,2.008264039537121e-18,0.26698264479637146,0.049792855978012085,0.1235191598534584,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.004887874238193035,False,False,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
5,3.7978556156158447,0.0013710083439946175,0.03291168063879013,0.025409109890460968,0.8040892481803894,2.8590176105499268,3.011873483657837,1.8128879079600054e-18,0.11354891955852509,0.2511604428291321,0.04832387715578079,0.13205961883068085,1.8128879079600054e-18,0.2511604428291321,0.04832387715578079,0.13205961883068085,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.008523419499397278,False,False,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
6,3.7141683101654053,-0.07819941639900208,0.0389927439391613,0.029168272390961647,0.7818458676338196,2.782668352127075,2.9456543922424316,1.6397926099650417e-18,0.11952794343233109,0.2369217723608017,0.046890776604413986,0.1346936970949173,1.6397926099650417e-18,0.2369217723608017,0.046890776604413986,0.1346936970949173,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.01348895113915205,False,False,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
7,3.632779598236084,-0.15403498709201813,0.04584237560629845,0.03428666666150093,0.7577423453330994,2.711541175842285,2.8782753944396973,1.4838248103360244e-18,0.12322423607110977,0.22314240038394928,0.04549382999539375,0.1401841789484024,1.4838248103360244e-18,0.22314240038394928,0.04549382999539375,0.1401841789484024,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.019273461773991585,False,False,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
8,3.543792247772217,-0.23133209347724915,0.05557525157928467,0.041020024567842484,0.7295989990234375,2.6262762546539307,2.8089194297790527,1.3401320608045643e-18,0.12556053698062897,0.2112973928451538,0.04435476288199425,0.15181657671928406,1.3401320608045643e-18,0.2112973928451538,0.04435476288199425,0.15181657671928406,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.026659894734621048,False,False,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
9,3.454345941543579,-0.3253144323825836,0.06524601578712463,0.049435943365097046,0.6982383131980896,2.5444419384002686,2.7384095191955566,1.1904843346457584e-18,0.13206732273101807,0.1996901035308838,0.04331931471824646,0.15887846052646637,1.1904843346457584e-18,0.1996901035308838,0.04331931471824646,0.15887846052646637,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.03460831195116043,False,False,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
10,3.3639893531799316,-0.40521132946014404,0.0784434974193573,0.06000411882996559,0.6649709343910217,2.461191177368164,2.6599502563476562,1.0730422652512453e-18,0.1398182511329651,0.19046171009540558,0.042416591197252274,0.1714182198047638,1.11083140646933e-18,0.18688352406024933,0.042072445154190063,0.16419166326522827,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.04273538291454315,False,False,25.0,1.0,1.0,1.0,0.7001627683639526,0.7001627683639526,0.29983723163604736,26.200546264648438,0.0,0.9978345632553101,0.9168972969055176,-0.0,0.5709724426269531,0.6974329948425293,1.11083140646933e-18,0.6974329948425293,0.136031836271286,0.026198480278253555
11,3.26619291305542,-0.5097668766975403,0.09460818022489548,0.07465319335460663,0.6267406344413757,2.3669002056121826,2.573482036590576,9.511021944808219e-19,0.14069248735904694,0.1810840219259262,0.041574638336896896,0.17627575993537903,9.511021944808219e-19,0.1810840219259262,0.041574638336896896,0.17627575993537903,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.053397223353385925,False,False,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
12,3.168020725250244,-0.6192387938499451,0.11159724742174149,0.09046246111392975,0.5861605405807495,2.274394989013672,2.485206127166748,8.36336106066706e-19,0.13478384912014008,0.17185740172863007,0.04070024564862251,0.19089040160179138,8.36336106066706e-19,0.17185740172863007,0.04070024564862251,0.19089040160179138,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0657535120844841,False,False,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
13,3.0817909240722656,-0.7081137299537659,0.1305570751428604,0.10853704065084457,0.5483388304710388,2.187950849533081,2.4007651805877686,7.518726420201281e-19,0.12784789502620697,0.16592323780059814,0.04016902670264244,0.1985383778810501,7.518726420201281e-19,0.16592323780059814,0.04016902670264244,0.1985383778810501,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.07597341388463974,False,False,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
14,2.9869067668914795,-0.8326689600944519,0.150914266705513,0.12737099826335907,0.5057241916656494,2.092780113220215,2.313014507293701,6.573780103839078e-19,0.12253540754318237,0.15864796936511993,0.039475761353969574,0.20856128633022308,6.573780103839078e-19,0.15864796936511993,0.039475761353969574,0.20856128633022308,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.08890144526958466,False,False,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
15,2.9034605026245117,-0.9574941396713257,0.17122384905815125,0.14563418924808502,0.46773338317871094,2.010361433029175,2.227376699447632,5.718640269593876e-19,0.11349403113126755,0.15188990533351898,0.03887119144201279,0.20774315297603607,5.718640269593876e-19,0.15188990533351898,0.03887119144201279,0.20774315297603607,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.10273491591215134,False,False,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
16,2.8196182250976562,-1.0808258056640625,0.19636885821819305,0.16828155517578125,0.43038254976272583,1.9149768352508545,2.1341938972473145,5.037389309743805e-19,0.10825110971927643,0.14673197269439697,0.038398757576942444,0.2177249640226364,5.037389309743805e-19,0.14673197269439697,0.038398757576942444,0.2177249640226364,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.11527193337678909,False,False,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
17,2.7503156661987305,-1.1988478899002075,0.2137828916311264,0.18224455416202545,0.3988056182861328,1.8469009399414062,2.0640640258789062,4.483843145750615e-19,0.09866975247859955,0.14202803373336792,0.03793236240744591,0.2152712047100067,4.483843145750615e-19,0.14202803373336792,0.03793236240744591,0.2152712047100067,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.12714283168315887,False,False,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
18,2.676328659057617,-1.3400601148605347,0.23264753818511963,0.19894574582576752,0.37181949615478516,1.768498182296753,1.9773333072662354,3.8952700187188685e-19,0.10561569035053253,0.13779479265213013,0.037579044699668884,0.22196319699287415,3.8952700187188685e-19,0.13779479265213013,0.037579044699668884,0.22196319699287415,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.1445077657699585,False,False,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
19,2.6045725345611572,-1.4683945178985596,0.24064046144485474,0.20337939262390137,0.3440554141998291,1.7103098630905151,1.9226847887039185,3.444891630180883e-19,0.10661716759204865,0.1343788057565689,0.03726810961961746,0.22898557782173157,3.444891630180883e-19,0.1343788057565689,0.03726810961961746,0.22898557782173157,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.15742053091526031,False,False,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
