epoch,critic_loss,actor_loss,q1_loss,q2_loss,cost_loss,cql_q1,cql_q2,expected_immediate_cost,expected_cost_to_go,expected_support_cost,expected_smoothness_cost,expected_uncertainty_cost,exact_soft_inadmissibility_rate,support_cost_for_lambda,smooth_cost_for_lambda,uncertainty_cost_for_lambda,cost_budget,support_budget,smooth_budget,uncertainty_budget,lagrange,lambda_inad,lambda_support,lambda_smooth,lambda_uncertainty,expert_kl,uses_action_mask,use_certified_nudging,barrier_weight,support_weight,rho_cost,rho_reward,avg_return,survival_rate,mortality_rate,avg_length,inadmissibility_rate,expert_argmax_match,mean_kl_to_expert,policy_entropy,mean_action_deviation_from_expert,soft_survival_rate,soft_inadmissibility_rate,soft_avg_return,soft_policy_entropy,soft_mean_kl_to_expert
1,4.251960277557373,0.4933077394962311,0.07196726649999619,0.05485743656754494,0.8133355379104614,3.428663492202759,3.1949362754821777,2.6505060922773804e-18,0.07162171602249146,0.3277154862880707,0.05450299754738808,0.14827501773834229,2.6505060922773804e-18,0.3277154862880707,0.05450299754738808,0.14827501773834229,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0012813758803531528,False,True,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
2,4.155125617980957,0.4225345253944397,0.061606667935848236,0.04977141320705414,0.8038483262062073,3.3654353618621826,3.114363193511963,2.3713746149568206e-18,0.07210497558116913,0.3036746084690094,0.05252331867814064,0.157804936170578,2.3713746149568206e-18,0.3036746084690094,0.05252331867814064,0.157804936170578,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0011289394460618496,False,True,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
3,4.061017036437988,0.3542572557926178,0.05454937741160393,0.04637274146080017,0.7931975722312927,3.300243377685547,3.0335512161254883,2.140828004504869e-18,0.07750984281301498,0.28162598609924316,0.05052943527698517,0.17085251212120056,2.140828004504869e-18,0.28162598609924316,0.05052943527698517,0.17085251212120056,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0026632570661604404,False,True,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
4,3.968414783477783,0.2909071147441864,0.04799618571996689,0.04435306787490845,0.7805255651473999,3.239212989807129,2.9518673419952393,1.9301099473115795e-18,0.08185545355081558,0.2629602551460266,0.048919208347797394,0.18662680685520172,1.9301099473115795e-18,0.2629602551460266,0.048919208347797394,0.18662680685520172,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.005479540675878525,False,True,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
5,3.877096176147461,0.22774474322795868,0.04292484000325203,0.044145651161670685,0.7636299729347229,3.1827876567840576,2.870004177093506,1.7311922419418182e-18,0.08035090565681458,0.24743475019931793,0.0477173812687397,0.20387154817581177,1.7311922419418182e-18,0.24743475019931793,0.0477173812687397,0.20387154817581177,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.008484580554068089,False,True,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
6,3.780144691467285,0.16475868225097656,0.040296170860528946,0.04588964581489563,0.7461845278739929,3.115544319152832,2.7800047397613525,1.565063459065776e-18,0.07905759662389755,0.23249274492263794,0.046431370079517365,0.22072060406208038,1.565063459065776e-18,0.23249274492263794,0.046431370079517365,0.22072060406208038,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.013167927972972393,False,True,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
7,3.6810364723205566,0.09598512202501297,0.037608224898576736,0.05070308968424797,0.7243132591247559,3.049652576446533,2.687171220779419,1.394544621883762e-18,0.08260076493024826,0.21910430490970612,0.04522304609417915,0.24152648448944092,1.394544621883762e-18,0.21910430490970612,0.04522304609417915,0.24152648448944092,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.018586741760373116,False,True,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
8,3.5853922367095947,0.025593502447009087,0.037304893136024475,0.057897284626960754,0.7007008194923401,2.981828212738037,2.5971503257751465,1.2405576096290794e-18,0.0803724005818367,0.20685724914073944,0.04419548436999321,0.2582190930843353,1.2405576096290794e-18,0.20685724914073944,0.04419548436999321,0.2582190930843353,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.024840407073497772,False,True,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
9,3.483044385910034,-0.04451722279191017,0.038969725370407104,0.06781917065382004,0.6726073622703552,2.9122493267059326,2.495046854019165,1.0983193538072172e-18,0.08627283573150635,0.19559481739997864,0.043224211782217026,0.2755504846572876,1.0983193538072172e-18,0.19559481739997864,0.043224211782217026,0.2755504846572876,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.03265819326043129,False,True,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
10,3.3828015327453613,-0.1237180307507515,0.04472362622618675,0.08342675119638443,0.6423007845878601,2.8251736164093018,2.399526834487915,9.719002034173958e-19,0.08699312061071396,0.18631145358085632,0.04240017011761665,0.2931998074054718,9.96718834391616e-19,0.1828300505876541,0.042051639407873154,0.29516565799713135,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.04003389552235603,False,True,25.0,1.0,1.0,1.0,0.6320033669471741,0.6320033669471741,0.3679966330528259,28.476259231567383,0.0,0.8458206653594971,3.370373487472534,-0.0,1.2049400806427002,0.6977027654647827,9.96718834391616e-19,0.6977027654647827,0.13251426815986633,0.02626241184771061
