epoch,critic_loss,actor_loss,q1_loss,q2_loss,cost_loss,cql_q1,cql_q2,expected_immediate_cost,expected_cost_to_go,expected_support_cost,expected_smoothness_cost,expected_uncertainty_cost,exact_soft_inadmissibility_rate,support_cost_for_lambda,smooth_cost_for_lambda,uncertainty_cost_for_lambda,cost_budget,support_budget,smooth_budget,uncertainty_budget,lagrange,lambda_inad,lambda_support,lambda_smooth,lambda_uncertainty,expert_kl,uses_action_mask,use_certified_nudging,barrier_weight,support_weight,rho_cost,rho_reward,avg_return,survival_rate,mortality_rate,avg_length,inadmissibility_rate,expert_argmax_match,mean_kl_to_expert,policy_entropy,mean_action_deviation_from_expert,soft_survival_rate,soft_inadmissibility_rate,soft_avg_return,soft_policy_entropy,soft_mean_kl_to_expert
1,4.250904083251953,0.04441323131322861,0.02682885341346264,0.031485289335250854,0.9265351891517639,3.251248598098755,3.280860424041748,0.8652332425117493,0.11173447966575623,16.134910583496094,0.35729068517684937,0.11373825371265411,0.8652332425117493,16.134910583496094,0.35729068517684937,0.11373825371265411,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,2.285006523132324,False,False,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,
2,4.186826705932617,0.049303069710731506,0.026984339579939842,0.0299671720713377,0.9084582924842834,3.210402488708496,3.232431650161743,0.8609155416488647,0.13077136874198914,16.059640884399414,0.3573644757270813,0.1198243796825409,0.8609155416488647,16.059640884399414,0.3573644757270813,0.1198243796825409,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,2.241276741027832,False,False,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,
3,4.125248432159424,0.05461089685559273,0.028621574863791466,0.029731718823313713,0.8878931999206543,3.1710257530212402,3.1869781017303467,0.8552521467208862,0.1531466841697693,15.961119651794434,0.3569986820220947,0.12799738347530365,0.8552521467208862,15.961119651794434,0.3569986820220947,0.12799738347530365,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,2.1889808177948,False,False,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,
4,4.062187194824219,0.058981068432331085,0.03179093077778816,0.0313306525349617,0.8631222248077393,3.129335880279541,3.1425514221191406,0.8492076992988586,0.17872557044029236,15.85568904876709,0.35694751143455505,0.13729682564735413,0.8492076992988586,15.85568904876709,0.35694751143455505,0.13729682564735413,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,2.135734796524048,False,False,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,
5,3.9981775283813477,0.06175513193011284,0.03644748032093048,0.03427613526582718,0.8347820043563843,3.086667060852051,3.0986764430999756,0.841572642326355,0.20972414314746857,15.722771644592285,0.35648033022880554,0.14831890165805817,0.841572642326355,15.722771644592285,0.35648033022880554,0.14831890165805817,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,2.073704481124878,False,False,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,
6,3.932013750076294,0.062267862260341644,0.04323480278253555,0.038748618215322495,0.8022398352622986,3.0416975021362305,3.0538833141326904,0.8332347273826599,0.2441389560699463,15.577150344848633,0.35610878467559814,0.16015829145908356,0.8332347273826599,15.577150344848633,0.35610878467559814,0.16015829145908356,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,2.010850667953491,False,False,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,
7,3.8585152626037598,0.05915328487753868,0.051774490624666214,0.04507708176970482,0.7636665105819702,2.992399215698242,3.0035951137542725,0.8236003518104553,0.2855941355228424,15.409028053283691,0.3553540110588074,0.1734233796596527,0.8236003518104553,15.409028053283691,0.3553540110588074,0.1734233796596527,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,1.9438145160675049,False,False,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,
8,3.782876968383789,0.04916626587510109,0.06254104524850845,0.05306218937039375,0.7212249636650085,2.941301107406616,2.950796127319336,0.812961220741272,0.3321007490158081,15.2229585647583,0.354263037443161,0.1862858086824417,0.812961220741272,15.2229585647583,0.354263037443161,0.1862858086824417,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,1.875610589981079,False,False,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,
9,3.704294204711914,0.031670961529016495,0.07519947737455368,0.06403458118438721,0.6741892099380493,2.8861210346221924,2.8956212997436523,0.8004273772239685,0.38380563259124756,15.003393173217773,0.35253313183784485,0.19948747754096985,0.8004273772239685,15.003393173217773,0.35253313183784485,0.19948747754096985,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,1.800600528717041,False,False,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,
10,3.6248152256011963,0.004697933327406645,0.0893750712275505,0.07604403048753738,0.6246150135993958,2.8301639556884766,2.8393983840942383,0.7866310477256775,0.44520798325538635,14.761526107788086,0.35081052780151367,0.21450386941432953,0.7722315574310932,14.701008796691895,0.3503660261631012,0.21069203317165375,0.0001,0.25,1.0,0.25,0.038606577871554665,0.038606577871554665,0.0,0.0,0.0,1.7260395288467407,False,False,0.0,0.0,1.0,1.0,0.772942304611206,0.772942304611206,0.22705769538879395,9.256326675415039,0.46107258610738433,0.6686046123504639,5.945281982421875,-0.0,3.557107925415039,0.7758673429489136,0.7721438523554377,0.7758673429489136,3.103262186050415,1.8463029861450195
11,3.5383219718933105,-0.012917900457978249,0.10665079206228256,0.09165039658546448,0.5670418739318848,2.769352912902832,2.776604413986206,0.7719560861587524,0.5115168690681458,14.503948211669922,0.3484804332256317,0.23030854761600494,0.7719560861587524,14.503948211669922,0.3484804332256317,0.23030854761600494,0.0001,0.25,1.0,0.25,0.038606577871554665,0.038606577871554665,0.0,0.0,0.0,1.6548539400100708,False,False,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,
12,3.4561610221862793,-0.05709124729037285,0.12567967176437378,0.10925131291151047,0.5102419257164001,2.7075088024139404,2.7144670486450195,0.7559214234352112,0.5838972330093384,14.221586227416992,0.34591808915138245,0.24708063900470734,0.7559214234352112,14.221586227416992,0.34591808915138245,0.24708063900470734,0.0001,0.25,1.0,0.25,0.038606577871554665,0.038606577871554665,0.0,0.0,0.0,1.5835806131362915,False,False,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,
13,3.3769354820251465,-0.11683934926986694,0.1449785828590393,0.1282019466161728,0.452117383480072,2.649148464202881,2.6541268825531006,0.7388373613357544,0.6648759841918945,13.919224739074707,0.3424680829048157,0.26456472277641296,0.7388373613357544,13.919224739074707,0.3424680829048157,0.26456472277641296,0.0001,0.25,1.0,0.25,0.038606577871554665,0.038606577871554665,0.0,0.0,0.0,1.5112574100494385,False,False,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,
14,3.30325984954834,-0.1821586787700653,0.16589055955410004,0.14840470254421234,0.39653414487838745,2.5910472869873047,2.5938141345977783,0.7223364114761353,0.7439147233963013,13.626026153564453,0.3391619920730591,0.27910712361335754,0.7223364114761353,13.626026153564453,0.3391619920730591,0.27910712361335754,0.0001,0.25,1.0,0.25,0.038606577871554665,0.038606577871554665,0.0,0.0,0.0,1.4501161575317383,False,False,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,
15,3.2296535968780518,-0.2573930323123932,0.1832076758146286,0.16654923558235168,0.344760000705719,2.5358104705810547,2.5344629287719727,0.7048371434211731,0.8245691657066345,13.315006256103516,0.3354071080684662,0.29160764813423157,0.7048371434211731,13.315006256103516,0.3354071080684662,0.29160764813423157,0.0001,0.25,1.0,0.25,0.038606577871554665,0.038606577871554665,0.0,0.0,0.0,1.3895111083984375,False,False,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,
16,3.1680259704589844,-0.3363018035888672,0.20108608901500702,0.18722258508205414,0.29911231994628906,2.4834117889404297,2.4777982234954834,0.6893579959869385,0.8993774056434631,13.037436485290527,0.331907719373703,0.3003581166267395,0.6893579959869385,13.037436485290527,0.331907719373703,0.3003581166267395,0.0001,0.25,1.0,0.25,0.038606577871554665,0.038606577871554665,0.0,0.0,0.0,1.3408359289169312,False,False,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,
17,3.1187658309936523,-0.4212559759616852,0.21439974009990692,0.20428700745105743,0.2627561092376709,2.441911220550537,2.432734489440918,0.6722331047058105,0.9658653140068054,12.72793960571289,0.32666832208633423,0.30345696210861206,0.6722331047058105,12.72793960571289,0.32666832208633423,0.30345696210861206,0.0001,0.25,1.0,0.25,0.038606577871554665,0.038606577871554665,0.0,0.0,0.0,1.2884234189987183,False,False,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,
18,3.0752391815185547,-0.4954878091812134,0.22442252933979034,0.21858325600624084,0.23443906009197235,2.40472412109375,2.390864610671997,0.6588633060455322,1.0139226913452148,12.485400199890137,0.3232491612434387,0.29936525225639343,0.6588633060455322,12.485400199890137,0.3232491612434387,0.29936525225639343,0.0001,0.25,1.0,0.25,0.038606577871554665,0.038606577871554665,0.0,0.0,0.0,1.2540569305419922,False,False,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,
19,3.0369372367858887,-0.5644495487213135,0.22807952761650085,0.22727876901626587,0.2143646478652954,2.377747058868408,2.3566818237304688,0.6465537548065186,1.0497204065322876,12.260296821594238,0.31929412484169006,0.288879930973053,0.6465537548065186,12.260296821594238,0.31929412484169006,0.288879930973053,0.0001,0.25,1.0,0.25,0.038606577871554665,0.038606577871554665,0.0,0.0,0.0,1.2224231958389282,False,False,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,
20,3.006344795227051,-0.6173924207687378,0.22744125127792358,0.22996647655963898,0.19845353066921234,2.3631186485290527,2.337847948074341,0.6367377042770386,1.060997486114502,12.079147338867188,0.3159109652042389,0.2696414887905121,0.6311077600880312,11.934576988220215,0.3143911361694336,0.2666124105453491,0.0001,0.25,1.0,0.25,0.07015696587595623,0.07015696587595623,0.0,0.0,0.0,1.2006322145462036,False,False,0.0,0.0,1.0,1.0,0.7777547836303711,0.7777547836303711,0.2222452163696289,9.230385780334473,0.6789197501622367,0.6396309733390808,6.3235015869140625,-0.0,4.521994590759277,0.7769062519073486,0.6293155001309427,0.7769062519073486,2.3522093296051025,0.9357256889343262
21,2.9857819080352783,-0.6337090730667114,0.22550800442695618,0.23128554224967957,0.19294589757919312,2.3529345989227295,2.319149971008301,0.6253582835197449,1.0627590417861938,11.872039794921875,0.3122265636920929,0.24964089691638947,0.6253582835197449,11.872039794921875,0.3122265636920929,0.24964089691638947,0.0001,0.25,1.0,0.25,0.07015696587595623,0.07015696587595623,0.0,0.0,0.0,1.1777948141098022,False,False,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,
22,2.9534189701080322,-0.6722618341445923,0.2166295349597931,0.22282569110393524,0.17965133488178253,2.3544156551361084,2.314209461212158,0.6167839169502258,1.0472004413604736,11.713122367858887,0.3095453381538391,0.22655490040779114,0.6167839169502258,11.713122367858887,0.3095453381538391,0.22655490040779114,0.0001,0.25,1.0,0.25,0.07015696587595623,0.07015696587595623,0.0,0.0,0.0,1.165108561515808,False,False,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,
23,2.931562662124634,-0.6961403489112854,0.21032001078128815,0.21700741350650787,0.17035584151744843,2.3521437644958496,2.315615177154541,0.6095854640007019,1.0224807262420654,11.578989028930664,0.3067348599433899,0.2036016881465912,0.6095854640007019,11.578989028930664,0.3067348599433899,0.2036016881465912,0.0001,0.25,1.0,0.25,0.07015696587595623,0.07015696587595623,0.0,0.0,0.0,1.1550151109695435,False,False,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,
24,2.905857801437378,-0.7145535349845886,0.1998804211616516,0.20794370770454407,0.15918169915676117,2.35780668258667,2.319897413253784,0.6021417379379272,0.9884692430496216,11.440549850463867,0.30438047647476196,0.18447688221931458,0.6021417379379272,11.440549850463867,0.30438047647476196,0.18447688221931458,0.0001,0.25,1.0,0.25,0.07015696587595623,0.07015696587595623,0.0,0.0,0.0,1.1453067064285278,False,False,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,
25,2.876859188079834,-0.7257530689239502,0.18905071914196014,0.19579210877418518,0.14502498507499695,2.3645777702331543,2.329404830932617,0.5935664772987366,0.9574028849601746,11.283531188964844,0.3016135096549988,0.17309413850307465,0.5935664772987366,11.283531188964844,0.3016135096549988,0.17309413850307465,0.0001,0.25,1.0,0.25,0.07015696587595623,0.07015696587595623,0.0,0.0,0.0,1.135866641998291,False,False,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,
26,2.8530240058898926,-0.731346607208252,0.1783614158630371,0.18445757031440735,0.13341760635375977,2.374713897705078,2.3388609886169434,0.5859116315841675,0.923491895198822,11.143243789672852,0.30019181966781616,0.16540534794330597,0.5859116315841675,11.143243789672852,0.30019181966781616,0.16540534794330597,0.0001,0.25,1.0,0.25,0.07015696587595623,0.07015696587595623,0.0,0.0,0.0,1.1270337104797363,False,False,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,
