epoch,critic_loss,actor_loss,q1_loss,q2_loss,cost_loss,cql_q1,cql_q2,expected_immediate_cost,expected_cost_to_go,expected_support_cost,expected_smoothness_cost,expected_uncertainty_cost,exact_soft_inadmissibility_rate,support_cost_for_lambda,smooth_cost_for_lambda,uncertainty_cost_for_lambda,cost_budget,support_budget,smooth_budget,uncertainty_budget,lagrange,lambda_inad,lambda_support,lambda_smooth,lambda_uncertainty,expert_kl,uses_action_mask,use_certified_nudging,barrier_weight,support_weight,rho_cost,rho_reward,avg_return,survival_rate,mortality_rate,avg_length,inadmissibility_rate,expert_argmax_match,mean_kl_to_expert,policy_entropy,mean_action_deviation_from_expert,soft_survival_rate,soft_inadmissibility_rate,soft_avg_return,soft_policy_entropy,soft_mean_kl_to_expert
1,4.268011569976807,0.9884757399559021,0.03201175853610039,0.0292108952999115,0.956138014793396,3.3405797481536865,3.160722255706787,2.975575872096685e-18,0.11929039657115936,0.8810282945632935,0.11090929061174393,0.14531315863132477,2.975575872096685e-18,0.8810282945632935,0.11090929061174393,0.14531315863132477,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.006276171188801527,False,True,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
2,4.20637845993042,0.9482372403144836,0.02967938967049122,0.029478494077920914,0.9401169419288635,3.292984962463379,3.121222496032715,2.7838122450497418e-18,0.13903400301933289,0.8788695931434631,0.11076778918504715,0.14899155497550964,2.7838122450497418e-18,0.8788695931434631,0.11076778918504715,0.14899155497550964,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.00633908249437809,False,True,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
3,4.143482685089111,0.9053489565849304,0.029236262664198875,0.03138626366853714,0.9212445020675659,3.245837926864624,3.0773935317993164,2.6041357947037296e-18,0.16293969750404358,0.8764024376869202,0.11076893657445908,0.15494482219219208,2.6041357947037296e-18,0.8764024376869202,0.11076893657445908,0.15494482219219208,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.006459174677729607,False,True,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
4,4.082594871520996,0.8653020262718201,0.030092958360910416,0.03507489338517189,0.8995283246040344,3.2007551193237305,3.035041570663452,2.4336178880999045e-18,0.19364602863788605,0.8740353584289551,0.1105906292796135,0.16412892937660217,2.4336178880999045e-18,0.8740353584289551,0.1105906292796135,0.16412892937660217,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.007201713975518942,False,True,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
5,4.018631458282471,0.8216941356658936,0.032790813595056534,0.04022006317973137,0.8741705417633057,3.1512062549591064,2.991694450378418,2.2701421836410497e-18,0.2250884622335434,0.8724046349525452,0.11063212156295776,0.17323902249336243,2.2701421836410497e-18,0.8724046349525452,0.11063212156295776,0.17323902249336243,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.007587747182697058,False,True,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
6,3.9529101848602295,0.7749084830284119,0.037195030599832535,0.04775198549032211,0.8451388478279114,3.1009626388549805,2.944685935974121,2.1091790402928246e-18,0.26480934023857117,0.870205819606781,0.11064383387565613,0.18611359596252441,2.1091790402928246e-18,0.870205819606781,0.11064383387565613,0.18611359596252441,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.008544511161744595,False,True,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
7,3.8821310997009277,0.7239519357681274,0.04394485056400299,0.058412130922079086,0.8105682134628296,3.046396493911743,2.892014980316162,1.9519762600092657e-18,0.3102143704891205,0.8676072359085083,0.11056172102689743,0.1982889026403427,1.9519762600092657e-18,0.8676072359085083,0.11056172102689743,0.1982889026403427,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.00962926633656025,False,True,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
8,3.812365770339966,0.6708782315254211,0.05280002951622009,0.07091977447271347,0.7719276547431946,2.99198055267334,2.8414559364318848,1.8043706359877e-18,0.35811352729797363,0.8654195070266724,0.11055070906877518,0.21034035086631775,1.8043706359877e-18,0.8654195070266724,0.11055070906877518,0.21034035086631775,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.010618462227284908,False,True,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
9,3.734760284423828,0.611200213432312,0.06460507959127426,0.08689744770526886,0.7272279262542725,2.9296979904174805,2.7823615074157715,1.6657481934184603e-18,0.41452789306640625,0.8634097576141357,0.11065639555454254,0.22451764345169067,1.6657481934184603e-18,0.8634097576141357,0.11065639555454254,0.22451764345169067,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.011733238585293293,False,True,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
10,3.6616451740264893,0.5467237234115601,0.08056292682886124,0.10755308717489243,0.6776711940765381,2.867002010345459,2.7247140407562256,1.5353834949043375e-18,0.4773980677127838,0.8614929914474487,0.11073490232229233,0.2359115332365036,1.5798671014519244e-18,0.859864354133606,0.11062853783369064,0.23152519762516022,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.013333517126739025,False,True,25.0,1.0,1.0,1.0,0.7802960872650146,0.7802960872650146,0.21970391273498535,9.360002517700195,0.0,0.9089467525482178,3.99180006980896,-0.0,1.1173985004425049,0.7781311273574829,1.5798671014519244e-18,0.7781311273574829,0.49408939480781555,0.007040516007691622
11,3.5849947929382324,0.47731953859329224,0.09746148437261581,0.12893952429294586,0.6244814395904541,2.802891969680786,2.665332317352295,1.4122079264914896e-18,0.539768636226654,0.8586032390594482,0.11056829243898392,0.24477897584438324,1.4122079264914896e-18,0.8586032390594482,0.11056829243898392,0.24477897584438324,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.01517909299582243,False,True,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
12,3.512186050415039,0.4041205644607544,0.11778421700000763,0.15123805403709412,0.5692698359489441,2.7381670475006104,2.6096208095550537,1.3034616966840167e-18,0.6028584837913513,0.8567724823951721,0.11086833477020264,0.25009918212890625,1.3034616966840167e-18,0.8567724823951721,0.11086833477020264,0.25009918212890625,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.016802776604890823,False,True,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
13,3.440671920776367,0.32850468158721924,0.13932259380817413,0.17396432161331177,0.5117537379264832,2.6744885444641113,2.556774139404297,1.208540033056566e-18,0.6680783629417419,0.8544965982437134,0.11081115901470184,0.2535138726234436,1.208540033056566e-18,0.8544965982437134,0.11081115901470184,0.2535138726234436,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.018885426223278046,False,True,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
14,3.3708722591400146,0.2517140209674835,0.16351832449436188,0.19635158777236938,0.4531139135360718,2.6124398708343506,2.5033371448516846,1.1235023505685113e-18,0.7286784052848816,0.8515631556510925,0.11090254038572311,0.25212767720222473,1.1235023505685113e-18,0.8515631556510925,0.11090254038572311,0.25212767720222473,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.020828107371926308,False,True,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
15,3.3037729263305664,0.1748277246952057,0.18643181025981903,0.21632130444049835,0.3962366580963135,2.551225423812866,2.458340644836426,1.0526995158443052e-18,0.7812122106552124,0.8496131300926208,0.11096131056547165,0.24487102031707764,1.0526995158443052e-18,0.8496131300926208,0.11096131056547165,0.24487102031707764,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.02293533831834793,False,True,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
16,3.244791030883789,0.09838412702083588,0.20765420794487,0.23191794753074646,0.3446218967437744,2.501753091812134,2.419440746307373,9.873094408559164e-19,0.8266353011131287,0.8464964628219604,0.11091391742229462,0.2319725900888443,9.873094408559164e-19,0.8464964628219604,0.11091391742229462,0.2319725900888443,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.025436092168092728,False,True,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
17,3.186612129211426,0.029480677098035812,0.2254202514886856,0.24221386015415192,0.29676106572151184,2.4545788764953613,2.389854669570923,9.41009350236756e-19,0.8618124723434448,0.8440198302268982,0.11115309596061707,0.21961475908756256,9.41009350236756e-19,0.8440198302268982,0.11115309596061707,0.21961475908756256,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.027934322133660316,False,True,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
18,3.1289782524108887,-0.03145362809300423,0.23715248703956604,0.24511182308197021,0.25518807768821716,2.4167511463165283,2.366300106048584,9.009305884021837e-19,0.8845135569572449,0.841153621673584,0.11129306256771088,0.2033342868089676,9.009305884021837e-19,0.841153621673584,0.11129306256771088,0.2033342868089676,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.031846385449171066,False,True,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
19,3.0796494483947754,-0.07932063937187195,0.24373827874660492,0.24362438917160034,0.22136642038822174,2.3903441429138184,2.351496696472168,8.821677539652199e-19,0.9001404643058777,0.8389570116996765,0.11166291683912277,0.19013234972953796,8.821677539652199e-19,0.8389570116996765,0.11166291683912277,0.19013234972953796,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.034996431320905685,False,True,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
20,3.0336861610412598,-0.12005787342786789,0.24563531577587128,0.2368275374174118,0.19500777125358582,2.368560314178467,2.3438706398010254,8.643761846637582e-19,0.9013038277626038,0.836211621761322,0.1119840145111084,0.1726090908050537,8.8017505134064e-19,0.8344475030899048,0.11219574511051178,0.16955043375492096,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.03923014923930168,False,True,25.0,1.0,1.0,1.0,0.7849545478820801,0.7849545478820801,0.21504545211791992,8.443650245666504,0.0,0.914664626121521,4.010239124298096,-0.0,1.41318941116333,0.7792162299156189,8.8017505134064e-19,0.7792162299156189,0.4679548144340515,0.021654868498444557
21,2.9961297512054443,-0.14679239690303802,0.2431706190109253,0.22759771347045898,0.17584168910980225,2.3557591438293457,2.34328031539917,8.598278803668471e-19,0.8939992785453796,0.8344951272010803,0.11264683306217194,0.1659029871225357,8.598278803668471e-19,0.8344951272010803,0.11264683306217194,0.1659029871225357,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0430428646504879,False,True,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
22,2.9624123573303223,-0.16476207971572876,0.23715272545814514,0.21590375900268555,0.1615729182958603,2.348337173461914,2.34722900390625,8.564757826332643e-19,0.8800601959228516,0.8321529626846313,0.1133180484175682,0.15933333337306976,8.564757826332643e-19,0.8321529626846313,0.1133180484175682,0.15933333337306976,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.04731311276555061,False,True,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
23,2.929903268814087,-0.17247311770915985,0.2241644710302353,0.20035170018672943,0.14915731549263,2.351437568664551,2.3610217571258545,8.556234247108167e-19,0.8527219891548157,0.8304182291030884,0.11386101692914963,0.15150099992752075,8.556234247108167e-19,0.8304182291030884,0.11386101692914963,0.15150099992752075,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.05118625611066818,False,True,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
24,2.906175136566162,-0.17094537615776062,0.21206307411193848,0.1871677190065384,0.1419430673122406,2.3575494289398193,2.372453212738037,8.640578752242902e-19,0.8230607509613037,0.8286558985710144,0.11435537040233612,0.1488107591867447,8.640578752242902e-19,0.8286558985710144,0.11435537040233612,0.1488107591867447,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.055335335433483124,False,True,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
25,2.8830161094665527,-0.17395123839378357,0.19895996153354645,0.17431363463401794,0.13469195365905762,2.3648431301116943,2.385258197784424,8.580973151278096e-19,0.7938722372055054,0.8270087838172913,0.11485637724399567,0.14742062985897064,8.580973151278096e-19,0.8270087838172913,0.11485637724399567,0.14742062985897064,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.05988408625125885,False,True,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
26,2.864846706390381,-0.17243684828281403,0.18782447278499603,0.1642829328775406,0.13036814332008362,2.3723886013031006,2.3923537731170654,8.453101885322938e-19,0.7609053254127502,0.8244950771331787,0.11515103280544281,0.14825282990932465,8.453101885322938e-19,0.8244950771331787,0.11515103280544281,0.14825282990932465,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.06640524417161942,False,True,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
27,2.8434934616088867,-0.17257550358772278,0.1759524792432785,0.1560119390487671,0.12454380840063095,2.3779940605163574,2.3959763050079346,8.304344308900816e-19,0.7255899310112,0.8223009705543518,0.11538718640804291,0.14879700541496277,8.304344308900816e-19,0.8223009705543518,0.11538718640804291,0.14879700541496277,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.07193320989608765,False,True,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
28,2.8276524543762207,-0.16956652700901031,0.16574569046497345,0.1489008218050003,0.11873702704906464,2.388784170150757,2.3997538089752197,8.096549301197135e-19,0.6911619305610657,0.8204930424690247,0.11577614396810532,0.14868967235088348,8.096549301197135e-19,0.8204930424690247,0.11577614396810532,0.14868967235088348,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.07857029139995575,False,True,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
29,2.8073232173919678,-0.17034509778022766,0.15820634365081787,0.1445128321647644,0.11308284848928452,2.388235330581665,2.3948071002960205,7.827341302890221e-19,0.6568038463592529,0.8185680508613586,0.11585204303264618,0.15030664205551147,7.827341302890221e-19,0.8185680508613586,0.11585204303264618,0.15030664205551147,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.08639142662286758,False,True,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
30,2.7937633991241455,-0.178937166929245,0.15115725994110107,0.14230242371559143,0.10965530574321747,2.391355276107788,2.389941692352295,7.560245200084731e-19,0.6289816498756409,0.8165517449378967,0.11629270762205124,0.15031026303768158,7.622445467875899e-19,0.8138735890388489,0.1167321428656578,0.14248058199882507,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.09401639550924301,False,True,25.0,1.0,1.0,1.0,0.7831887006759644,0.7831887006759644,0.21681129932403564,8.193821907043457,0.0,0.9056794047355652,4.03562068939209,-0.0,1.6064190864562988,0.7790038585662842,7.622445467875899e-19,0.7790038585662842,0.4312567114830017,0.05279631167650223
31,2.7800023555755615,-0.18465617299079895,0.147823765873909,0.14389067888259888,0.10833216458559036,2.3849987983703613,2.374912738800049,7.18513275096477e-19,0.6037245988845825,0.8137044906616211,0.11636985093355179,0.1510244607925415,7.18513275096477e-19,0.8137044906616211,0.11636985093355179,0.1510244607925415,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.10392212867736816,False,True,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
32,2.762664318084717,-0.21030591428279877,0.14612305164337158,0.14533555507659912,0.10424201190471649,2.3743045330047607,2.3596227169036865,6.786039301911131e-19,0.5844967365264893,0.8114850521087646,0.11658652126789093,0.15035377442836761,6.786039301911131e-19,0.8114850521087646,0.11658652126789093,0.15035377442836761,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.1143084242939949,False,True,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
