epoch,critic_loss,actor_loss,q1_loss,q2_loss,cost_loss,cql_q1,cql_q2,expected_reward_lcb,expected_inad_cost,expected_immediate_cost,expected_support_cost,expected_smooth_cost,expected_uncertainty_cost,exact_soft_inadmissibility_rate,measured_support,measured_smooth,measured_uncertainty,lambda_inad,lambda_support,lambda_smooth,lambda_uncertainty,lagrange,cost_budget,uses_action_mask,avg_return,survival_rate,mortality_rate,avg_length,inadmissibility_rate,expert_argmax_match,mean_kl_to_expert,policy_entropy,mean_action_deviation_from_expert,soft_survival_rate,soft_inadmissibility_rate,soft_avg_return,soft_policy_entropy,soft_mean_kl_to_expert
1,4.256104946136475,0.920744776725769,0.03122265450656414,0.03043461963534355,0.9439349174499512,3.235029697418213,3.2659952640533447,-0.03498898446559906,0.11282701790332794,2.783794667461725e-18,0.8760489225387573,0.11183637380599976,0.10465089231729507,2.783794667461725e-18,0.8760489225387573,0.11183637380599976,0.10465089231729507,0.0,0.0,0.0,0.0,0.0,0.0001,False,,,,,,,,,,,,,,
2,4.189368724822998,0.8751473426818848,0.03135131672024727,0.029064133763313293,0.9273126721382141,3.1856796741485596,3.217601776123047,0.00831111054867506,0.12740196287631989,2.6054998155338295e-18,0.8732938766479492,0.11199783533811569,0.10919073969125748,2.6054998155338295e-18,0.8732938766479492,0.11199783533811569,0.10919073969125748,0.0,0.0,0.0,0.0,0.0,0.0001,False,,,,,,,,,,,,,,
3,4.124776363372803,0.8307580351829529,0.033234983682632446,0.02984592691063881,0.9078726768493652,3.1349265575408936,3.1727192401885986,0.051069822162389755,0.14628548920154572,2.4321562599575233e-18,0.870935320854187,0.11237727850675583,0.11643455177545547,2.4321562599575233e-18,0.870935320854187,0.11237727850675583,0.11643455177545547,0.0,0.0,0.0,0.0,0.0,0.0001,False,,,,,,,,,,,,,,
4,4.059481620788574,0.7842319011688232,0.036888107657432556,0.032051123678684235,0.8842912912368774,3.0852463245391846,3.127256393432617,0.09577743709087372,0.1674572080373764,2.279200845324271e-18,0.8682329058647156,0.11270739883184433,0.12522156536579132,2.279200845324271e-18,0.8682329058647156,0.11270739883184433,0.12522156536579132,0.0,0.0,0.0,0.0,0.0,0.0001,False,,,,,,,,,,,,,,
5,3.994391918182373,0.7381361126899719,0.0425245463848114,0.03593127429485321,0.8561590909957886,3.0365118980407715,3.0830421447753906,0.14014579355716705,0.19234660267829895,2.1283152433787795e-18,0.8654863238334656,0.11305123567581177,0.13535821437835693,2.1283152433787795e-18,0.8654863238334656,0.11305123567581177,0.13535821437835693,0.0,0.0,0.0,0.0,0.0,0.0001,False,,,,,,,,,,,,,,
6,3.926530122756958,0.6886785626411438,0.05020540952682495,0.04187794774770737,0.8236757516860962,2.986612319946289,3.0349297523498535,0.18886469304561615,0.22394534945487976,1.9830455774070637e-18,0.8634559512138367,0.11323915421962738,0.1482207179069519,1.9830455774070637e-18,0.8634559512138367,0.11323915421962738,0.1482207179069519,0.0,0.0,0.0,0.0,0.0,0.0001,False,,,,,,,,,,,,,,
7,3.85390043258667,0.6378201842308044,0.06004093214869499,0.04948445409536362,0.7866517901420593,2.9295055866241455,2.98594069480896,0.23887982964515686,0.2595652639865875,1.8490247405854564e-18,0.8610553741455078,0.11349688470363617,0.16373151540756226,1.8490247405854564e-18,0.8610553741455078,0.11349688470363617,0.16373151540756226,0.0,0.0,0.0,0.0,0.0,0.0001,False,,,,,,,,,,,,,,
8,3.779472827911377,0.579197883605957,0.07305005192756653,0.060335688292980194,0.7430682182312012,2.874117136001587,2.9319205284118652,0.2965455651283264,0.30109286308288574,1.7118914299139653e-18,0.8585634231567383,0.11365862190723419,0.17901241779327393,1.7118914299139653e-18,0.8585634231567383,0.11365862190723419,0.17901241779327393,0.0,0.0,0.0,0.0,0.0,0.0001,False,,,,,,,,,,,,,,
9,3.702927350997925,0.5173829197883606,0.08793947100639343,0.0730515867471695,0.695271909236908,2.8164894580841064,2.8768391609191895,0.3579869568347931,0.34742429852485657,1.5841602676750581e-18,0.8565337657928467,0.11406157910823822,0.19550234079360962,1.5841602676750581e-18,0.8565337657928467,0.11406157910823822,0.19550234079360962,0.0,0.0,0.0,0.0,0.0,0.0001,False,,,,,,,,,,,,,,
10,3.6240947246551514,0.4516550302505493,0.10561095178127289,0.08869706839323044,0.6420446038246155,2.756610155105591,2.8188741207122803,0.42269474267959595,0.40272384881973267,1.4677133999550228e-18,0.8538139462471008,0.1139804869890213,0.2124135047197342,1.4450311086724966e-18,0.8527116775512695,0.11445911228656769,0.2086266577243805,0.0,0.0006027116775512696,0.0,0.0,0.0,0.0001,False,0.7775802612304688,0.7775802612304688,0.22241973876953125,8.313940048217773,0.0,0.8867961168289185,4.070855140686035,-0.0,1.4685215950012207,0.7778118252754211,1.4298774420129297e-18,0.7778118252754211,0.4772495925426483,0.022472776472568512
