epoch,critic_loss,actor_loss,q1_loss,q2_loss,cost_loss,cql_q1,cql_q2,expected_reward_lcb,expected_inad_cost,expected_immediate_cost,expected_support_cost,expected_smooth_cost,expected_uncertainty_cost,exact_soft_inadmissibility_rate,measured_support,measured_smooth,measured_uncertainty,lambda_inad,lambda_support,lambda_smooth,lambda_uncertainty,lagrange,cost_budget,uses_action_mask,avg_return,survival_rate,mortality_rate,avg_length,inadmissibility_rate,expert_argmax_match,mean_kl_to_expert,policy_entropy,mean_action_deviation_from_expert,soft_survival_rate,soft_inadmissibility_rate,soft_avg_return,soft_policy_entropy,soft_mean_kl_to_expert
1,4.2922515869140625,0.9178512692451477,0.030187075957655907,0.03415680304169655,0.9618532061576843,3.251248598098755,3.280860424041748,-0.026789240539073944,0.13527804613113403,2.832356786863488e-18,0.8808460235595703,0.11208988726139069,0.10980239510536194,2.832356786863488e-18,0.8808460235595703,0.11208988726139069,0.10980239510536194,0.0,0.0,0.0,0.0,0.0,0.0001,False,,,,,,,,,,,,,,
2,4.226925373077393,0.8786613941192627,0.029692942276597023,0.03240653872489929,0.9431868195533752,3.2106058597564697,3.232672691345215,0.010327998548746109,0.14918629825115204,2.6517206002117613e-18,0.8784118294715881,0.11160077899694443,0.11339428275823593,2.6517206002117613e-18,0.8784118294715881,0.11160077899694443,0.11339428275823593,0.0,0.0,0.0,0.0,0.0,0.0001,False,,,,,,,,,,,,,,
3,4.164132118225098,0.8399038910865784,0.03078525699675083,0.03196091949939728,0.9219993352890015,3.17138934135437,3.1873838901519775,0.047913823276758194,0.17247702181339264,2.4724829691807085e-18,0.8763301968574524,0.11121856421232224,0.12246735394001007,2.4724829691807085e-18,0.8763301968574524,0.11121856421232224,0.12246735394001007,0.0,0.0,0.0,0.0,0.0,0.0001,False,,,,,,,,,,,,,,
4,4.0996503829956055,0.800588071346283,0.03351706638932228,0.03340227156877518,0.896393895149231,3.129805564880371,3.142869234085083,0.08597046881914139,0.19427719712257385,2.3128881893607994e-18,0.8742794990539551,0.11070402711629868,0.13035137951374054,2.3128881893607994e-18,0.8742794990539551,0.11070402711629868,0.13035137951374054,0.0,0.0,0.0,0.0,0.0,0.0001,False,,,,,,,,,,,,,,
5,4.034415245056152,0.7599360346794128,0.03799935057759285,0.03635251894593239,0.8671252131462097,3.0871171951293945,3.0987584590911865,0.12615099549293518,0.22340665757656097,2.149202587821509e-18,0.8724077939987183,0.1104251816868782,0.14432086050510406,2.149202587821509e-18,0.8724077939987183,0.1104251816868782,0.14432086050510406,0.0,0.0,0.0,0.0,0.0,0.0001,False,,,,,,,,,,,,,,
6,3.9671642780303955,0.7189175486564636,0.04474403336644173,0.04110489413142204,0.8334785103797913,3.0421414375305176,3.053532123565674,0.16620846092700958,0.2566971480846405,1.998720029629484e-18,0.8698598742485046,0.1096629947423935,0.1601453572511673,1.998720029629484e-18,0.8698598742485046,0.1096629947423935,0.1601453572511673,0.0,0.0,0.0,0.0,0.0,0.0001,False,,,,,,,,,,,,,,
7,3.892549991607666,0.6718340516090393,0.0535753034055233,0.04781937599182129,0.7935860753059387,2.992365837097168,3.002772331237793,0.21326784789562225,0.29669487476348877,1.8548129369217962e-18,0.8680704236030579,0.10928612947463989,0.1777583211660385,1.8548129369217962e-18,0.8680704236030579,0.10928612947463989,0.1777583211660385,0.0,0.0,0.0,0.0,0.0,0.0001,False,,,,,,,,,,,,,,
8,3.816160202026367,0.6196010708808899,0.06521786004304886,0.0564139150083065,0.7496179342269897,2.940469741821289,2.9493510723114014,0.26496320962905884,0.34210383892059326,1.7185570580850707e-18,0.8657519817352295,0.10878843069076538,0.195510596036911,1.7185570580850707e-18,0.8657519817352295,0.10878843069076538,0.195510596036911,0.0,0.0,0.0,0.0,0.0,0.0001,False,,,,,,,,,,,,,,
9,3.7372772693634033,0.5620102286338806,0.07928723096847534,0.06821083277463913,0.7008455395698547,2.884359836578369,2.893507480621338,0.32302093505859375,0.3942304849624634,1.5813920043575729e-18,0.86407470703125,0.10831811279058456,0.2169024795293808,1.5813920043575729e-18,0.86407470703125,0.10831811279058456,0.2169024795293808,0.0,0.0,0.0,0.0,0.0,0.0001,False,,,,,,,,,,,,,,
10,3.657951831817627,0.4972865581512451,0.09536799043416977,0.08137883991003036,0.6494774222373962,2.8269972801208496,2.8364574909210205,0.3877066373825073,0.45352333784103394,1.4530948437845263e-18,0.8618528842926025,0.10792754590511322,0.23867279291152954,1.4563280879154636e-18,0.8608932495117188,0.10761938244104385,0.2353426218032837,0.0,0.0006108932495117187,0.0,0.0,0.0,0.0001,False,0.7785888314247131,0.7785888314247131,0.22141116857528687,8.719009399414062,0.0,0.8749278783798218,4.063365936279297,-0.0,1.1063127517700195,0.7777454257011414,1.4409100734648673e-18,0.7777454257011414,0.4849417507648468,0.017716091126203537
