epoch,loss,kl_loss,entropy,avg_return,survival_rate,mortality_rate,avg_length,inadmissibility_rate,expert_argmax_match,mean_kl_to_expert,policy_entropy,mean_action_deviation_from_expert,soft_survival_rate,soft_inadmissibility_rate,soft_avg_return,soft_policy_entropy,soft_mean_kl_to_expert
1,2.9065001010894775,2.9065001010894775,3.210519313812256,,,,,,,,,,,,,,
2,2.8035683631896973,2.8035683631896973,3.210155725479126,,,,,,,,,,,,,,
3,2.7009565830230713,2.7009565830230713,3.2083981037139893,,,,,,,,,,,,,,
4,2.6009085178375244,2.6009085178375244,3.2053167819976807,,,,,,,,,,,,,,
5,2.502760648727417,2.502760648727417,3.199165105819702,,,,,,,,,,,,,,
6,2.3968281745910645,2.3968281745910645,3.190697431564331,,,,,,,,,,,,,,
7,2.301527261734009,2.301527261734009,3.181723117828369,,,,,,,,,,,,,,
8,2.185379981994629,2.185379981994629,3.1604058742523193,,,,,,,,,,,,,,
9,2.077393054962158,2.077393054962158,3.13643217086792,,,,,,,,,,,,,,
10,1.9677120447158813,1.9677120447158813,3.10282564163208,0.7001627683639526,0.7001627683639526,0.29983723163604736,26.200546264648438,0.0,0.9978345632553101,0.9168972969055176,-0.0,0.5709724426269531,0.29201212525367737,0.6852510140445012,0.29201212525367737,3.146395206451416,2.040616035461426
11,1.8511379957199097,1.8511379957199097,3.0642337799072266,,,,,,,,,,,,,,
12,1.7360219955444336,1.7360219955444336,3.019057512283325,,,,,,,,,,,,,,
13,1.6206926107406616,1.6206926107406616,2.9588866233825684,,,,,,,,,,,,,,
14,1.4935812950134277,1.4935812950134277,2.889450788497925,,,,,,,,,,,,,,
15,1.3769233226776123,1.3769233226776123,2.8209567070007324,,,,,,,,,,,,,,
16,1.2610336542129517,1.2610336542129517,2.72792387008667,,,,,,,,,,,,,,
17,1.1508115530014038,1.1508115530014038,2.636154890060425,,,,,,,,,,,,,,
18,1.0326604843139648,1.0326604843139648,2.5102062225341797,,,,,,,,,,,,,,
19,0.9297202825546265,0.9297202825546265,2.3903541564941406,,,,,,,,,,,,,,
20,0.8239127993583679,0.8239127993583679,2.2529115676879883,0.7001627683639526,0.7001627683639526,0.29983723163604736,26.200546264648438,0.0,0.9978345632553101,0.9168972969055176,-0.0,0.5709724426269531,0.4869236648082733,0.4400104389109108,0.4869236648082733,2.4253783226013184,0.8462388515472412
21,0.7259655594825745,0.7259655594825745,2.095935821533203,,,,,,,,,,,,,,
22,0.6429153680801392,0.6429153680801392,1.953203558921814,,,,,,,,,,,,,,
23,0.5715252161026001,0.5715252161026001,1.7901989221572876,,,,,,,,,,,,,,
24,0.5034511685371399,0.5034511685371399,1.6362754106521606,,,,,,,,,,,,,,
25,0.45085105299949646,0.45085105299949646,1.4865293502807617,,,,,,,,,,,,,,
26,0.4027310311794281,0.4027310311794281,1.3234902620315552,,,,,,,,,,,,,,
27,0.3587930500507355,0.3587930500507355,1.1772613525390625,,,,,,,,,,,,,,
28,0.33088627457618713,0.33088627457618713,1.0573064088821411,,,,,,,,,,,,,,
29,0.29733169078826904,0.29733169078826904,0.9138528108596802,,,,,,,,,,,,,,
30,0.2875555157661438,0.2875555157661438,0.8353583812713623,0.7001627683639526,0.7001627683639526,0.29983723163604736,26.200546264648438,0.0,0.9978345632553101,0.9168972969055176,-0.0,0.5709724426269531,0.6549645066261292,0.11097227184311183,0.6549645066261292,0.898263156414032,0.21271923184394836
31,0.26977303624153137,0.26977303624153137,0.7398809194564819,,,,,,,,,,,,,,
32,0.25644195079803467,0.25644195079803467,0.6534170508384705,,,,,,,,,,,,,,
33,0.25084829330444336,0.25084829330444336,0.5929686427116394,,,,,,,,,,,,,,
34,0.23849864304065704,0.23849864304065704,0.5340963006019592,,,,,,,,,,,,,,
35,0.2315199375152588,0.2315199375152588,0.49578434228897095,,,,,,,,,,,,,,
36,0.23092538118362427,0.23092538118362427,0.46125781536102295,,,,,,,,,,,,,,
37,0.2249922752380371,0.2249922752380371,0.43410512804985046,,,,,,,,,,,,,,
38,0.2227485179901123,0.2227485179901123,0.41394948959350586,,,,,,,,,,,,,,
39,0.2155875414609909,0.2155875414609909,0.39828363060951233,,,,,,,,,,,,,,
40,0.20949046313762665,0.20949046313762665,0.3868817687034607,0.7001627683639526,0.7001627683639526,0.29983723163604736,26.200546264648438,0.0,0.9978345632553101,0.9168972969055176,-0.0,0.5709724426269531,0.6798089742660522,0.038958278729542696,0.6798089742660522,0.443062424659729,0.13079944252967834
41,0.21241499483585358,0.21241499483585358,0.3874708116054535,,,,,,,,,,,,,,
42,0.2062142938375473,0.2062142938375473,0.3764936923980713,,,,,,,,,,,,,,
43,0.20049357414245605,0.20049357414245605,0.37521126866340637,,,,,,,,,,,,,,
44,0.19699275493621826,0.19699275493621826,0.3809802234172821,,,,,,,,,,,,,,
45,0.19016654789447784,0.19016654789447784,0.3715909421443939,,,,,,,,,,,,,,
46,0.19538748264312744,0.19538748264312744,0.3885161876678467,,,,,,,,,,,,,,
47,0.18779954314231873,0.18779954314231873,0.40369582176208496,,,,,,,,,,,,,,
48,0.18073996901512146,0.18073996901512146,0.4039486050605774,,,,,,,,,,,,,,
49,0.17632822692394257,0.17632822692394257,0.4235164523124695,,,,,,,,,,,,,,
50,0.18014922738075256,0.18014922738075256,0.437041699886322,0.7001627683639526,0.7001627683639526,0.29983723163604736,26.200546264648438,0.0,0.9978345632553101,0.9168972969055176,-0.0,0.5709724426269531,0.6742897033691406,0.03920153465528883,0.6742897033691406,0.49174386262893677,0.1232687383890152
51,0.17537035048007965,0.17537035048007965,0.441291868686676,,,,,,,,,,,,,,
52,0.17247360944747925,0.17247360944747925,0.44692298769950867,,,,,,,,,,,,,,
53,0.16826684772968292,0.16826684772968292,0.45277464389801025,,,,,,,,,,,,,,
54,0.16748137772083282,0.16748137772083282,0.4613920748233795,,,,,,,,,,,,,,
55,0.16852237284183502,0.16852237284183502,0.4740285277366638,,,,,,,,,,,,,,
56,0.16727809607982635,0.16727809607982635,0.48223230242729187,,,,,,,,,,,,,,
57,0.16411341726779938,0.16411341726779938,0.4832440912723541,,,,,,,,,,,,,,
58,0.1668105572462082,0.1668105572462082,0.4836156666278839,,,,,,,,,,,,,,
59,0.16236896812915802,0.16236896812915802,0.4816005825996399,,,,,,,,,,,,,,
60,0.15905870497226715,0.15905870497226715,0.48430150747299194,0.7001627683639526,0.7001627683639526,0.29983723163604736,26.200546264648438,0.0,0.9978345632553101,0.9168972969055176,-0.0,0.5709724426269531,0.6750955581665039,0.038694235987152235,0.6750955581665039,0.5255265831947327,0.11418900638818741
61,0.15958616137504578,0.15958616137504578,0.4784373641014099,,,,,,,,,,,,,,
62,0.15881596505641937,0.15881596505641937,0.4716675877571106,,,,,,,,,,,,,,
63,0.15378467738628387,0.15378467738628387,0.48193615674972534,,,,,,,,,,,,,,
64,0.15439368784427643,0.15439368784427643,0.4852473735809326,,,,,,,,,,,,,,
65,0.1487831175327301,0.1487831175327301,0.47012680768966675,,,,,,,,,,,,,,
66,0.14860810339450836,0.14860810339450836,0.46443289518356323,,,,,,,,,,,,,,
67,0.15167243778705597,0.15167243778705597,0.46860602498054504,,,,,,,,,,,,,,
68,0.1495247483253479,0.1495247483253479,0.45574575662612915,,,,,,,,,,,,,,
69,0.1473601758480072,0.1473601758480072,0.45596805214881897,,,,,,,,,,,,,,
70,0.14244946837425232,0.14244946837425232,0.45726245641708374,0.7001627683639526,0.7001627683639526,0.29983723163604736,26.200546264648438,0.0,0.9978345632553101,0.9168972969055176,-0.0,0.5709724426269531,0.6804003119468689,0.03371770030747985,0.6804003119468689,0.48062795400619507,0.09678419679403305
71,0.1405782699584961,0.1405782699584961,0.45354267954826355,,,,,,,,,,,,,,
72,0.14432889223098755,0.14432889223098755,0.453146755695343,,,,,,,,,,,,,,
73,0.14063355326652527,0.14063355326652527,0.4483511745929718,,,,,,,,,,,,,,
74,0.14153413474559784,0.14153413474559784,0.4563668668270111,,,,,,,,,,,,,,
75,0.13815633952617645,0.13815633952617645,0.44034621119499207,,,,,,,,,,,,,,
76,0.1383257359266281,0.1383257359266281,0.44855067133903503,,,,,,,,,,,,,,
77,0.13497193157672882,0.13497193157672882,0.449183851480484,,,,,,,,,,,,,,
78,0.13404977321624756,0.13404977321624756,0.4477219879627228,,,,,,,,,,,,,,
79,0.13134492933750153,0.13134492933750153,0.44472450017929077,,,,,,,,,,,,,,
80,0.13125771284103394,0.13125771284103394,0.45558831095695496,0.7001627683639526,0.7001627683639526,0.29983723163604736,26.200546264648438,0.0,0.9978345632553101,0.9168972969055176,-0.0,0.5709724426269531,0.6811299920082092,0.03404319379684574,0.6811299920082092,0.47882866859436035,0.09085574746131897
81,0.13326865434646606,0.13326865434646606,0.4559935927391052,,,,,,,,,,,,,,
82,0.13255661725997925,0.13255661725997925,0.4598478376865387,,,,,,,,,,,,,,
83,0.13004347681999207,0.13004347681999207,0.46446484327316284,,,,,,,,,,,,,,
84,0.13273434340953827,0.13273434340953827,0.469925194978714,,,,,,,,,,,,,,
85,0.12795431911945343,0.12795431911945343,0.4714677333831787,,,,,,,,,,,,,,
86,0.12536761164665222,0.12536761164665222,0.46335503458976746,,,,,,,,,,,,,,
87,0.12662462890148163,0.12662462890148163,0.4722311794757843,,,,,,,,,,,,,,
88,0.12570366263389587,0.12570366263389587,0.4642988443374634,,,,,,,,,,,,,,
89,0.1274554282426834,0.1274554282426834,0.47053977847099304,,,,,,,,,,,,,,
90,0.12429799884557724,0.12429799884557724,0.4674445688724518,0.7001627683639526,0.7001627683639526,0.29983723163604736,26.200546264648438,0.0,0.9978345632553101,0.9168972969055176,-0.0,0.5709724426269531,0.681403636932373,0.03450863860475196,0.681403636932373,0.4875756800174713,0.08776432275772095
91,0.1241527870297432,0.1241527870297432,0.46429571509361267,,,,,,,,,,,,,,
92,0.12422748655080795,0.12422748655080795,0.47571486234664917,,,,,,,,,,,,,,
93,0.12487419694662094,0.12487419694662094,0.4728277921676636,,,,,,,,,,,,,,
94,0.12059307843446732,0.12059307843446732,0.4690949022769928,,,,,,,,,,,,,,
95,0.12318040430545807,0.12318040430545807,0.4650536775588989,,,,,,,,,,,,,,
96,0.12032241374254227,0.12032241374254227,0.4660736620426178,,,,,,,,,,,,,,
97,0.11745888739824295,0.11745888739824295,0.46866992115974426,,,,,,,,,,,,,,
98,0.11734464019536972,0.11734464019536972,0.4645312428474426,,,,,,,,,,,,,,
99,0.11698730289936066,0.11698730289936066,0.465433806180954,,,,,,,,,,,,,,
100,0.1180298700928688,0.1180298700928688,0.46534430980682373,0.7001627683639526,0.7001627683639526,0.29983723163604736,26.200546264648438,0.0,0.9978345632553101,0.9168972969055176,-0.0,0.5709724426269531,0.6829211711883545,0.03257125359704868,0.6829211711883545,0.4731488823890686,0.08261650800704956
101,0.11930127441883087,0.11930127441883087,0.46404463052749634,,,,,,,,,,,,,,
102,0.11678947508335114,0.11678947508335114,0.4591376483440399,,,,,,,,,,,,,,
103,0.11411016434431076,0.11411016434431076,0.4591187536716461,,,,,,,,,,,,,,
104,0.11503348499536514,0.11503348499536514,0.4607280194759369,,,,,,,,,,,,,,
105,0.1153385117650032,0.1153385117650032,0.4529554843902588,,,,,,,,,,,,,,
106,0.11284393072128296,0.11284393072128296,0.4622575044631958,,,,,,,,,,,,,,
107,0.11070527136325836,0.11070527136325836,0.46088725328445435,,,,,,,,,,,,,,
108,0.10869156569242477,0.10869156569242477,0.4550293982028961,,,,,,,,,,,,,,
109,0.1101483404636383,0.1101483404636383,0.45771387219429016,,,,,,,,,,,,,,
110,0.10985887795686722,0.10985887795686722,0.45183128118515015,0.7001627683639526,0.7001627683639526,0.29983723163604736,26.200546264648438,0.0,0.9978345632553101,0.9168972969055176,-0.0,0.5709724426269531,0.6839718222618103,0.030725864322443352,0.6839718222618103,0.4552338421344757,0.07819188386201859
111,0.10889794677495956,0.10889794677495956,0.44524842500686646,,,,,,,,,,,,,,
112,0.10613943636417389,0.10613943636417389,0.45129409432411194,,,,,,,,,,,,,,
113,0.10865211486816406,0.10865211486816406,0.4509204030036926,,,,,,,,,,,,,,
114,0.10846097022294998,0.10846097022294998,0.4503106474876404,,,,,,,,,,,,,,
115,0.10548613965511322,0.10548613965511322,0.4507051110267639,,,,,,,,,,,,,,
116,0.10732107609510422,0.10732107609510422,0.458347350358963,,,,,,,,,,,,,,
