epoch,critic_loss,actor_loss,q1_loss,q2_loss,cost_loss,cql_q1,cql_q2,expected_reward_lcb,expected_inad_cost,expected_immediate_cost,expected_support_cost,expected_smooth_cost,expected_uncertainty_cost,exact_soft_inadmissibility_rate,measured_support,measured_smooth,measured_uncertainty,lambda_inad,lambda_support,lambda_smooth,lambda_uncertainty,lagrange,cost_budget,uses_action_mask,avg_return,survival_rate,mortality_rate,avg_length,inadmissibility_rate,expert_argmax_match,mean_kl_to_expert,policy_entropy,mean_action_deviation_from_expert,soft_survival_rate,soft_inadmissibility_rate,soft_avg_return,soft_policy_entropy,soft_mean_kl_to_expert
1,3.9440770149230957,0.21549241244792938,0.022008240222930908,0.023434149101376534,0.7479411363601685,3.2155513763427734,3.0858356952667236,0.10102909803390503,0.034233659505844116,2.4751648955217586e-18,0.31025969982147217,0.053488485515117645,0.06517466902732849,2.4751648955217586e-18,0.31025969982147217,0.053488485515117645,0.06517466902732849,0.0,0.0,0.0,0.0,0.0,0.0001,False,,,,,,,,,,,,,,
2,3.8653435707092285,0.13584744930267334,0.021599235013127327,0.02608156017959118,0.7376756072044373,3.146923065185547,3.0130512714385986,0.16097058355808258,0.03478096053004265,2.2075250248610918e-18,0.29041364789009094,0.05165936052799225,0.06641296297311783,2.2075250248610918e-18,0.29041364789009094,0.05165936052799225,0.06641296297311783,0.0,0.0,0.0,0.0,0.0,0.0001,False,,,,,,,,,,,,,,
3,3.788322925567627,0.04794424772262573,0.02259593829512596,0.030140290036797523,0.7249703407287598,3.075650215148926,2.945582389831543,0.2288709431886673,0.0391559936106205,1.9397230268003645e-18,0.2702310085296631,0.049812618643045425,0.06800435483455658,1.9397230268003645e-18,0.2702310085296631,0.049812618643045425,0.06800435483455658,0.0,0.0,0.0,0.0,0.0,0.0001,False,,,,,,,,,,,,,,
4,3.707639455795288,-0.04407517984509468,0.024959247559309006,0.036420632153749466,0.7102199196815491,3.0027403831481934,2.8693389892578125,0.30274438858032227,0.038349587470293045,1.7127394968369853e-18,0.25232774019241333,0.048156578093767166,0.06538736820220947,1.7127394968369853e-18,0.25232774019241333,0.048156578093767166,0.06538736820220947,0.0,0.0,0.0,0.0,0.0,0.0001,False,,,,,,,,,,,,,,
5,3.6274728775024414,-0.13284459710121155,0.028452027589082718,0.04373396188020706,0.6941489577293396,2.9279513359069824,2.7943241596221924,0.3751679062843323,0.03888515755534172,1.5176835875545044e-18,0.23588673770427704,0.04669366776943207,0.06615110486745834,1.5176835875545044e-18,0.23588673770427704,0.04669366776943207,0.06615110486745834,0.0,0.0,0.0,0.0,0.0,0.0001,False,,,,,,,,,,,,,,
6,3.541048049926758,-0.22730255126953125,0.034966353327035904,0.052694905549287796,0.6732392311096191,2.8427183628082275,2.7175769805908203,0.4549391269683838,0.04001246392726898,1.3376655116155078e-18,0.22103707492351532,0.04522104561328888,0.0676058977842331,1.3376655116155078e-18,0.22103707492351532,0.04522104561328888,0.0676058977842331,0.0,0.0,0.0,0.0,0.0,0.0001,False,,,,,,,,,,,,,,
7,3.4559950828552246,-0.32635241746902466,0.04378311336040497,0.0654461607336998,0.6500997543334961,2.760199785232544,2.633132219314575,0.5410746335983276,0.039480455219745636,1.1754422620016348e-18,0.20812100172042847,0.04410500079393387,0.06745433807373047,1.1754422620016348e-18,0.20812100172042847,0.04410500079393387,0.06745433807373047,0.0,0.0,0.0,0.0,0.0,0.0001,False,,,,,,,,,,,,,,
8,3.3690683841705322,-0.4344103932380676,0.05402487516403198,0.07750800251960754,0.622992992401123,2.6736533641815186,2.555431604385376,0.6364409923553467,0.04181734472513199,1.029658813471947e-18,0.1953974813222885,0.042857829481363297,0.06760915368795395,1.029658813471947e-18,0.1953974813222885,0.042857829481363297,0.06760915368795395,0.0,0.0,0.0,0.0,0.0,0.0001,False,,,,,,,,,,,,,,
9,3.2821764945983887,-0.5382556319236755,0.06822896748781204,0.093918077647686,0.592915952205658,2.5836434364318848,2.47058367729187,0.7303422689437866,0.039872292429208755,9.067865101511762e-19,0.1852075159549713,0.042019858956336975,0.06991948187351227,9.067865101511762e-19,0.1852075159549713,0.042019858956336975,0.06991948187351227,0.0,0.0,0.0,0.0,0.0,0.0001,False,,,,,,,,,,,,,,
10,3.1940581798553467,-0.6577118039131165,0.08569108694791794,0.1114145889878273,0.5606942176818848,2.487427234649658,2.385089635848999,0.8396492004394531,0.03840410336852074,7.874164378451668e-19,0.1755792796611786,0.041116803884506226,0.06457743793725967,8.269652553349297e-19,0.1724821776151657,0.04081772267818451,0.06190694496035576,0.0,0.0,0.0,0.0,0.0,0.0001,False,0.7039822936058044,0.7039822936058044,0.29601770639419556,25.987783432006836,0.0,0.964486837387085,1.4803690910339355,-0.0,0.7016642093658447,0.6978856921195984,8.269652553349297e-19,0.6978856921195984,0.11659486591815948,0.03501908853650093
11,3.1048386096954346,-0.7815004587173462,0.1031995564699173,0.12842048704624176,0.5255370140075684,2.393742084503174,2.301621198654175,0.9546255469322205,0.037613097578287125,6.864436895429493e-19,0.16668745875358582,0.04027916118502617,0.06524104624986649,6.864436895429493e-19,0.16668745875358582,0.04027916118502617,0.06524104624986649,0.0,0.0,0.0,0.0,0.0,0.0001,False,,,,,,,,,,,,,,
12,3.018568277359009,-0.8994025588035583,0.12649881839752197,0.14768189191818237,0.4897298514842987,2.2956740856170654,2.2136411666870117,1.065672755241394,0.03739367052912712,6.050736224933782e-19,0.15975826978683472,0.03965818136930466,0.0658741295337677,6.050736224933782e-19,0.15975826978683472,0.03965818136930466,0.0658741295337677,0.0,0.0,0.0,0.0,0.0,0.0001,False,,,,,,,,,,,,,,
13,2.934697151184082,-1.0257664918899536,0.1461348682641983,0.1635182648897171,0.45454734563827515,2.205841541290283,2.1351518630981445,1.1847699880599976,0.0355534702539444,5.272987925786924e-19,0.15272602438926697,0.03897189721465111,0.06342573463916779,5.272987925786924e-19,0.15272602438926697,0.03897189721465111,0.06342573463916779,0.0,0.0,0.0,0.0,0.0,0.0001,False,,,,,,,,,,,,,,
14,2.8478572368621826,-1.1657347679138184,0.16684705018997192,0.17587074637413025,0.4180711805820465,2.113748788833618,2.0603878498077393,1.319621205329895,0.036418311297893524,4.588090133411259e-19,0.1472679078578949,0.038548752665519714,0.0667351633310318,4.588090133411259e-19,0.1472679078578949,0.038548752665519714,0.0667351633310318,0.0,0.0,0.0,0.0,0.0,0.0001,False,,,,,,,,,,,,,,
15,2.7712244987487793,-1.3118022680282593,0.185818150639534,0.18650676310062408,0.388577938079834,2.0323293209075928,1.988314151763916,1.4593313932418823,0.03467049077153206,3.964632990490561e-19,0.14146126806735992,0.03798360750079155,0.061134353280067444,3.964632990490561e-19,0.14146126806735992,0.03798360750079155,0.061134353280067444,0.0,0.0,0.0,0.0,0.0,0.0001,False,,,,,,,,,,,,,,
16,2.7017757892608643,-1.439276933670044,0.20575402677059174,0.1990886777639389,0.3625311851501465,1.9521206617355347,1.9166830778121948,1.582930088043213,0.03419243544340134,3.5174837082688296e-19,0.1373964101076126,0.03757821023464203,0.06296102702617645,3.5174837082688296e-19,0.1373964101076126,0.03757821023464203,0.06296102702617645,0.0,0.0,0.0,0.0,0.0,0.0001,False,,,,,,,,,,,,,,
17,2.6301093101501465,-1.5953257083892822,0.22545985877513885,0.2127339094877243,0.33928465843200684,1.8643031120300293,1.840958833694458,1.7345061302185059,0.03232189640402794,3.0142593353342454e-19,0.1333945095539093,0.03724882751703262,0.05817456543445587,3.0142593353342454e-19,0.1333945095539093,0.03724882751703262,0.05817456543445587,0.0,0.0,0.0,0.0,0.0,0.0001,False,,,,,,,,,,,,,,
18,2.5778918266296387,-1.7250638008117676,0.2352401316165924,0.2189345508813858,0.324023574590683,1.8108314275741577,1.7885555028915405,1.8616069555282593,0.035978492349386215,2.70137232327541e-19,0.13052551448345184,0.03697643056511879,0.06044064834713936,2.70137232327541e-19,0.13052551448345184,0.03697643056511879,0.06044064834713936,0.0,0.0,0.0,0.0,0.0,0.0001,False,,,,,,,,,,,,,,
19,2.5203378200531006,-1.8630362749099731,0.24959836900234222,0.23201720416545868,0.31053319573402405,1.7369627952575684,1.719415307044983,1.9964041709899902,0.03403791785240173,2.356013560788981e-19,0.12755702435970306,0.03671795874834061,0.05831810086965561,2.356013560788981e-19,0.12755702435970306,0.03671795874834061,0.05831810086965561,0.0,0.0,0.0,0.0,0.0,0.0001,False,,,,,,,,,,,,,,
20,2.473238945007324,-1.9910123348236084,0.2593272924423218,0.2409895360469818,0.30025777220726013,1.6768255233764648,1.668502926826477,2.121968984603882,0.03375263139605522,2.0690079961211643e-19,0.12496615946292877,0.0364825613796711,0.06006300076842308,2.3250555739938215e-19,0.12444979697465897,0.036443423479795456,0.053298793733119965,0.0,0.0,0.0,0.0,0.0,0.0001,False,0.7001627683639526,0.7001627683639526,0.29983723163604736,26.200546264648438,0.0,0.9978345632553101,0.9168972969055176,-0.0,0.5709724426269531,0.6995764970779419,2.3250555739938215e-19,0.6995764970779419,0.037372879683971405,0.12193479388952255
21,2.4346108436584473,-2.1172196865081787,0.27475517988204956,0.2589062452316284,0.2968311905860901,1.6090658903121948,1.5991705656051636,2.2464396953582764,0.03112035244703293,1.871733950327334e-19,0.12364690750837326,0.036385830491781235,0.05586531013250351,1.871733950327334e-19,0.12364690750837326,0.036385830491781235,0.05586531013250351,0.0,0.0,0.0,0.0,0.0,0.0001,False,,,,,,,,,,,,,,
22,2.396362066268921,-2.218918800354004,0.2835710346698761,0.2702564597129822,0.28939205408096313,1.5586841106414795,1.5476007461547852,2.3468384742736816,0.033941496163606644,1.6843157615320733e-19,0.12186497449874878,0.036233462393283844,0.060650162398815155,1.6843157615320733e-19,0.12186497449874878,0.036233462393283844,0.060650162398815155,0.0,0.0,0.0,0.0,0.0,0.0001,False,,,,,,,,,,,,,,
23,2.3551206588745117,-2.3259010314941406,0.2878760099411011,0.2796725034713745,0.27754780650138855,1.5155495405197144,1.5044993162155151,2.4522433280944824,0.03724406659603119,1.504373863757614e-19,0.12035682052373886,0.036119211465120316,0.0599207878112793,1.504373863757614e-19,0.12035682052373886,0.036119211465120316,0.0599207878112793,0.0,0.0,0.0,0.0,0.0,0.0001,False,,,,,,,,,,,,,,
24,2.351597785949707,-2.4056355953216553,0.30056285858154297,0.2989136874675751,0.2826427221298218,1.477191686630249,1.4617655277252197,2.5311450958251953,0.04249810054898262,1.3734959255227961e-19,0.11941908299922943,0.03602369502186775,0.060954611748456955,1.3734959255227961e-19,0.11941908299922943,0.03602369502186775,0.060954611748456955,0.0,0.0,0.0,0.0,0.0,0.0001,False,,,,,,,,,,,,,,
25,2.302283763885498,-2.4799599647521973,0.30286622047424316,0.3043597340583801,0.26328936219215393,1.439091444015503,1.4244451522827148,2.60445237159729,0.03901815041899681,1.2490139028806031e-19,0.11838610470294952,0.03593422472476959,0.06108850613236427,1.2490139028806031e-19,0.11838610470294952,0.03593422472476959,0.06108850613236427,0.0,0.0,0.0,0.0,0.0,0.0001,False,,,,,,,,,,,,,,
