epoch,critic_loss,actor_loss,q1_loss,q2_loss,cost_loss,cql_q1,cql_q2,expected_reward_lcb,expected_inad_cost,expected_immediate_cost,expected_support_cost,expected_smooth_cost,expected_uncertainty_cost,exact_soft_inadmissibility_rate,measured_support,measured_smooth,measured_uncertainty,lambda_inad,lambda_support,lambda_smooth,lambda_uncertainty,lagrange,cost_budget,uses_action_mask,avg_return,survival_rate,mortality_rate,avg_length,inadmissibility_rate,expert_argmax_match,mean_kl_to_expert,policy_entropy,mean_action_deviation_from_expert,soft_survival_rate,soft_inadmissibility_rate,soft_avg_return,soft_policy_entropy,soft_mean_kl_to_expert
1,4.251960277557373,0.4933013319969177,0.07196726649999619,0.05485743656754494,0.8133355379104614,3.428663492202759,3.1949362754821777,-0.15103024244308472,0.07162171602249146,2.6505060922773804e-18,0.3277154862880707,0.05450299754738808,0.14827501773834229,2.6505060922773804e-18,0.3277154862880707,0.05450299754738808,0.14827501773834229,0.0,0.0,0.0,0.0,0.0,0.0001,False,,,,,,,,,,,,,,
2,4.155125617980957,0.4225288927555084,0.061606667935848236,0.04977141320705414,0.8038483262062073,3.3654353618621826,3.114363193511963,-0.10332396626472473,0.07210497558116913,2.371372133414983e-18,0.3036746084690094,0.05252331867814064,0.157804936170578,2.371372133414983e-18,0.3036746084690094,0.05252331867814064,0.157804936170578,0.0,0.0,0.0,0.0,0.0,0.0001,False,,,,,,,,,,,,,,
3,4.061017036437988,0.35424381494522095,0.05454937741160393,0.04637274146080017,0.7931975722312927,3.300243377685547,3.0335512161254883,-0.055761512368917465,0.07750984281301498,2.140828004504869e-18,0.2816258668899536,0.05052942410111427,0.17085251212120056,2.140828004504869e-18,0.2816258668899536,0.05052942410111427,0.17085251212120056,0.0,0.0,0.0,0.0,0.0,0.0001,False,,,,,,,,,,,,,,
4,3.968414783477783,0.2908792793750763,0.04799618944525719,0.04435306787490845,0.7805255651473999,3.239212989807129,2.9518673419952393,-0.009466205723583698,0.08185543864965439,1.9301111880824983e-18,0.26295986771583557,0.04891917109489441,0.18662680685520172,1.9301111880824983e-18,0.26295986771583557,0.04891917109489441,0.18662680685520172,0.0,0.0,0.0,0.0,0.0,0.0001,False,,,,,,,,,,,,,,
5,3.877096176147461,0.22770142555236816,0.04292484000325203,0.044145651161670685,0.7636299729347229,3.1827876567840576,2.870004177093506,0.039926838129758835,0.08035088330507278,1.7311944132909262e-18,0.24743394553661346,0.04771730303764343,0.20387157797813416,1.7311944132909262e-18,0.24743394553661346,0.04771730303764343,0.20387157797813416,0.0,0.0,0.0,0.0,0.0,0.0001,False,,,,,,,,,,,,,,
6,3.780144691467285,0.1646912395954132,0.04029617831110954,0.04588964581489563,0.7461845278739929,3.115544319152832,2.7800047397613525,0.08969621360301971,0.07905754446983337,1.565065423619731e-18,0.2324913740158081,0.04643123969435692,0.22072066366672516,1.565065423619731e-18,0.2324913740158081,0.04643123969435692,0.22072066366672516,0.0,0.0,0.0,0.0,0.0,0.0001,False,,,,,,,,,,,,,,
7,3.6810364723205566,0.09588976949453354,0.037608228623867035,0.05070308968424797,0.7243132591247559,3.049652576446533,2.687171220779419,0.14720501005649567,0.0826006606221199,1.3945452422692213e-18,0.21910230815410614,0.04522286355495453,0.24152657389640808,1.3945452422692213e-18,0.21910230815410614,0.04522286355495453,0.24152657389640808,0.0,0.0,0.0,0.0,0.0,0.0001,False,,,,,,,,,,,,,,
8,3.5853922367095947,0.02546592988073826,0.037304896861314774,0.057897284626960754,0.7007008194923401,2.981828212738037,2.5971503257751465,0.20706531405448914,0.08037223666906357,1.2405547144969355e-18,0.20685450732707977,0.044195227324962616,0.25821924209594727,1.2405547144969355e-18,0.20685450732707977,0.044195227324962616,0.25821924209594727,0.0,0.0,0.0,0.0,0.0,0.0001,False,,,,,,,,,,,,,,
9,3.483044385910034,-0.04468506574630737,0.038969725370407104,0.06781917065382004,0.6726073622703552,2.9122493267059326,2.495046854019165,0.26770082116127014,0.08627253770828247,1.098310771808362e-18,0.19559124112129211,0.04322386533021927,0.2755506932735443,1.098310771808362e-18,0.19559124112129211,0.04322386533021927,0.2755506932735443,0.0,0.0,0.0,0.0,0.0,0.0001,False,,,,,,,,,,,,,,
10,3.3828015327453613,-0.1239241436123848,0.04472362622618675,0.08342675119638443,0.6423007845878601,2.8251736164093018,2.399526834487915,0.3394327163696289,0.08699270337820053,9.718851073712167e-19,0.18630686402320862,0.04239973798394203,0.2932001054286957,9.96696221024393e-19,0.1828240305185318,0.04205106943845749,0.2951660454273224,0.0,0.0,0.0,4.5166045427322386e-05,0.0,0.0001,False,0.6320033669471741,0.6320033669471741,0.3679966330528259,28.476259231567383,0.0,0.8458206653594971,3.370373487472534,-0.0,1.2049400806427002,0.6977028846740723,9.966989945858365e-19,0.6977028846740723,0.1325070559978485,0.02626623958349228
11,3.285572052001953,-0.21113210916519165,0.05273186042904854,0.10291798412799835,0.6097987294197083,2.7462575435638428,2.293989419937134,0.42025065422058105,0.09431519359350204,8.489466296014418e-19,0.17722533643245697,0.04153462499380112,0.3198442757129669,8.489466296014418e-19,0.17722533643245697,0.04153462499380112,0.3198442757129669,0.0,0.0,0.0,4.5166045427322386e-05,0.0,0.0001,False,,,,,,,,,,,,,,
