epoch,critic_loss,actor_loss,q1_loss,q2_loss,cost_loss,cql_q1,cql_q2,expected_immediate_cost,expected_cost_to_go,expected_support_cost,expected_smoothness_cost,expected_uncertainty_cost,exact_soft_inadmissibility_rate,support_cost_for_lambda,smooth_cost_for_lambda,uncertainty_cost_for_lambda,cost_budget,support_budget,smooth_budget,uncertainty_budget,lagrange,lambda_inad,lambda_support,lambda_smooth,lambda_uncertainty,expert_kl,uses_action_mask,use_certified_nudging,barrier_weight,support_weight,rho_cost,rho_reward,avg_return,survival_rate,mortality_rate,avg_length,inadmissibility_rate,expert_argmax_match,mean_kl_to_expert,policy_entropy,mean_action_deviation_from_expert,soft_survival_rate,soft_inadmissibility_rate,soft_avg_return,soft_policy_entropy,soft_mean_kl_to_expert
1,4.09399938583374,0.2805720865726471,0.02385755069553852,0.023224683478474617,0.8616933822631836,3.123133659362793,3.2473134994506836,1.9088190583715914e-07,0.08600106090307236,0.3178795576095581,0.054726846516132355,0.10110197961330414,1.9088190583715914e-07,0.3178795576095581,0.054726846516132355,0.10110197961330414,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0013764497125521302,False,True,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,
2,4.019713878631592,0.2121347039937973,0.024345748126506805,0.022486994042992592,0.8507450222969055,3.059929847717285,3.184342384338379,1.7438802046854107e-07,0.09294470399618149,0.30051785707473755,0.05312763899564743,0.10707590728998184,1.7438802046854107e-07,0.30051785707473755,0.05312763899564743,0.10707590728998184,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0015793354250490665,False,True,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,
3,3.9473705291748047,0.14514359831809998,0.025473911315202713,0.02270471304655075,0.8382348418235779,2.9948017597198486,3.127112627029419,1.5901687788755225e-07,0.09822633117437363,0.2821970283985138,0.051198892295360565,0.1122606098651886,1.5901687788755225e-07,0.2821970283985138,0.051198892295360565,0.1122606098651886,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0028968146070837975,False,True,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,
4,3.8735263347625732,0.07427399605512619,0.028555188328027725,0.023361539468169212,0.8220292329788208,2.928328275680542,3.0708324909210205,1.445933150989731e-07,0.10739033669233322,0.26698529720306396,0.04979293420910835,0.12351915240287781,1.445933150989731e-07,0.26698529720306396,0.04979293420910835,0.12351915240287781,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.004887962713837624,False,True,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,
5,3.7978556156158447,0.001373411389067769,0.03291168063879013,0.025409109890460968,0.8040892481803894,2.8590176105499268,3.011873483657837,1.305229631043403e-07,0.11354891210794449,0.2511628270149231,0.04832395166158676,0.13205960392951965,1.305229631043403e-07,0.2511628270149231,0.04832395166158676,0.13205960392951965,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.008523501455783844,False,True,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,
6,3.7141683101654053,-0.07819724082946777,0.038992740213871,0.029168272390961647,0.7818458676338196,2.782668352127075,2.9456543922424316,1.1805736477299433e-07,0.11952794343233109,0.2369239330291748,0.04689084738492966,0.1346936970949173,1.1805736477299433e-07,0.2369239330291748,0.04689084738492966,0.1346936970949173,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.013489014469087124,False,True,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,
7,3.632779598236084,-0.15403302013874054,0.04584237560629845,0.03428666666150093,0.7577423453330994,2.711541175842285,2.8782753944396973,1.0682538942319297e-07,0.12322423607110977,0.22314433753490448,0.045493900775909424,0.1401841789484024,1.0682538942319297e-07,0.22314433753490448,0.045493900775909424,0.1401841789484024,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.019273506477475166,False,True,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,
8,3.543792247772217,-0.23133030533790588,0.05557524785399437,0.041020024567842484,0.7295989990234375,2.6262762546539307,2.8089194297790527,9.647779108945542e-08,0.12556053698062897,0.21129915118217468,0.04435482621192932,0.15181657671928406,9.647779108945542e-08,0.21129915118217468,0.04435482621192932,0.15181657671928406,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.026659930124878883,False,True,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,
9,3.454345941543579,-0.32531285285949707,0.06524601578712463,0.04943593963980675,0.6982383131980896,2.5444419384002686,2.7384095191955566,8.570226839310635e-08,0.13206732273101807,0.19969166815280914,0.043319374322891235,0.15887846052646637,8.570226839310635e-08,0.19969166815280914,0.043319374322891235,0.15887846052646637,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.03460833430290222,False,True,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,
10,3.3639893531799316,-0.40520989894866943,0.0784434974193573,0.06000411882996559,0.6649709343910217,2.461191177368164,2.6599502563476562,7.724577244516695e-08,0.1398182511329651,0.1904631108045578,0.042416639626026154,0.1714182198047638,7.996634683720115e-08,0.18688490986824036,0.04207250475883484,0.16419164836406708,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.04273539036512375,False,True,0.0,1.0,1.0,1.0,0.6710540056228638,0.6710540056228638,0.32894599437713623,27.049243927001953,0.0,0.9913382530212402,1.0306570529937744,-0.0,0.5938698649406433,0.6974322199821472,7.996634683720115e-08,0.6974322199821472,0.13603341579437256,0.02619853988289833
