epoch,critic_loss,actor_loss,q1_loss,q2_loss,cost_loss,cql_q1,cql_q2,expected_immediate_cost,expected_cost_to_go,expected_support_cost,expected_smoothness_cost,expected_uncertainty_cost,exact_soft_inadmissibility_rate,support_cost_for_lambda,smooth_cost_for_lambda,uncertainty_cost_for_lambda,cost_budget,support_budget,smooth_budget,uncertainty_budget,lagrange,lambda_inad,lambda_support,lambda_smooth,lambda_uncertainty,expert_kl,uses_action_mask,use_certified_nudging,barrier_weight,support_weight,rho_cost,rho_reward,avg_return,survival_rate,mortality_rate,avg_length,inadmissibility_rate,expert_argmax_match,mean_kl_to_expert,policy_entropy,mean_action_deviation_from_expert,soft_survival_rate,soft_inadmissibility_rate,soft_avg_return,soft_policy_entropy,soft_mean_kl_to_expert
1,3.9440770149230957,0.2154981940984726,0.022008240222930908,0.023434149101376534,0.7479411363601685,3.2155513763427734,3.0858356952667236,2.4751648955217586e-18,0.034233659505844116,0.31025969982147217,0.053488485515117645,0.06517466902732849,2.4751648955217586e-18,0.31025969982147217,0.053488485515117645,0.06517466902732849,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0011537905083969235,False,False,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
2,3.8653435707092285,0.13585765659809113,0.021599235013127327,0.02608156017959118,0.7376756072044373,3.146923065185547,3.0130512714385986,2.207531642305992e-18,0.03478096425533295,0.29041364789009094,0.05165936052799225,0.06641296297311783,2.207531642305992e-18,0.29041364789009094,0.05165936052799225,0.06641296297311783,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.002041053492575884,False,False,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
3,3.788322925567627,0.04796889051795006,0.02259593829512596,0.030140290036797523,0.7249703407287598,3.075650215148926,2.945582389831543,1.9397375024610842e-18,0.039156004786491394,0.27023109793663025,0.04981263354420662,0.06800435483455658,1.9397375024610842e-18,0.27023109793663025,0.04981263354420662,0.06800435483455658,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0048968899063766,False,False,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
4,3.707639455795288,-0.04403302073478699,0.024959247559309006,0.036420632153749466,0.7102199196815491,3.0027403831481934,2.8693389892578125,1.7127610035329117e-18,0.03834962099790573,0.25232815742492676,0.04815661534667015,0.06538738310337067,1.7127610035329117e-18,0.25232815742492676,0.04815661534667015,0.06538738310337067,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.008328442461788654,False,False,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
5,3.6274728775024414,-0.1327761858701706,0.02845202386379242,0.04373396188020706,0.6941489577293396,2.9279513359069824,2.7943241596221924,1.5177108845147186e-18,0.03888523951172829,0.23588761687278748,0.04669376462697983,0.06615114212036133,1.5177108845147186e-18,0.23588761687278748,0.04669376462697983,0.06615114212036133,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0134634580463171,False,False,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
6,3.541048049926758,-0.22720198333263397,0.034966353327035904,0.052694905549287796,0.6732392311096191,2.8427183628082275,2.7175769805908203,1.3376997362133522e-18,0.04001261293888092,0.22103850543498993,0.045221202075481415,0.06760597974061966,1.3376997362133522e-18,0.22103850543498993,0.045221202075481415,0.06760597974061966,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.019734017550945282,False,False,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
7,3.4559950828552246,-0.32621076703071594,0.04378310590982437,0.0654461607336998,0.6500997543334961,2.760199785232544,2.633132219314575,1.1754836210322624e-18,0.03948071599006653,0.20812316238880157,0.044105228036642075,0.06745447218418121,1.1754836210322624e-18,0.20812316238880157,0.044105228036642075,0.06745447218418121,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.027743179351091385,False,False,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
8,3.3690683841705322,-0.43421947956085205,0.05402487516403198,0.07750800251960754,0.622992992401123,2.6736533641815186,2.555431604385376,1.0297074103329344e-18,0.04181770235300064,0.1954004466533661,0.042858149856328964,0.06760933995246887,1.0297074103329344e-18,0.1954004466533661,0.042858149856328964,0.06760933995246887,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.03735952824354172,False,False,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
9,3.2821764945983887,-0.5380054712295532,0.06822895258665085,0.093918077647686,0.592915952205658,2.5836434364318848,2.47058367729187,9.068426550352533e-19,0.03987279161810875,0.18521136045455933,0.04202026501297951,0.06991972774267197,9.068426550352533e-19,0.18521136045455933,0.04202026501297951,0.06991972774267197,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.04894876480102539,False,False,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
10,3.1940581798553467,-0.6574145555496216,0.08569107204675674,0.11141456663608551,0.5606942176818848,2.487427234649658,2.385089635848999,7.87479872258392e-19,0.03840479627251625,0.1755841225385666,0.041117314249277115,0.06457778811454773,8.270425830989945e-19,0.17248862981796265,0.04081839323043823,0.06190739944577217,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.05802271142601967,False,False,25.0,1.0,1.0,1.0,0.7001627683639526,0.7001627683639526,0.29983723163604736,26.200546264648438,0.0,0.9978345632553101,0.9168972969055176,-0.0,0.5709724426269531,0.6978853940963745,8.270425830989945e-19,0.6978853940963745,0.11660369485616684,0.03501328080892563
11,3.1048386096954346,-0.7811370491981506,0.1031995490193367,0.12842045724391937,0.5255370140075684,2.393742084503174,2.301621198654175,6.865155508586648e-19,0.03761395439505577,0.16669338941574097,0.040279775857925415,0.06524145603179932,6.865155508586648e-19,0.16669338941574097,0.040279775857925415,0.06524145603179932,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.07092422246932983,False,False,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
12,3.018568277359009,-0.8989751935005188,0.1264987736940384,0.14768187701702118,0.4897298812866211,2.2956740856170654,2.2136411666870117,6.051543243018904e-19,0.037394724786281586,0.15976525843143463,0.03965890407562256,0.0658745989203453,6.051543243018904e-19,0.15976525843143463,0.03965890407562256,0.0658745989203453,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.08335032314062119,False,False,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
13,2.934697151184082,-1.025269865989685,0.14613482356071472,0.16351819038391113,0.45454734563827515,2.205841541290283,2.1351518630981445,5.273883865787895e-19,0.03555469959974289,0.15273399651050568,0.038972701877355576,0.06342624127864838,5.273883865787895e-19,0.15273399651050568,0.038972701877355576,0.06342624127864838,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.09687020629644394,False,False,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
14,2.8478569984436035,-1.1651618480682373,0.16684697568416595,0.17587067186832428,0.4180711805820465,2.113748788833618,2.0603878498077393,4.5890775802674945e-19,0.036419663578271866,0.14727725088596344,0.038549717515707016,0.06673570722341537,4.5890775802674945e-19,0.14727725088596344,0.038549717515707016,0.06673570722341537,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.11167438328266144,False,False,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
15,2.7712242603302,-1.3111515045166016,0.18581806123256683,0.18650665879249573,0.388577938079834,2.0323293209075928,1.988314151763916,3.965712461189943e-19,0.03467202186584473,0.1414715051651001,0.037984635680913925,0.06113497167825699,3.965712461189943e-19,0.1414715051651001,0.037984635680913925,0.06113497167825699,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.12688416242599487,False,False,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
16,2.701775550842285,-1.4385613203048706,0.20575390756130219,0.19908858835697174,0.3625311851501465,1.9521206617355347,1.9166830778121948,3.518670453953902e-19,0.03419410437345505,0.13740766048431396,0.037579312920570374,0.06296167522668839,3.518670453953902e-19,0.13740766048431396,0.037579312920570374,0.06296167522668839,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.13943198323249817,False,False,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
17,2.6301090717315674,-1.5945276021957397,0.2254597544670105,0.21273382008075714,0.33928462862968445,1.8643029928207397,1.8409587144851685,3.015526989622983e-19,0.03232363983988762,0.1334068328142166,0.03725004941225052,0.05817525461316109,3.015526989622983e-19,0.1334068328142166,0.03725004941225052,0.05817525461316109,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.15554365515708923,False,False,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
18,2.5778913497924805,-1.7241958379745483,0.23523998260498047,0.21893446147441864,0.3240234851837158,1.8108314275741577,1.7885552644729614,2.7027818907379886e-19,0.03598029911518097,0.1305391490459442,0.03697776794433594,0.060441356152296066,2.7027818907379886e-19,0.1305391490459442,0.03697776794433594,0.060441356152296066,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.16898073256015778,False,False,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
19,2.5203373432159424,-1.8620861768722534,0.2495982050895691,0.2320171594619751,0.3105331361293793,1.7369626760482788,1.7194150686264038,2.357527818297836e-19,0.03403986617922783,0.12757165729999542,0.03671939671039581,0.05831887200474739,2.357527818297836e-19,0.12757165729999542,0.03671939671039581,0.05831887200474739,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.1849794238805771,False,False,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
20,2.473238468170166,-1.990007996559143,0.25932714343070984,0.2409895360469818,0.3002576529979706,1.6768251657485962,1.668502926826477,2.070636507952128e-19,0.03375466167926788,0.12498180568218231,0.03648408502340317,0.06006378307938576,2.327090521042594e-19,0.12446814030408859,0.036445192992687225,0.05329972505569458,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.19541586935520172,False,False,25.0,1.0,1.0,1.0,0.7001627683639526,0.7001627683639526,0.29983723163604736,26.200546264648438,0.0,0.9978345632553101,0.9168972969055176,-0.0,0.5709724426269531,0.6995756030082703,2.327090521042594e-19,0.6995756030082703,0.03740859031677246,0.12184339761734009
21,2.434610366821289,-2.116154432296753,0.2747550904750824,0.2589063346385956,0.29683101177215576,1.6090655326843262,1.599170446395874,1.8734962327729842e-19,0.031122485175728798,0.12366419285535812,0.036387503147125244,0.05586610361933708,1.8734962327729842e-19,0.12366419285535812,0.036387503147125244,0.05586610361933708,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.2070034146308899,False,False,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
22,2.3963615894317627,-2.2178096771240234,0.2835710048675537,0.2702566683292389,0.28939181566238403,1.5586837530136108,1.5476003885269165,1.686218793928828e-19,0.03394371271133423,0.1218833178281784,0.03623521700501442,0.060650985687971115,1.686218793928828e-19,0.1218833178281784,0.03623521700501442,0.060650985687971115,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.2152024656534195,False,False,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
23,2.3551206588745117,-2.324704170227051,0.28787603974342346,0.2796728014945984,0.2775475084781647,1.5155493021011353,1.504499077796936,1.506407564841758e-19,0.03724632039666176,0.12037637084722519,0.03612108156085014,0.059921588748693466,1.506407564841758e-19,0.12037637084722519,0.03612108156085014,0.059921588748693466,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.23234198987483978,False,False,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
24,2.351597547531128,-2.4043967723846436,0.3005630075931549,0.2989141643047333,0.2826423943042755,1.4771910905838013,1.461764931678772,1.375701266584045e-19,0.04250037670135498,0.1194407269358635,0.036025796085596085,0.060955408960580826,1.375701266584045e-19,0.1194407269358635,0.036025796085596085,0.060955408960580826,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.23994964361190796,False,False,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
25,2.30228328704834,-2.4786877632141113,0.30286654829978943,0.3043603301048279,0.2632889449596405,1.4390908479690552,1.424444317817688,1.2513655515126973e-19,0.03902065381407738,0.11840894818305969,0.0359363779425621,0.06108926609158516,1.2513655515126973e-19,0.11840894818305969,0.0359363779425621,0.06108926609158516,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.24602878093719482,False,False,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
26,2.27580189704895,-2.549809217453003,0.3102305233478546,0.3130137026309967,0.2531496286392212,1.4075002670288086,1.3913156986236572,1.1560267820613667e-19,0.03712839260697365,0.11755385994911194,0.03589329868555069,0.05633467808365822,1.1560267820613667e-19,0.11755385994911194,0.03589329868555069,0.05633467808365822,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.2551853656768799,False,False,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
27,2.2457449436187744,-2.615609645843506,0.31287476420402527,0.3174585700035095,0.23930157721042633,1.384739875793457,1.3674801588058472,1.0538462595919422e-19,0.03287253901362419,0.11676100641489029,0.03582919016480446,0.05675486847758293,1.0538462595919422e-19,0.11676100641489029,0.03582919016480446,0.05675486847758293,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.2627680003643036,False,False,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
28,2.22581148147583,-2.6471152305603027,0.31977882981300354,0.3289375305175781,0.2315286546945572,1.3571845293045044,1.3339483737945557,9.78941694704027e-20,0.03311480954289436,0.11634775251150131,0.03579423949122429,0.054220717400312424,9.78941694704027e-20,0.11634775251150131,0.03579423949122429,0.054220717400312424,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.2674438953399658,False,False,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
29,2.1994752883911133,-2.67854642868042,0.31824344396591187,0.3271191418170929,0.21715547144412994,1.3500579595565796,1.3238565921783447,9.07862904772655e-20,0.03323250263929367,0.1157543808221817,0.035745494067668915,0.05165746808052063,9.07862904772655e-20,0.1157543808221817,0.035745494067668915,0.05165746808052063,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.2722470164299011,False,False,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
30,2.1667683124542236,-2.727053642272949,0.32796385884284973,0.3364495635032654,0.20603060722351074,1.308678388595581,1.2839702367782593,8.449735260229847e-20,0.03367064520716667,0.11536197364330292,0.03573984280228615,0.050891902297735214,9.213800448817542e-20,0.11498906463384628,0.03570379689335823,0.043905433267354965,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.27833324670791626,False,False,25.0,1.0,1.0,1.0,0.7001627683639526,0.7001627683639526,0.29983723163604736,26.200546264648438,0.0,0.9978345632553101,0.9168972969055176,-0.0,0.5709724426269531,0.6999344825744629,9.213800448817542e-20,0.6999344825744629,0.016689496114850044,0.1829073429107666
31,2.1671910285949707,-2.728768825531006,0.33554431796073914,0.339640349149704,0.202520951628685,1.2995864152908325,1.2793844938278198,7.832383227217673e-20,0.0372622013092041,0.11488131433725357,0.035689450800418854,0.05400341749191284,7.832383227217673e-20,0.11488131433725357,0.035689450800418854,0.05400341749191284,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.27928489446640015,False,False,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
32,2.1422646045684814,-2.7108280658721924,0.33270734548568726,0.3399977684020996,0.19303663074970245,1.2873542308807373,1.2656915187835693,7.522116826736982e-20,0.040917057543992996,0.11465255916118622,0.03570897504687309,0.053505074232816696,7.522116826736982e-20,0.11465255916118622,0.03570897504687309,0.053505074232816696,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.28497278690338135,False,False,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
