epoch,critic_loss,actor_loss,q1_loss,q2_loss,cost_loss,cql_q1,cql_q2,expected_immediate_cost,expected_cost_to_go,expected_support_cost,expected_smoothness_cost,expected_uncertainty_cost,exact_soft_inadmissibility_rate,support_cost_for_lambda,smooth_cost_for_lambda,uncertainty_cost_for_lambda,cost_budget,support_budget,smooth_budget,uncertainty_budget,lagrange,lambda_inad,lambda_support,lambda_smooth,lambda_uncertainty,expert_kl,uses_action_mask,use_certified_nudging,barrier_weight,support_weight,rho_cost,rho_reward,avg_return,survival_rate,mortality_rate,avg_length,inadmissibility_rate,expert_argmax_match,mean_kl_to_expert,policy_entropy,mean_action_deviation_from_expert,soft_survival_rate,soft_inadmissibility_rate,soft_avg_return,soft_policy_entropy,soft_mean_kl_to_expert
1,4.0338006019592285,0.28048470616340637,0.02385755069553852,0.023224683478474617,0.8014949560165405,3.123133659362793,3.2473134994506836,2.6510003326933808e-18,0.05181813985109329,0.31783637404441833,0.0547221414744854,0.10038818418979645,2.6510003326933808e-18,0.31783637404441833,0.0547221414744854,0.10038818418979645,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0013732470106333494,False,True,25.0,1.0,0.0,1.0,,,,,,,,,,,,,,
2,3.9602770805358887,0.21156272292137146,0.024321971461176872,0.02245190739631653,0.7914022207260132,3.0598464012145996,3.1843557357788086,2.4213735470825883e-18,0.04937668517231941,0.3004128932952881,0.053119856864213943,0.10309050977230072,2.4213735470825883e-18,0.3004128932952881,0.053119856864213943,0.10309050977230072,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0015817747917026281,False,True,25.0,1.0,0.0,1.0,,,,,,,,,,,,,,
3,3.888793468475342,0.14393462240695953,0.025447290390729904,0.022650746628642082,0.779815673828125,2.994654655456543,3.1271049976348877,2.2071896031227015e-18,0.04327145218849182,0.28199347853660583,0.051180072128772736,0.10356126725673676,2.2071896031227015e-18,0.28199347853660583,0.051180072128772736,0.10356126725673676,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.002915537217631936,False,True,25.0,1.0,0.0,1.0,,,,,,,,,,,,,,
4,3.816018581390381,0.07283247262239456,0.028520846739411354,0.023297876119613647,0.7647125124931335,2.9282162189483643,3.07075834274292,2.006817507440919e-18,0.0394468754529953,0.2667742073535919,0.04977410286664963,0.11193398386240005,2.006817507440919e-18,0.2667742073535919,0.04977410286664963,0.11193398386240005,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.004914331249892712,False,True,25.0,1.0,0.0,1.0,,,,,,,,,,,,,,
5,3.7414188385009766,-0.00022203614935278893,0.032879382371902466,0.025329511612653732,0.7478733658790588,2.858746290206909,3.0119266510009766,1.81146950000463e-18,0.03618745878338814,0.2510049343109131,0.04831299930810928,0.11755668371915817,1.81146950000463e-18,0.2510049343109131,0.04831299930810928,0.11755668371915817,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.008550974540412426,False,True,25.0,1.0,0.0,1.0,,,,,,,,,,,,,,
6,3.6590425968170166,-0.0796777755022049,0.038958195596933365,0.02907872572541237,0.726955771446228,2.782357692718506,2.945742130279541,1.6387940995681136e-18,0.03323462978005409,0.2368020862340927,0.046884506940841675,0.11976192891597748,1.6387940995681136e-18,0.2368020862340927,0.046884506940841675,0.11976192891597748,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.013508104719221592,False,True,25.0,1.0,0.0,1.0,,,,,,,,,,,,,,
7,3.579172134399414,-0.15538080036640167,0.04578409716486931,0.03418959304690361,0.7043989896774292,2.7111151218414307,2.878483295440674,1.483171958037567e-18,0.027898145839571953,0.22308653593063354,0.04549289494752884,0.12297598272562027,1.483171958037567e-18,0.22308653593063354,0.04549289494752884,0.12297598272562027,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.019271252676844597,False,True,25.0,1.0,0.0,1.0,,,,,,,,,,,,,,
8,3.4917755126953125,-0.23288078606128693,0.05552579462528229,0.040894024074077606,0.6778348684310913,2.6255943775177,2.8094470500946045,1.3394903754443763e-18,0.023482076823711395,0.2112603485584259,0.04435586556792259,0.13150811195373535,1.3394903754443763e-18,0.2112603485584259,0.04435586556792259,0.13150811195373535,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.02666885033249855,False,True,25.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,3.404252529144287,-0.32670095562934875,0.06517273187637329,0.049258340150117874,0.6483857035636902,2.5437004566192627,2.739170789718628,1.1901037281664075e-18,0.022145351395010948,0.19969123601913452,0.04332353547215462,0.136627659201622,1.1901037281664075e-18,0.19969123601913452,0.04332353547215462,0.136627659201622,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.034597769379615784,False,True,25.0,1.0,0.0,1.0,,,,,,,,,,,,,,
10,3.315990447998047,-0.4065304398536682,0.07834829390048981,0.05976355820894241,0.6172206997871399,2.460364818572998,2.6609506607055664,1.0726579364591378e-18,0.02212756685912609,0.19046571850776672,0.042418163269758224,0.14721305668354034,1.110948968240011e-18,0.18692265450954437,0.04207870736718178,0.14247874915599823,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0427129752933979,False,True,25.0,1.0,0.0,1.0,0.7001627683639526,0.7001627683639526,0.29983723163604736,26.200546264648438,0.0,0.9978345632553101,0.9168972969055176,-0.0,0.5709724426269531,0.697432279586792,1.110948968240011e-18,0.697432279586792,0.13609981536865234,0.026157528162002563
11,3.2208430767059326,-0.5107685923576355,0.09449736773967743,0.07430216670036316,0.5816608667373657,2.3659491539001465,2.5748159885406494,9.509762562325607e-19,0.021723520010709763,0.18111267685890198,0.041579317301511765,0.15137343108654022,9.509762562325607e-19,0.18111267685890198,0.041579317301511765,0.15137343108654022,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.053334563970565796,False,True,25.0,1.0,0.0,1.0,,,,,,,,,,,,,,
12,3.125612735748291,-0.6199814081192017,0.11147383600473404,0.09002984315156937,0.54402756690979,2.273378610610962,2.4867842197418213,8.363401385721922e-19,0.0211477130651474,0.1719026118516922,0.04070470854640007,0.1645299345254898,8.363401385721922e-19,0.1719026118516922,0.04070470854640007,0.1645299345254898,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.06561976671218872,False,True,25.0,1.0,0.0,1.0,,,,,,,,,,,,,,
13,3.0422983169555664,-0.7082304954528809,0.13039344549179077,0.1079578697681427,0.5091668963432312,2.186932325363159,2.402627944946289,7.521231743481551e-19,0.022506747394800186,0.16598185896873474,0.040174491703510284,0.1735324263572693,7.521231743481551e-19,0.16598185896873474,0.040174491703510284,0.1735324263572693,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0758051648736,False,True,25.0,1.0,0.0,1.0,,,,,,,,,,,,,,
14,2.9511406421661377,-0.8319664001464844,0.15066646039485931,0.12659282982349396,0.47040683031082153,2.0917844772338867,2.31516432762146,6.578497618270045e-19,0.023457059636712074,0.1587124913930893,0.03948130086064339,0.1851828545331955,6.578497618270045e-19,0.1587124913930893,0.03948130086064339,0.1851828545331955,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.088613361120224,False,True,25.0,1.0,0.0,1.0,,,,,,,,,,,,,,
15,2.87146258354187,-0.9556679129600525,0.1709907501935959,0.14463657140731812,0.4361748993396759,2.009418249130249,2.229902744293213,5.726623596480778e-19,0.026510749012231827,0.15197637677192688,0.03887980058789253,0.18985232710838318,5.726623596480778e-19,0.15197637677192688,0.03887980058789253,0.18985232710838318,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.10235045850276947,False,True,25.0,1.0,0.0,1.0,,,,,,,,,,,,,,
16,2.7917628288269043,-1.0778533220291138,0.19599837064743042,0.16699378192424774,0.4031008183956146,1.9143586158752441,2.1369810104370117,5.047525374174876e-19,0.029550934210419655,0.146826833486557,0.03840707615017891,0.20336301624774933,5.047525374174876e-19,0.146826833486557,0.03840707615017891,0.20336301624774933,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.11476127803325653,False,True,25.0,1.0,0.0,1.0,,,,,,,,,,,,,,
17,2.72611403465271,-1.1949611902236938,0.21316328644752502,0.18074826896190643,0.37525832653045654,1.8467432260513306,2.067145347595215,4.494797602000232e-19,0.032122910022735596,0.14211714267730713,0.03793962672352791,0.20362959802150726,4.494797602000232e-19,0.14211714267730713,0.03793962672352791,0.20362959802150726,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.12652894854545593,False,True,25.0,1.0,0.0,1.0,,,,,,,,,,,,,,
18,2.655862331390381,-1.3351237773895264,0.2317785918712616,0.1972956508398056,0.35211819410324097,1.7686774730682373,1.9806621074676514,3.907065872747816e-19,0.03894830495119095,0.13788512349128723,0.03758580610156059,0.211210235953331,3.907065872747816e-19,0.13788512349128723,0.03758580610156059,0.211210235953331,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.14382804930210114,False,True,25.0,1.0,0.0,1.0,,,,,,,,,,,,,,
19,2.5870556831359863,-1.4625933170318604,0.23952674865722656,0.2015438824892044,0.32725265622138977,1.7112072706222534,1.926257610321045,3.4563149944402403e-19,0.03975799307227135,0.13446007668972015,0.03727375715970993,0.2171381115913391,3.4563149944402403e-19,0.13446007668972015,0.03727375715970993,0.2171381115913391,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.1566520482301712,False,True,25.0,1.0,0.0,1.0,,,,,,,,,,,,,,
20,2.527247428894043,-1.5777109861373901,0.25709524750709534,0.21810953319072723,0.31245890259742737,1.6380572319030762,1.841110348701477,3.1005699453874425e-19,0.041186828166246414,0.13142192363739014,0.036994390189647675,0.21334362030029297,3.4398473875134105e-19,0.1305646449327469,0.036923281848430634,0.2122751921415329,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.16944654285907745,False,True,25.0,1.0,0.0,1.0,0.6985175013542175,0.6985175013542175,0.30148249864578247,26.269546508789062,0.0,0.9948029518127441,0.9669737815856934,-0.0,0.5833978056907654,0.6993222832679749,3.4398473875134105e-19,0.6993222832679749,0.048670001327991486,0.10431721806526184
21,2.4982151985168457,-1.7198785543441772,0.27989014983177185,0.23560795187950134,0.3124648630619049,1.5696572065353394,1.7708470821380615,2.7382201176373503e-19,0.03768754005432129,0.12896306812763214,0.03678125515580177,0.21313966810703278,2.7382201176373503e-19,0.12896306812763214,0.03678125515580177,0.21313966810703278,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.18165463209152222,False,True,25.0,1.0,0.0,1.0,,,,,,,,,,,,,,
