epoch,critic_loss,actor_loss,q1_loss,q2_loss,cost_loss,cql_q1,cql_q2,expected_immediate_cost,expected_cost_to_go,expected_support_cost,expected_smoothness_cost,expected_uncertainty_cost,exact_soft_inadmissibility_rate,support_cost_for_lambda,smooth_cost_for_lambda,uncertainty_cost_for_lambda,cost_budget,support_budget,smooth_budget,uncertainty_budget,lagrange,lambda_inad,lambda_support,lambda_smooth,lambda_uncertainty,expert_kl,uses_action_mask,use_certified_nudging,barrier_weight,support_weight,rho_cost,rho_reward,avg_return,survival_rate,mortality_rate,avg_length,inadmissibility_rate,expert_argmax_match,mean_kl_to_expert,policy_entropy,mean_action_deviation_from_expert,soft_survival_rate,soft_inadmissibility_rate,soft_avg_return,soft_policy_entropy,soft_mean_kl_to_expert
1,4.136598587036133,0.2878797650337219,0.01901988685131073,0.019603796303272247,0.9221324324607849,3.1999351978302,3.151749610900879,2.4295258256096047e-18,0.1455666571855545,0.3118916153907776,0.053123682737350464,0.11945892125368118,2.4295258256096047e-18,0.3118916153907776,0.053123682737350464,0.11945892125368118,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0009272858151234686,False,True,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
2,4.052720069885254,0.20833341777324677,0.020579278469085693,0.02065456286072731,0.9102479219436646,3.136013984680176,3.066462516784668,2.172839273825212e-18,0.16064013540744781,0.28916794061660767,0.05118624493479729,0.12766259908676147,2.172839273825212e-18,0.28916794061660767,0.05118624493479729,0.12766259908676147,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.002183942822739482,False,True,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
3,3.9698638916015625,0.13147859275341034,0.024411693215370178,0.023450510576367378,0.8952730298042297,3.074080228805542,2.979376792907715,1.9391280771447858e-18,0.1774032562971115,0.27041009068489075,0.04970578849315643,0.14082731306552887,1.9391280771447858e-18,0.27041009068489075,0.04970578849315643,0.14082731306552887,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.004701539408415556,False,True,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
4,3.882044792175293,0.04723810777068138,0.030400076881051064,0.028300436213612556,0.8772091269493103,3.002155303955078,2.8901150226593018,1.7305578978095666e-18,0.18963758647441864,0.25242096185684204,0.04811984300613403,0.14879164099693298,1.7305578978095666e-18,0.25242096185684204,0.04811984300613403,0.14879164099693298,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.008628590032458305,False,True,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
5,3.7934730052948,-0.03294431418180466,0.037643738090991974,0.03457305580377579,0.8572721481323242,2.9292476177215576,2.798720598220825,1.5411387074137517e-18,0.21080689132213593,0.2365880310535431,0.046753693372011185,0.16306312382221222,1.5411387074137517e-18,0.2365880310535431,0.046753693372011185,0.16306312382221222,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.013204903341829777,False,True,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
6,3.706325054168701,-0.12095463275909424,0.048300113528966904,0.044201429933309555,0.8339500427246094,2.8480453491210938,2.7117013931274414,1.3703627204588101e-18,0.23171517252922058,0.2226780354976654,0.04559991881251335,0.1758551299571991,1.3703627204588101e-18,0.2226780354976654,0.04559991881251335,0.1758551299571991,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.019518475979566574,False,True,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
7,3.60874080657959,-0.22308938205242157,0.06087910011410713,0.056451402604579926,0.8049315810203552,2.7630388736724854,2.6099188327789307,1.2098448070752918e-18,0.24517405033111572,0.21002629399299622,0.0444474071264267,0.18258190155029297,1.2098448070752918e-18,0.21002629399299622,0.0444474071264267,0.18258190155029297,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0262200515717268,False,True,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
8,3.5133466720581055,-0.3172509968280792,0.07866667956113815,0.07365979254245758,0.7720534801483154,2.671186685562134,2.506747007369995,1.062968756353998e-18,0.2594843804836273,0.1976362019777298,0.043368689715862274,0.19886457920074463,1.062968756353998e-18,0.1976362019777298,0.043368689715862274,0.19886457920074463,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.03487355634570122,False,True,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
9,3.4129748344421387,-0.43425798416137695,0.09366705268621445,0.0916818380355835,0.7354652881622314,2.581238269805908,2.403083086013794,9.351742114006539e-19,0.2709386348724365,0.1870260238647461,0.04232492297887802,0.20914226770401,9.351742114006539e-19,0.1870260238647461,0.04232492297887802,0.20914226770401,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.04382020980119705,False,True,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
10,3.3183932304382324,-0.5458152890205383,0.11242349445819855,0.11361709982156754,0.6952782869338989,2.4918510913848877,2.302297353744507,8.125500622636491e-19,0.2717970907688141,0.1772121787071228,0.04142245277762413,0.21659207344055176,8.722856382609499e-19,0.1751512885093689,0.04122460260987282,0.2152624875307083,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.05345940217375755,False,True,25.0,1.0,1.0,1.0,0.7001627683639526,0.7001627683639526,0.29983723163604736,26.200546264648438,0.0,0.9978345632553101,0.9168972969055176,-0.0,0.5709724426269531,0.6977406144142151,8.722856382609499e-19,0.6977406144142151,0.1227603405714035,0.03266536444425583
