epoch,critic_loss,actor_loss,q1_loss,q2_loss,cost_loss,cql_q1,cql_q2,expected_immediate_cost,expected_cost_to_go,expected_support_cost,expected_smoothness_cost,expected_uncertainty_cost,exact_soft_inadmissibility_rate,support_cost_for_lambda,smooth_cost_for_lambda,uncertainty_cost_for_lambda,cost_budget,support_budget,smooth_budget,uncertainty_budget,lagrange,lambda_inad,lambda_support,lambda_smooth,lambda_uncertainty,expert_kl,uses_action_mask,use_certified_nudging,barrier_weight,support_weight,rho_cost,rho_reward,avg_return,survival_rate,mortality_rate,avg_length,inadmissibility_rate,expert_argmax_match,mean_kl_to_expert,policy_entropy,mean_action_deviation_from_expert,soft_survival_rate,soft_inadmissibility_rate,soft_avg_return,soft_policy_entropy,soft_mean_kl_to_expert
1,4.268011569976807,0.988479495048523,0.03201175481081009,0.0292108915746212,0.956138014793396,3.3405797481536865,3.160722255706787,2.1425600493785169e-07,0.11929039657115936,0.8810321688652039,0.1109093576669693,0.14531312882900238,2.1425600493785169e-07,0.8810321688652039,0.1109093576669693,0.14531312882900238,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.006276361644268036,False,True,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,
2,4.20637845993042,0.9482406973838806,0.02967938967049122,0.029478494077920914,0.9401169419288635,3.292984962463379,3.121222496032715,2.0044632265125983e-07,0.13903401792049408,0.8788731694221497,0.11076784133911133,0.14899156987667084,2.0044632265125983e-07,0.8788731694221497,0.11076784133911133,0.14899156987667084,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.006339271552860737,False,True,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,
3,4.143482685089111,0.9053523540496826,0.029236262664198875,0.03138626366853714,0.9212445020675659,3.245837926864624,3.0773935317993164,1.8750735364392312e-07,0.16293971240520477,0.8764058351516724,0.11076898127794266,0.15494482219219208,1.8750735364392312e-07,0.8764058351516724,0.11076898127794266,0.15494482219219208,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.00645939027890563,False,True,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,
4,4.082594394683838,0.8653050065040588,0.030092965811491013,0.03507489338517189,0.8995282053947449,3.2007551193237305,3.035041570663452,1.7522789619306423e-07,0.19364596903324127,0.8740383982658386,0.11059070378541946,0.1641288697719574,1.7522789619306423e-07,0.8740383982658386,0.11059070378541946,0.1641288697719574,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.007201837375760078,False,True,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,
5,4.018631458282471,0.821696937084198,0.032790813595056534,0.04022006317973137,0.8741705417633057,3.1512062549591064,2.991694450378418,1.6345603626177763e-07,0.22508835792541504,0.8724074959754944,0.11063222587108612,0.17323888838291168,1.6345603626177763e-07,0.8724074959754944,0.11063222587108612,0.17323888838291168,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.007587806787341833,False,True,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,
6,3.9529101848602295,0.7749109268188477,0.037195030599832535,0.04775198549032211,0.8451388478279114,3.1009626388549805,2.944685935974121,1.518653220955457e-07,0.264809250831604,0.8702085614204407,0.11064396053552628,0.18611344695091248,1.518653220955457e-07,0.8702085614204407,0.11064396053552628,0.18611344695091248,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.008544599637389183,False,True,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,
7,3.8821310997009277,0.7239541411399841,0.04394485056400299,0.058412130922079086,0.8105682134628296,3.046396493911743,2.892014980316162,1.4054575103727984e-07,0.31021425127983093,0.8676097989082336,0.11056185513734818,0.1982887089252472,1.4054575103727984e-07,0.8676097989082336,0.11056185513734818,0.1982887089252472,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.009629371576011181,False,True,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,
8,3.812365770339966,0.6708803176879883,0.05280003324151039,0.07091977447271347,0.7719276547431946,2.99198055267334,2.8414559364318848,1.2991728226552368e-07,0.3581133782863617,0.8654218912124634,0.11055078357458115,0.21034014225006104,1.2991728226552368e-07,0.8654218912124634,0.11055078357458115,0.21034014225006104,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.01061854138970375,False,True,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,
9,3.734760284423828,0.6112019419670105,0.06460508704185486,0.08689744025468826,0.7272279262542725,2.9296979904174805,2.7823615074157715,1.1993603266091668e-07,0.41452765464782715,0.8634119033813477,0.11065644025802612,0.2245173454284668,1.1993603266091668e-07,0.8634119033813477,0.11065644025802612,0.2245173454284668,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.01173334289342165,False,True,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,
10,3.6616451740264893,0.5467252135276794,0.08056292682886124,0.10755307972431183,0.6776711940765381,2.867002010345459,2.7247140407562256,1.1054937942844845e-07,0.4773978292942047,0.8614950180053711,0.1107349544763565,0.23591123521327972,1.1375245680646806e-07,0.8598663210868835,0.11062858253717422,0.23152488470077515,0.0001,0.25,1.0,0.25,0.0,0.0,0.0006098663210868836,0.0,0.0,0.01333374623209238,False,True,0.0,1.0,1.0,1.0,0.7802960872650146,0.7802960872650146,0.21970391273498535,9.360002517700195,0.0,0.9089467525482178,3.99180006980896,-0.0,1.1173985004425049,0.7781316637992859,1.1255234507872849e-07,0.7781316637992859,0.4940547049045563,0.007048000581562519
