epoch,critic_loss,actor_loss,q1_loss,q2_loss,cost_loss,cql_q1,cql_q2,expected_immediate_cost,expected_cost_to_go,expected_support_cost,expected_smoothness_cost,expected_uncertainty_cost,exact_soft_inadmissibility_rate,support_cost_for_lambda,smooth_cost_for_lambda,uncertainty_cost_for_lambda,cost_budget,support_budget,smooth_budget,uncertainty_budget,lagrange,lambda_inad,lambda_support,lambda_smooth,lambda_uncertainty,expert_kl,uses_action_mask,use_certified_nudging,barrier_weight,support_weight,rho_cost,rho_reward,avg_return,survival_rate,mortality_rate,avg_length,inadmissibility_rate,expert_argmax_match,mean_kl_to_expert,policy_entropy,mean_action_deviation_from_expert,soft_survival_rate,soft_inadmissibility_rate,soft_avg_return,soft_policy_entropy,soft_mean_kl_to_expert
1,4.222833633422852,0.9190093278884888,0.03827353194355965,0.0347665436565876,0.9202355742454529,3.237417221069336,3.221698760986328,3.235898916649014e-18,0.09402048587799072,0.8795731663703918,0.11605770885944366,0.10040245950222015,3.235898916649014e-18,0.8795731663703918,0.11605770885944366,0.10040245950222015,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.004408039152622223,False,False,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
2,4.156420707702637,0.8787898421287537,0.038587749004364014,0.03487290069460869,0.9009307026863098,3.1885910034179688,3.1754674911499023,3.0310472243599505e-18,0.11332017928361893,0.8772550225257874,0.1163967028260231,0.1090015172958374,3.0310472243599505e-18,0.8772550225257874,0.1163967028260231,0.1090015172958374,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0060054836794734,False,False,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
3,4.089264869689941,0.8371917605400085,0.041391193866729736,0.03736020252108574,0.8773056864738464,3.1389544010162354,3.1274616718292236,2.8223282559120484e-18,0.13602453470230103,0.8746342062950134,0.11675505340099335,0.11893734335899353,2.8223282559120484e-18,0.8746342062950134,0.11675505340099335,0.11893734335899353,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.008787767961621284,False,False,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
4,4.024790287017822,0.798550009727478,0.04592317342758179,0.04183948412537575,0.8500927686691284,3.0938308238983154,3.0800392627716064,2.638361840114183e-18,0.1620730608701706,0.8724334239959717,0.11698297411203384,0.13145095109939575,2.638361840114183e-18,0.8724334239959717,0.11698297411203384,0.13145095109939575,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.011258459649980068,False,False,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
5,3.957404136657715,0.7571446895599365,0.05260501429438591,0.0485822893679142,0.8185672163963318,3.043792724609375,3.0315067768096924,2.4584202783818477e-18,0.19127920269966125,0.8698091506958008,0.11732849478721619,0.14445233345031738,2.4584202783818477e-18,0.8698091506958008,0.11732849478721619,0.14445233345031738,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.015588046051561832,False,False,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
6,3.8868255615234375,0.7115239500999451,0.06162203103303909,0.058470871299505234,0.7820653319358826,2.99307918548584,2.976255416870117,2.2828747680149253e-18,0.22858098149299622,0.8677799105644226,0.1175680086016655,0.15971167385578156,2.2828747680149253e-18,0.8677799105644226,0.1175680086016655,0.15971167385578156,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.02016645111143589,False,False,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
7,3.8196372985839844,0.6617395877838135,0.07166236639022827,0.07046041637659073,0.742554247379303,2.946570873260498,2.923349380493164,2.1209638824798676e-18,0.26718366146087646,0.8653516173362732,0.11787301301956177,0.17371203005313873,2.1209638824798676e-18,0.8653516173362732,0.11787301301956177,0.17371203005313873,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.02605362795293331,False,False,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
8,3.747288227081299,0.6076412796974182,0.08454771339893341,0.0860220342874527,0.6963468790054321,2.895972728729248,2.8647701740264893,1.9587467333230122e-18,0.3146377503871918,0.8632259964942932,0.11804812401533127,0.19035573303699493,1.9587467333230122e-18,0.8632259964942932,0.11804812401533127,0.19035573303699493,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.03233431652188301,False,False,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
9,3.6735458374023438,0.5495985150337219,0.0994933471083641,0.10402104258537292,0.6456244587898254,2.8421661853790283,2.806648015975952,1.8075455619738317e-18,0.3635559380054474,0.8613681793212891,0.11818362027406693,0.20387189090251923,1.8075455619738317e-18,0.8613681793212891,0.11818362027406693,0.20387189090251923,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0400284044444561,False,False,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
10,3.598909854888916,0.4863123297691345,0.11581546068191528,0.12483161687850952,0.5911814570426941,2.787959098815918,2.7462034225463867,1.6661290066929644e-18,0.4163579046726227,0.8593031764030457,0.11807601898908615,0.2154569923877716,1.6946878975705162e-18,0.8580371737480164,0.1182943731546402,0.2109633833169937,0.0001,0.25,1.0,0.25,0.0,0.0,0.0006080371737480164,0.0,0.0,0.047652244567871094,False,False,25.0,1.0,1.0,1.0,0.7814664840698242,0.7814664840698242,0.21853351593017578,8.333971977233887,0.0,0.8514318466186523,4.098334789276123,-0.0,1.428885817527771,0.7808776497840881,1.6768357262394087e-18,0.7808776497840881,0.4743970036506653,0.028564613312482834
