epoch,critic_loss,actor_loss,q1_loss,q2_loss,cost_loss,cql_q1,cql_q2,expected_immediate_cost,expected_cost_to_go,expected_support_cost,expected_smoothness_cost,expected_uncertainty_cost,exact_soft_inadmissibility_rate,support_cost_for_lambda,smooth_cost_for_lambda,uncertainty_cost_for_lambda,cost_budget,support_budget,smooth_budget,uncertainty_budget,lagrange,lambda_inad,lambda_support,lambda_smooth,lambda_uncertainty,expert_kl,uses_action_mask,use_certified_nudging,barrier_weight,support_weight,rho_cost,rho_reward,avg_return,survival_rate,mortality_rate,avg_length,inadmissibility_rate,expert_argmax_match,mean_kl_to_expert,policy_entropy,mean_action_deviation_from_expert,soft_survival_rate,soft_inadmissibility_rate,soft_avg_return,soft_policy_entropy,soft_mean_kl_to_expert
1,4.180704116821289,0.9205959439277649,0.03122265450656414,0.03043461963534355,0.868534505367279,3.235029697418213,3.2659952640533447,2.783489437815693e-18,0.05837034434080124,0.8760469555854797,0.11184699833393097,0.10442373156547546,2.783489437815693e-18,0.8760469555854797,0.11184699833393097,0.10442373156547546,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.00605153338983655,False,True,25.0,1.0,0.0,1.0,,,,,,,,,,,,,,
2,4.11485481262207,0.8747283816337585,0.03130432590842247,0.02905046008527279,0.8530088067054749,3.1856396198272705,3.2173430919647217,2.6048279380812833e-18,0.06773999333381653,0.8732839226722717,0.11202346533536911,0.10862918943166733,2.6048279380812833e-18,0.8732839226722717,0.11202346533536911,0.10862918943166733,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.006663905456662178,False,True,25.0,1.0,0.0,1.0,,,,,,,,,,,,,,
3,4.051307678222656,0.830095648765564,0.03315002843737602,0.02982144057750702,0.8347856402397156,3.1349148750305176,3.1721866130828857,2.4312846183870456e-18,0.08026336133480072,0.8709162473678589,0.11241993308067322,0.11558067053556442,2.4312846183870456e-18,0.8709162473678589,0.11241993308067322,0.11558067053556442,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.007736071944236755,False,True,25.0,1.0,0.0,1.0,,,,,,,,,,,,,,
4,3.9872961044311523,0.7832916975021362,0.03675626218318939,0.03200823813676834,0.812628448009491,3.0852677822113037,3.1265387535095215,2.2780951116404408e-18,0.09410113841295242,0.8682070970535278,0.11276783794164658,0.12400498986244202,2.2780951116404408e-18,0.8682070970535278,0.11276783794164658,0.12400498986244202,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.009874989278614521,False,True,25.0,1.0,0.0,1.0,,,,,,,,,,,,,,
5,3.923797369003296,0.7369508743286133,0.04233800247311592,0.03587795048952103,0.7862332463264465,3.0365405082702637,3.08215594291687,2.1271083868650647e-18,0.11155741661787033,0.865458607673645,0.11312904208898544,0.13375021517276764,2.1271083868650647e-18,0.865458607673645,0.11312904208898544,0.13375021517276764,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.012486430816352367,False,True,25.0,1.0,0.0,1.0,,,,,,,,,,,,,,
6,3.857832670211792,0.6872751712799072,0.0499582514166832,0.041806627064943314,0.7557442784309387,2.986691474914551,3.0339553356170654,1.9818993118732183e-18,0.13368336856365204,0.8634109497070312,0.11333377659320831,0.14633709192276,1.9818993118732183e-18,0.8634109497070312,0.11333377659320831,0.14633709192276,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.01584039442241192,False,True,25.0,1.0,0.0,1.0,,,,,,,,,,,,,,
7,3.7873589992523193,0.6362312436103821,0.059728242456912994,0.0493873655796051,0.7209293246269226,2.929664134979248,2.984963893890381,1.8479566436194973e-18,0.158735990524292,0.8610057234764099,0.11361265927553177,0.1614581048488617,1.8479566436194973e-18,0.8610057234764099,0.11361265927553177,0.1614581048488617,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.01990671269595623,False,True,25.0,1.0,0.0,1.0,,,,,,,,,,,,,,
8,3.7156271934509277,0.5775195360183716,0.07263527810573578,0.06017564609646797,0.6801969408988953,2.8742544651031494,2.9309844970703125,1.710957543002393e-18,0.18939796090126038,0.8585116267204285,0.11379346251487732,0.17636139690876007,1.710957543002393e-18,0.8585116267204285,0.11379346251487732,0.17636139690876007,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.024783775210380554,False,True,25.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,3.6420254707336426,0.5156307220458984,0.0874328464269638,0.07281231135129929,0.6354614496231079,2.8166706562042236,2.875967264175415,1.583427178857183e-18,0.22310858964920044,0.8564537167549133,0.11421315371990204,0.1924072653055191,1.583427178857183e-18,0.8564537167549133,0.11421315371990204,0.1924072653055191,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.029908647760748863,False,True,25.0,1.0,0.0,1.0,,,,,,,,,,,,,,
10,3.566650867462158,0.4500189423561096,0.10500553995370865,0.08835256099700928,0.5858203768730164,2.7567856311798096,2.8181591033935547,1.4672921582280802e-18,0.26503986120224,0.8537490963935852,0.11415568739175797,0.20878779888153076,1.4451522571966194e-18,0.852645993232727,0.11465144902467728,0.20496723055839539,0.0001,0.25,1.0,0.25,0.0,0.0,0.000602645993232727,0.0,0.0,0.0367346853017807,False,True,25.0,1.0,0.0,1.0,0.7775872945785522,0.7775872945785522,0.22241270542144775,8.303688049316406,0.0,0.8877570629119873,4.071806907653809,-0.0,1.4755408763885498,0.7778623700141907,1.4299997421838079e-18,0.7778623700141907,0.4773463010787964,0.022358614951372147
