model,seed,best_survival,threshold_95_percent,first_epoch_reaching_95_percent
Behavior Cloning,seed_42,0.73314368724823,0.6964865028858185,10
Behavior Cloning,seed_43,0.73314368724823,0.6964865028858185,10
Behavior Cloning,seed_44,0.73314368724823,0.6964865028858185,10
Behavior Cloning,seed_45,0.73314368724823,0.6964865028858185,10
Behavior Cloning,seed_46,0.73314368724823,0.6964865028858185,10
Conservative Q-Learning,seed_42,0.738547146320343,0.7016197890043259,10
Conservative Q-Learning,seed_43,0.7375297546386719,0.7006532669067382,10
Conservative Q-Learning,seed_44,0.7361186742782593,0.6993127405643463,10
Conservative Q-Learning,seed_45,0.7375297546386719,0.7006532669067382,10
Conservative Q-Learning,seed_46,0.7367897033691406,0.6999502182006836,10
Vanilla Offline Actor-Critic,seed_42,0.5629619359970093,0.5348138391971587,50
Vanilla Offline Actor-Critic,seed_43,0.7150639891624451,0.6793107897043228,50
Vanilla Offline Actor-Critic,seed_44,0.7337906956672668,0.6971011608839035,50
Vanilla Offline Actor-Critic,seed_45,0.7327651381492615,0.6961268812417983,30
Vanilla Offline Actor-Critic,seed_46,0.5145543813705444,0.4888266623020172,350
LAADAN-AC,seed_42,0.7322443127632141,0.6956320971250534,10
LAADAN-AC,seed_43,0.733410120010376,0.6967396140098572,10
LAADAN-AC,seed_44,0.7322443127632141,0.6956320971250534,10
LAADAN-AC,seed_45,0.733410120010376,0.6967396140098572,20
LAADAN-AC,seed_46,0.733410120010376,0.6967396140098572,10
