epoch,loss,kl_loss,entropy,avg_return,survival_rate,mortality_rate,avg_length,inadmissibility_rate,expert_argmax_match,mean_kl_to_expert,policy_entropy,mean_action_deviation_from_expert,soft_survival_rate,soft_inadmissibility_rate,soft_avg_return,soft_policy_entropy,soft_mean_kl_to_expert
1,2.9839987754821777,2.9839987754821777,3.211880683898926,,,,,,,,,,,,,,
2,2.899665117263794,2.899665117263794,3.211580991744995,,,,,,,,,,,,,,
3,2.812516689300537,2.812516689300537,3.211019515991211,,,,,,,,,,,,,,
4,2.72774076461792,2.72774076461792,3.2092702388763428,,,,,,,,,,,,,,
5,2.6436386108398438,2.6436386108398438,3.206578016281128,,,,,,,,,,,,,,
6,2.5571959018707275,2.5571959018707275,3.2024710178375244,,,,,,,,,,,,,,
7,2.46592116355896,2.46592116355896,3.1946725845336914,,,,,,,,,,,,,,
8,2.3630714416503906,2.3630714416503906,3.183058261871338,,,,,,,,,,,,,,
9,2.260922908782959,2.260922908782959,3.167109727859497,,,,,,,,,,,,,,
10,2.160109519958496,2.160109519958496,3.1475582122802734,0.7322443127632141,0.7322443127632141,0.2677556872367859,25.202152252197266,0.0,0.9978345632553101,0.9168972969055176,-0.0,0.5709724426269531,0.2818237543106079,0.7222008025371275,0.2818237543106079,3.171102523803711,2.2058260440826416
11,2.0514941215515137,2.0514941215515137,3.118995428085327,,,,,,,,,,,,,,
12,1.9391639232635498,1.9391639232635498,3.088294267654419,,,,,,,,,,,,,,
13,1.8165042400360107,1.8165042400360107,3.041918992996216,,,,,,,,,,,,,,
14,1.6954418420791626,1.6954418420791626,2.9887633323669434,,,,,,,,,,,,,,
15,1.5782289505004883,1.5782289505004883,2.9336094856262207,,,,,,,,,,,,,,
16,1.4585673809051514,1.4585673809051514,2.8670670986175537,,,,,,,,,,,,,,
17,1.3367903232574463,1.3367903232574463,2.7829220294952393,,,,,,,,,,,,,,
18,1.223157286643982,1.223157286643982,2.6919400691986084,,,,,,,,,,,,,,
19,1.1026575565338135,1.1026575565338135,2.575979709625244,,,,,,,,,,,,,,
20,0.9836653470993042,0.9836653470993042,2.443054437637329,0.7322443127632141,0.7322443127632141,0.2677556872367859,25.202152252197266,0.0,0.9978345632553101,0.9168972969055176,-0.0,0.5709724426269531,0.47701582312583923,0.5107199426288808,0.47701582312583923,2.55110502243042,0.9860552549362183
21,0.8767997622489929,0.8767997622489929,2.3045363426208496,,,,,,,,,,,,,,
22,0.7657943367958069,0.7657943367958069,2.141817808151245,,,,,,,,,,,,,,
23,0.6796519756317139,0.6796519756317139,1.9815335273742676,,,,,,,,,,,,,,
24,0.610354483127594,0.610354483127594,1.837187647819519,,,,,,,,,,,,,,
25,0.5334600806236267,0.5334600806236267,1.660805583000183,,,,,,,,,,,,,,
26,0.4726557433605194,0.4726557433605194,1.4951539039611816,,,,,,,,,,,,,,
27,0.41547921299934387,0.41547921299934387,1.331082820892334,,,,,,,,,,,,,,
28,0.37070029973983765,0.37070029973983765,1.1908375024795532,,,,,,,,,,,,,,
29,0.33169034123420715,0.33169034123420715,1.0608711242675781,,,,,,,,,,,,,,
30,0.30408814549446106,0.30408814549446106,0.931523323059082,0.7322443127632141,0.7322443127632141,0.2677556872367859,25.202152252197266,0.0,0.9978345632553101,0.9168972969055176,-0.0,0.5709724426269531,0.6783547401428223,0.1434694916983928,0.6783547401428223,0.9701651334762573,0.24079246819019318
31,0.2827116549015045,0.2827116549015045,0.8281979560852051,,,,,,,,,,,,,,
32,0.26735639572143555,0.26735639572143555,0.7394815683364868,,,,,,,,,,,,,,
33,0.25649502873420715,0.25649502873420715,0.6572972536087036,,,,,,,,,,,,,,
34,0.24597835540771484,0.24597835540771484,0.5985107421875,,,,,,,,,,,,,,
35,0.2341253012418747,0.2341253012418747,0.5285122990608215,,,,,,,,,,,,,,
36,0.22833922505378723,0.22833922505378723,0.4938158094882965,,,,,,,,,,,,,,
37,0.2239861786365509,0.2239861786365509,0.4584488868713379,,,,,,,,,,,,,,
38,0.2196933925151825,0.2196933925151825,0.434265673160553,,,,,,,,,,,,,,
39,0.2145601361989975,0.2145601361989975,0.40678533911705017,,,,,,,,,,,,,,
40,0.2138255387544632,0.2138255387544632,0.3886619806289673,0.7322443127632141,0.7322443127632141,0.2677556872367859,25.202152252197266,0.0,0.9978345632553101,0.9168972969055176,-0.0,0.5709724426269531,0.7139196395874023,0.041342293490086834,0.7139196395874023,0.4276665449142456,0.1314558982849121
41,0.2052202820777893,0.2052202820777893,0.3716070353984833,,,,,,,,,,,,,,
42,0.19904369115829468,0.19904369115829468,0.37399235367774963,,,,,,,,,,,,,,
43,0.20183689892292023,0.20183689892292023,0.3755853474140167,,,,,,,,,,,,,,
44,0.190067857503891,0.190067857503891,0.3824288845062256,,,,,,,,,,,,,,
45,0.18964605033397675,0.18964605033397675,0.380841463804245,,,,,,,,,,,,,,
46,0.18624235689640045,0.18624235689640045,0.3916207551956177,,,,,,,,,,,,,,
47,0.18247053027153015,0.18247053027153015,0.3969449996948242,,,,,,,,,,,,,,
48,0.17940013110637665,0.17940013110637665,0.40496689081192017,,,,,,,,,,,,,,
49,0.17518243193626404,0.17518243193626404,0.4240916073322296,,,,,,,,,,,,,,
50,0.17483510076999664,0.17483510076999664,0.4250686764717102,0.7322443127632141,0.7322443127632141,0.2677556872367859,25.202152252197266,0.0,0.9978345632553101,0.9168972969055176,-0.0,0.5709724426269531,0.7095506191253662,0.039590278002169466,0.7095506191253662,0.47684964537620544,0.1217113509774208
51,0.169143408536911,0.169143408536911,0.44474083185195923,,,,,,,,,,,,,,
52,0.16958600282669067,0.16958600282669067,0.45413562655448914,,,,,,,,,,,,,,
53,0.1711132675409317,0.1711132675409317,0.46272012591362,,,,,,,,,,,,,,
54,0.16651229560375214,0.16651229560375214,0.47243475914001465,,,,,,,,,,,,,,
55,0.16767768561840057,0.16767768561840057,0.47788006067276,,,,,,,,,,,,,,
56,0.16544979810714722,0.16544979810714722,0.4852597713470459,,,,,,,,,,,,,,
57,0.16282182931900024,0.16282182931900024,0.485979288816452,,,,,,,,,,,,,,
58,0.16290418803691864,0.16290418803691864,0.4740414321422577,,,,,,,,,,,,,,
59,0.1604398638010025,0.1604398638010025,0.4739567041397095,,,,,,,,,,,,,,
60,0.15565648674964905,0.15565648674964905,0.46558696031570435,0.7322443127632141,0.7322443127632141,0.2677556872367859,25.202152252197266,0.0,0.9978345632553101,0.9168972969055176,-0.0,0.5709724426269531,0.7107460498809814,0.036903044689554826,0.7107460498809814,0.48823443055152893,0.10946515947580338
61,0.1544325202703476,0.1544325202703476,0.4610375165939331,,,,,,,,,,,,,,
62,0.15071921050548553,0.15071921050548553,0.4593924283981323,,,,,,,,,,,,,,
63,0.1498328149318695,0.1498328149318695,0.45139840245246887,,,,,,,,,,,,,,
64,0.14797306060791016,0.14797306060791016,0.4380878210067749,,,,,,,,,,,,,,
65,0.146285742521286,0.146285742521286,0.4365149736404419,,,,,,,,,,,,,,
66,0.14359459280967712,0.14359459280967712,0.42702651023864746,,,,,,,,,,,,,,
67,0.14639686048030853,0.14639686048030853,0.43360644578933716,,,,,,,,,,,,,,
68,0.14270265400409698,0.14270265400409698,0.42264336347579956,,,,,,,,,,,,,,
69,0.14111068844795227,0.14111068844795227,0.42555320262908936,,,,,,,,,,,,,,
70,0.13912123441696167,0.13912123441696167,0.419271320104599,0.7322443127632141,0.7322443127632141,0.2677556872367859,25.202152252197266,0.0,0.9978345632553101,0.9168972969055176,-0.0,0.5709724426269531,0.7156552076339722,0.03150692563461504,0.7156552076339722,0.4310789704322815,0.09118634462356567
71,0.1390346735715866,0.1390346735715866,0.41648781299591064,,,,,,,,,,,,,,
72,0.13917110860347748,0.13917110860347748,0.4134453535079956,,,,,,,,,,,,,,
73,0.13543233275413513,0.13543233275413513,0.41896796226501465,,,,,,,,,,,,,,
74,0.13716168701648712,0.13716168701648712,0.4273136258125305,,,,,,,,,,,,,,
75,0.13450022041797638,0.13450022041797638,0.4224366247653961,,,,,,,,,,,,,,
76,0.1331135630607605,0.1331135630607605,0.42391762137413025,,,,,,,,,,,,,,
77,0.13149304687976837,0.13149304687976837,0.43319737911224365,,,,,,,,,,,,,,
78,0.1313784122467041,0.1313784122467041,0.42787230014801025,,,,,,,,,,,,,,
79,0.12737880647182465,0.12737880647182465,0.4369988739490509,,,,,,,,,,,,,,
80,0.1295912265777588,0.1295912265777588,0.4501937925815582,0.7322443127632141,0.7322443127632141,0.2677556872367859,25.202152252197266,0.0,0.9978345632553101,0.9168972969055176,-0.0,0.5709724426269531,0.7149012088775635,0.03446848227477001,0.7149012088775635,0.4594600200653076,0.0880894735455513
81,0.13068261742591858,0.13068261742591858,0.45471224188804626,,,,,,,,,,,,,,
82,0.1282138079404831,0.1282138079404831,0.4504188597202301,,,,,,,,,,,,,,
83,0.12564119696617126,0.12564119696617126,0.4606857895851135,,,,,,,,,,,,,,
84,0.12532038986682892,0.12532038986682892,0.45729464292526245,,,,,,,,,,,,,,
85,0.12551769614219666,0.12551769614219666,0.45868945121765137,,,,,,,,,,,,,,
86,0.12469789385795593,0.12469789385795593,0.46442320942878723,,,,,,,,,,,,,,
87,0.12398262321949005,0.12398262321949005,0.4602780342102051,,,,,,,,,,,,,,
88,0.1228673905134201,0.1228673905134201,0.47221049666404724,,,,,,,,,,,,,,
89,0.12105971574783325,0.12105971574783325,0.46792072057724,,,,,,,,,,,,,,
90,0.1216699555516243,0.1216699555516243,0.4694463312625885,0.7322443127632141,0.7322443127632141,0.2677556872367859,25.202152252197266,0.0,0.9978345632553101,0.9168972969055176,-0.0,0.5709724426269531,0.7151415944099426,0.03516084963838005,0.7151415944099426,0.47420066595077515,0.08484575152397156
91,0.12109025567770004,0.12109025567770004,0.4593334197998047,,,,,,,,,,,,,,
92,0.12018893659114838,0.12018893659114838,0.4617551267147064,,,,,,,,,,,,,,
93,0.11606424301862717,0.11606424301862717,0.4619673192501068,,,,,,,,,,,,,,
94,0.1206817626953125,0.1206817626953125,0.46080076694488525,,,,,,,,,,,,,,
95,0.12003560364246368,0.12003560364246368,0.4668986201286316,,,,,,,,,,,,,,
96,0.11905883997678757,0.11905883997678757,0.4614262878894806,,,,,,,,,,,,,,
97,0.11641213297843933,0.11641213297843933,0.4607364237308502,,,,,,,,,,,,,,
98,0.11670385301113129,0.11670385301113129,0.4620590806007385,,,,,,,,,,,,,,
99,0.1129482164978981,0.1129482164978981,0.4558677077293396,,,,,,,,,,,,,,
100,0.11514276266098022,0.11514276266098022,0.4541132152080536,0.7322443127632141,0.7322443127632141,0.2677556872367859,25.202152252197266,0.0,0.9978345632553101,0.9168972969055176,-0.0,0.5709724426269531,0.716731607913971,0.032657004481698414,0.716731607913971,0.4531852602958679,0.0796467512845993
101,0.11024429649114609,0.11024429649114609,0.4513680338859558,,,,,,,,,,,,,,
102,0.11384060978889465,0.11384060978889465,0.4557570815086365,,,,,,,,,,,,,,
103,0.11193224042654037,0.11193224042654037,0.4392361044883728,,,,,,,,,,,,,,
104,0.11224912852048874,0.11224912852048874,0.44375428557395935,,,,,,,,,,,,,,
105,0.11089625954627991,0.11089625954627991,0.45078587532043457,,,,,,,,,,,,,,
106,0.11259009689092636,0.11259009689092636,0.4551333487033844,,,,,,,,,,,,,,
107,0.10998807847499847,0.10998807847499847,0.4430202841758728,,,,,,,,,,,,,,
108,0.11361150443553925,0.11361150443553925,0.44632968306541443,,,,,,,,,,,,,,
109,0.10966221243143082,0.10966221243143082,0.4329621195793152,,,,,,,,,,,,,,
110,0.10996352136135101,0.10996352136135101,0.43393099308013916,0.7322443127632141,0.7322443127632141,0.2677556872367859,25.202152252197266,0.0,0.9978345632553101,0.9168972969055176,-0.0,0.5709724426269531,0.7176268696784973,0.03067844417723632,0.7176268696784973,0.4330464005470276,0.07595200836658478
111,0.10654398053884506,0.10654398053884506,0.4329361319541931,,,,,,,,,,,,,,
112,0.10825490206480026,0.10825490206480026,0.4465353786945343,,,,,,,,,,,,,,
113,0.10504238307476044,0.10504238307476044,0.4354027509689331,,,,,,,,,,,,,,
114,0.10592341423034668,0.10592341423034668,0.44160017371177673,,,,,,,,,,,,,,
115,0.10926336795091629,0.10926336795091629,0.4430241286754608,,,,,,,,,,,,,,
116,0.1064821183681488,0.1064821183681488,0.4365899860858917,,,,,,,,,,,,,,
117,0.10692491382360458,0.10692491382360458,0.442329466342926,,,,,,,,,,,,,,
118,0.10493839532136917,0.10493839532136917,0.42604774236679077,,,,,,,,,,,,,,
119,0.10613883286714554,0.10613883286714554,0.43649497628211975,,,,,,,,,,,,,,
120,0.10457014292478561,0.10457014292478561,0.43319693207740784,0.7322443127632141,0.7322443127632141,0.2677556872367859,25.202152252197266,0.0,0.9978345632553101,0.9168972969055176,-0.0,0.5709724426269531,0.7183764576911926,0.029225748492289722,0.7183764576911926,0.4201534390449524,0.07259450852870941
121,0.10163397341966629,0.10163397341966629,0.4332256317138672,,,,,,,,,,,,,,
122,0.1014237329363823,0.1014237329363823,0.4293827712535858,,,,,,,,,,,,,,
123,0.10047357529401779,0.10047357529401779,0.42205333709716797,,,,,,,,,,,,,,
124,0.1012008786201477,0.1012008786201477,0.4310896098613739,,,,,,,,,,,,,,
125,0.10223614424467087,0.10223614424467087,0.4190220534801483,,,,,,,,,,,,,,
126,0.1007266640663147,0.1007266640663147,0.4247010052204132,,,,,,,,,,,,,,
127,0.10148357599973679,0.10148357599973679,0.4191206693649292,,,,,,,,,,,,,,
128,0.1021675243973732,0.1021675243973732,0.42119285464286804,,,,,,,,,,,,,,
129,0.09746731072664261,0.09746731072664261,0.4275299608707428,,,,,,,,,,,,,,
130,0.09899447858333588,0.09899447858333588,0.4313701391220093,0.7322443127632141,0.7322443127632141,0.2677556872367859,25.202152252197266,0.0,0.9978345632553101,0.9168972969055176,-0.0,0.5709724426269531,0.7188822627067566,0.028443387640989252,0.7188822627067566,0.4140457212924957,0.06983603537082672
131,0.09911943972110748,0.09911943972110748,0.432466059923172,,,,,,,,,,,,,,
132,0.09847567230463028,0.09847567230463028,0.42639586329460144,,,,,,,,,,,,,,
133,0.09655497968196869,0.09655497968196869,0.4307737350463867,,,,,,,,,,,,,,
134,0.09803681820631027,0.09803681820631027,0.42093831300735474,,,,,,,,,,,,,,
135,0.09970789402723312,0.09970789402723312,0.42369750142097473,,,,,,,,,,,,,,
136,0.09676934778690338,0.09676934778690338,0.42695945501327515,,,,,,,,,,,,,,
137,0.0963900163769722,0.0963900163769722,0.42578211426734924,,,,,,,,,,,,,,
138,0.09717442840337753,0.09717442840337753,0.42253944277763367,,,,,,,,,,,,,,
139,0.09486155211925507,0.09486155211925507,0.41989392042160034,,,,,,,,,,,,,,
140,0.09750819206237793,0.09750819206237793,0.4188683331012726,0.7322443127632141,0.7322443127632141,0.2677556872367859,25.202152252197266,0.0,0.9978345632553101,0.9168972969055176,-0.0,0.5709724426269531,0.719443142414093,0.027748335920623306,0.719443142414093,0.4062820076942444,0.06738821417093277
141,0.09496774524450302,0.09496774524450302,0.4277859330177307,,,,,,,,,,,,,,
142,0.09474172443151474,0.09474172443151474,0.43078744411468506,,,,,,,,,,,,,,
143,0.09405751526355743,0.09405751526355743,0.4175834357738495,,,,,,,,,,,,,,
144,0.09484666585922241,0.09484666585922241,0.42098116874694824,,,,,,,,,,,,,,
145,0.09371048957109451,0.09371048957109451,0.41662362217903137,,,,,,,,,,,,,,
146,0.09122844785451889,0.09122844785451889,0.41864511370658875,,,,,,,,,,,,,,
147,0.09444372355937958,0.09444372355937958,0.42365241050720215,,,,,,,,,,,,,,
148,0.09295039623975754,0.09295039623975754,0.4303430914878845,,,,,,,,,,,,,,
149,0.093505859375,0.093505859375,0.42168137431144714,,,,,,,,,,,,,,
150,0.09124300628900528,0.09124300628900528,0.41843995451927185,0.7322443127632141,0.7322443127632141,0.2677556872367859,25.202152252197266,0.0,0.9978345632553101,0.9168972969055176,-0.0,0.5709724426269531,0.7198288440704346,0.027043803041070718,0.7198288440704346,0.3994695544242859,0.06511805206537247
151,0.0926373153924942,0.0926373153924942,0.42561304569244385,,,,,,,,,,,,,,
152,0.09138457477092743,0.09138457477092743,0.4147398769855499,,,,,,,,,,,,,,
153,0.0894571989774704,0.0894571989774704,0.42212140560150146,,,,,,,,,,,,,,
154,0.0901997834444046,0.0901997834444046,0.41048890352249146,,,,,,,,,,,,,,
155,0.09036021679639816,0.09036021679639816,0.4126932919025421,,,,,,,,,,,,,,
156,0.08932625502347946,0.08932625502347946,0.4044782817363739,,,,,,,,,,,,,,
157,0.090416818857193,0.090416818857193,0.4061708152294159,,,,,,,,,,,,,,
158,0.088713638484478,0.088713638484478,0.4019166827201843,,,,,,,,,,,,,,
159,0.08883693069219589,0.08883693069219589,0.41043218970298767,,,,,,,,,,,,,,
160,0.0865769237279892,0.0865769237279892,0.414561003446579,0.7322443127632141,0.7322443127632141,0.2677556872367859,25.202152252197266,0.0,0.9978345632553101,0.9168972969055176,-0.0,0.5709724426269531,0.7202155590057373,0.02637943897592618,0.7202155590057373,0.3930332064628601,0.06292247772216797
161,0.0853930413722992,0.0853930413722992,0.41374969482421875,,,,,,,,,,,,,,
162,0.08515257388353348,0.08515257388353348,0.40830761194229126,,,,,,,,,,,,,,
163,0.08737524598836899,0.08737524598836899,0.4138822555541992,,,,,,,,,,,,,,
164,0.0868297815322876,0.0868297815322876,0.4142717123031616,,,,,,,,,,,,,,
165,0.08841278403997421,0.08841278403997421,0.409316748380661,,,,,,,,,,,,,,
166,0.0835173949599266,0.0835173949599266,0.40851789712905884,,,,,,,,,,,,,,
167,0.08845484256744385,0.08845484256744385,0.40665167570114136,,,,,,,,,,,,,,
168,0.08710247278213501,0.08710247278213501,0.416236937046051,,,,,,,,,,,,,,
169,0.08401873707771301,0.08401873707771301,0.4132760763168335,,,,,,,,,,,,,,
170,0.0838274210691452,0.0838274210691452,0.41271308064460754,0.7322443127632141,0.7322443127632141,0.2677556872367859,25.202152252197266,0.0,0.9978345632553101,0.9168972969055176,-0.0,0.5709724426269531,0.7200901508331299,0.026558437295517517,0.7200901508331299,0.39574992656707764,0.06132350489497185
171,0.08554073423147202,0.08554073423147202,0.4258204400539398,,,,,,,,,,,,,,
172,0.08250882476568222,0.08250882476568222,0.40298405289649963,,,,,,,,,,,,,,
173,0.08346939086914062,0.08346939086914062,0.4135327935218811,,,,,,,,,,,,,,
174,0.08199934661388397,0.08199934661388397,0.41281527280807495,,,,,,,,,,,,,,
175,0.08303536474704742,0.08303536474704742,0.4051000773906708,,,,,,,,,,,,,,
176,0.08426152169704437,0.08426152169704437,0.4125079810619354,,,,,,,,,,,,,,
177,0.08568025380373001,0.08568025380373001,0.3985247015953064,,,,,,,,,,,,,,
178,0.08092347532510757,0.08092347532510757,0.40190011262893677,,,,,,,,,,,,,,
179,0.08403538167476654,0.08403538167476654,0.40426063537597656,,,,,,,,,,,,,,
180,0.08447173237800598,0.08447173237800598,0.40515488386154175,0.7322443127632141,0.7322443127632141,0.2677556872367859,25.202152252197266,0.0,0.9978345632553101,0.9168972969055176,-0.0,0.5709724426269531,0.7208570837974548,0.02531208092926258,0.7208570837974548,0.3830426335334778,0.05902685970067978
181,0.08312810957431793,0.08312810957431793,0.4042491614818573,,,,,,,,,,,,,,
182,0.08000148087739944,0.08000148087739944,0.40668556094169617,,,,,,,,,,,,,,
183,0.0839909017086029,0.0839909017086029,0.40807658433914185,,,,,,,,,,,,,,
184,0.08322039246559143,0.08322039246559143,0.40725159645080566,,,,,,,,,,,,,,
185,0.08075957745313644,0.08075957745313644,0.40454599261283875,,,,,,,,,,,,,,
186,0.08349137008190155,0.08349137008190155,0.4157768487930298,,,,,,,,,,,,,,
187,0.0818716511130333,0.0818716511130333,0.41311395168304443,,,,,,,,,,,,,,
188,0.08170688897371292,0.08170688897371292,0.41015851497650146,,,,,,,,,,,,,,
189,0.07913564145565033,0.07913564145565033,0.404130220413208,,,,,,,,,,,,,,
190,0.0796012356877327,0.0796012356877327,0.4117829203605652,0.73314368724823,0.73314368724823,0.26685631275177,25.224687576293945,0.0,1.0,0.9083240628242493,-0.0,0.5642727613449097,0.7206167578697205,0.025693204004794,0.7206167578697205,0.38782399892807007,0.057765837758779526
191,0.08040790259838104,0.08040790259838104,0.41316771507263184,,,,,,,,,,,,,,
192,0.0799756869673729,0.0799756869673729,0.4168475270271301,,,,,,,,,,,,,,
193,0.07726101577281952,0.07726101577281952,0.4007995128631592,,,,,,,,,,,,,,
194,0.07832342386245728,0.07832342386245728,0.4018743336200714,,,,,,,,,,,,,,
195,0.07688896358013153,0.07688896358013153,0.40752649307250977,,,,,,,,,,,,,,
196,0.08026083558797836,0.08026083558797836,0.4061790704727173,,,,,,,,,,,,,,
197,0.07992829382419586,0.07992829382419586,0.39832183718681335,,,,,,,,,,,,,,
198,0.08136764168739319,0.08136764168739319,0.3936763107776642,,,,,,,,,,,,,,
199,0.07880567759275436,0.07880567759275436,0.3979913592338562,,,,,,,,,,,,,,
200,0.07604639232158661,0.07604639232158661,0.40198424458503723,0.7329697608947754,0.7329697608947754,0.2670302391052246,25.207420349121094,0.0,0.998700737953186,0.9111163020133972,-0.0,0.5662649869918823,0.7210501432418823,0.024867972962427834,0.7210501432418823,0.3807598352432251,0.0558830127120018
201,0.07648901641368866,0.07648901641368866,0.40906140208244324,,,,,,,,,,,,,,
202,0.07685203105211258,0.07685203105211258,0.4063683748245239,,,,,,,,,,,,,,
203,0.07438488304615021,0.07438488304615021,0.39868178963661194,,,,,,,,,,,,,,
204,0.07557310163974762,0.07557310163974762,0.4084262549877167,,,,,,,,,,,,,,
205,0.07653608173131943,0.07653608173131943,0.4053966999053955,,,,,,,,,,,,,,
206,0.0779588595032692,0.0779588595032692,0.4120267927646637,,,,,,,,,,,,,,
207,0.07552886754274368,0.07552886754274368,0.40543296933174133,,,,,,,,,,,,,,
208,0.07514111697673798,0.07514111697673798,0.4172492027282715,,,,,,,,,,,,,,
209,0.07424271106719971,0.07424271106719971,0.40026697516441345,,,,,,,,,,,,,,
210,0.07483688741922379,0.07483688741922379,0.39583146572113037,0.7329697608947754,0.7329697608947754,0.2670302391052246,25.207420349121094,0.0,0.998700737953186,0.9111163020133972,-0.0,0.5662649869918823,0.7211930155754089,0.024474489696084945,0.7211930155754089,0.377770334482193,0.05421021208167076
211,0.07379564642906189,0.07379564642906189,0.3971434533596039,,,,,,,,,,,,,,
212,0.07259705662727356,0.07259705662727356,0.40089139342308044,,,,,,,,,,,,,,
213,0.07516274601221085,0.07516274601221085,0.40013861656188965,,,,,,,,,,,,,,
214,0.07649058103561401,0.07649058103561401,0.4059382379055023,,,,,,,,,,,,,,
215,0.07335484027862549,0.07335484027862549,0.3879912793636322,,,,,,,,,,,,,,
216,0.07419243454933167,0.07419243454933167,0.4054594933986664,,,,,,,,,,,,,,
