model,action,selected_count,inadmissible_selected_count,inadmissible_selected_rate
Behavior Cloning,0,234,0,0.0
Behavior Cloning,1,0,0,0.0
Behavior Cloning,2,0,0,0.0
Behavior Cloning,3,0,0,0.0
Behavior Cloning,4,0,0,0.0
Behavior Cloning,5,158,0,0.0
Behavior Cloning,6,0,0,0.0
Behavior Cloning,7,0,0,0.0
Behavior Cloning,8,0,0,0.0
Behavior Cloning,9,0,0,0.0
Behavior Cloning,10,99,0,0.0
Behavior Cloning,11,0,0,0.0
Behavior Cloning,12,1,0,0.0
Behavior Cloning,13,0,0,0.0
Behavior Cloning,14,1,0,0.0
Behavior Cloning,15,80,0,0.0
Behavior Cloning,16,0,0,0.0
Behavior Cloning,17,0,0,0.0
Behavior Cloning,18,0,0,0.0
Behavior Cloning,19,0,0,0.0
Behavior Cloning,20,114,0,0.0
Behavior Cloning,21,0,0,0.0
Behavior Cloning,22,1,0,0.0
Behavior Cloning,23,4,0,0.0
Behavior Cloning,24,22,0,0.0
Conservative Q-Learning,0,237,0,0.0
Conservative Q-Learning,1,0,0,0.0
Conservative Q-Learning,2,0,0,0.0
Conservative Q-Learning,3,0,0,0.0
Conservative Q-Learning,4,0,0,0.0
Conservative Q-Learning,5,185,0,0.0
Conservative Q-Learning,6,0,0,0.0
Conservative Q-Learning,7,0,0,0.0
Conservative Q-Learning,8,0,0,0.0
Conservative Q-Learning,9,0,0,0.0
Conservative Q-Learning,10,76,0,0.0
Conservative Q-Learning,11,0,0,0.0
Conservative Q-Learning,12,0,0,0.0
Conservative Q-Learning,13,0,0,0.0
Conservative Q-Learning,14,0,0,0.0
Conservative Q-Learning,15,68,0,0.0
Conservative Q-Learning,16,0,0,0.0
Conservative Q-Learning,17,0,0,0.0
Conservative Q-Learning,18,0,0,0.0
Conservative Q-Learning,19,0,0,0.0
Conservative Q-Learning,20,122,0,0.0
Conservative Q-Learning,21,0,0,0.0
Conservative Q-Learning,22,0,0,0.0
Conservative Q-Learning,23,0,0,0.0
Conservative Q-Learning,24,26,2,0.07692307692307693
Vanilla Offline Actor-Critic,0,12,2,0.16666666666666666
Vanilla Offline Actor-Critic,1,0,0,0.0
Vanilla Offline Actor-Critic,2,0,0,0.0
Vanilla Offline Actor-Critic,3,0,0,0.0
Vanilla Offline Actor-Critic,4,1,1,1.0
Vanilla Offline Actor-Critic,5,212,36,0.16981132075471697
Vanilla Offline Actor-Critic,6,0,0,0.0
Vanilla Offline Actor-Critic,7,4,4,1.0
Vanilla Offline Actor-Critic,8,10,10,1.0
Vanilla Offline Actor-Critic,9,0,0,0.0
Vanilla Offline Actor-Critic,10,2,0,0.0
Vanilla Offline Actor-Critic,11,5,5,1.0
Vanilla Offline Actor-Critic,12,90,90,1.0
Vanilla Offline Actor-Critic,13,0,0,0.0
Vanilla Offline Actor-Critic,14,0,0,0.0
Vanilla Offline Actor-Critic,15,99,23,0.23232323232323232
Vanilla Offline Actor-Critic,16,6,6,1.0
Vanilla Offline Actor-Critic,17,7,7,1.0
Vanilla Offline Actor-Critic,18,0,0,0.0
Vanilla Offline Actor-Critic,19,1,1,1.0
Vanilla Offline Actor-Critic,20,212,91,0.42924528301886794
Vanilla Offline Actor-Critic,21,14,14,1.0
Vanilla Offline Actor-Critic,22,0,0,0.0
Vanilla Offline Actor-Critic,23,27,26,0.9629629629629629
Vanilla Offline Actor-Critic,24,12,12,1.0
LAADAN-AC,0,235,0,0.0
LAADAN-AC,1,0,0,0.0
LAADAN-AC,2,0,0,0.0
LAADAN-AC,3,0,0,0.0
LAADAN-AC,4,0,0,0.0
LAADAN-AC,5,177,0,0.0
LAADAN-AC,6,0,0,0.0
LAADAN-AC,7,0,0,0.0
LAADAN-AC,8,0,0,0.0
LAADAN-AC,9,0,0,0.0
LAADAN-AC,10,100,0,0.0
LAADAN-AC,11,0,0,0.0
LAADAN-AC,12,1,0,0.0
LAADAN-AC,13,0,0,0.0
LAADAN-AC,14,0,0,0.0
LAADAN-AC,15,61,0,0.0
LAADAN-AC,16,0,0,0.0
LAADAN-AC,17,0,0,0.0
LAADAN-AC,18,0,0,0.0
LAADAN-AC,19,0,0,0.0
LAADAN-AC,20,117,0,0.0
LAADAN-AC,21,0,0,0.0
LAADAN-AC,22,1,0,0.0
LAADAN-AC,23,0,0,0.0
LAADAN-AC,24,22,0,0.0
Post-hoc Masked VOAC,0,236,0,0.0
Post-hoc Masked VOAC,1,1,0,0.0
Post-hoc Masked VOAC,2,0,0,0.0
Post-hoc Masked VOAC,3,0,0,0.0
Post-hoc Masked VOAC,4,0,0,0.0
Post-hoc Masked VOAC,5,210,0,0.0
Post-hoc Masked VOAC,6,0,0,0.0
Post-hoc Masked VOAC,7,0,0,0.0
Post-hoc Masked VOAC,8,0,0,0.0
Post-hoc Masked VOAC,9,0,0,0.0
Post-hoc Masked VOAC,10,19,0,0.0
Post-hoc Masked VOAC,11,0,0,0.0
Post-hoc Masked VOAC,12,1,0,0.0
Post-hoc Masked VOAC,13,0,0,0.0
Post-hoc Masked VOAC,14,0,0,0.0
Post-hoc Masked VOAC,15,95,0,0.0
Post-hoc Masked VOAC,16,0,0,0.0
Post-hoc Masked VOAC,17,2,0,0.0
Post-hoc Masked VOAC,18,0,0,0.0
Post-hoc Masked VOAC,19,1,0,0.0
Post-hoc Masked VOAC,20,134,0,0.0
Post-hoc Masked VOAC,21,0,0,0.0
Post-hoc Masked VOAC,22,1,0,0.0
Post-hoc Masked VOAC,23,2,0,0.0
Post-hoc Masked VOAC,24,12,0,0.0
