model,step,visited_count,inadmissible_count,inadmissible_rate
LAADAN-AC,0,5000,0,0.0
LAADAN-AC,1,4128,0,0.0
LAADAN-AC,2,3671,0,0.0
LAADAN-AC,3,3242,0,0.0
LAADAN-AC,4,2886,0,0.0
LAADAN-AC,5,2582,0,0.0
LAADAN-AC,6,2339,0,0.0
LAADAN-AC,7,2103,0,0.0
LAADAN-AC,8,1868,0,0.0
LAADAN-AC,9,1673,0,0.0
LAADAN-AC,10,1503,0,0.0
LAADAN-AC,11,1333,0,0.0
LAADAN-AC,12,1193,0,0.0
LAADAN-AC,13,1073,0,0.0
LAADAN-AC,14,955,0,0.0
LAADAN-AC,15,864,0,0.0
LAADAN-AC,16,773,0,0.0
LAADAN-AC,17,683,0,0.0
LAADAN-AC,18,609,0,0.0
LAADAN-AC,19,542,0,0.0
LAADAN-AC,20,491,0,0.0
LAADAN-AC,21,438,0,0.0
LAADAN-AC,22,386,0,0.0
LAADAN-AC,23,341,0,0.0
LAADAN-AC,24,303,0,0.0
LAADAN-AC,25,268,0,0.0
LAADAN-AC,26,239,0,0.0
LAADAN-AC,27,218,0,0.0
LAADAN-AC,28,188,0,0.0
LAADAN-AC,29,176,0,0.0
LAADAN-AC,30,158,0,0.0
LAADAN-AC,31,140,0,0.0
LAADAN-AC,32,133,0,0.0
LAADAN-AC,33,120,0,0.0
LAADAN-AC,34,107,0,0.0
LAADAN-AC,35,96,0,0.0
LAADAN-AC,36,91,0,0.0
LAADAN-AC,37,81,0,0.0
LAADAN-AC,38,67,0,0.0
LAADAN-AC,39,58,0,0.0
LAADAN-AC,40,52,0,0.0
LAADAN-AC,41,48,0,0.0
LAADAN-AC,42,42,0,0.0
LAADAN-AC,43,31,0,0.0
LAADAN-AC,44,26,0,0.0
LAADAN-AC,45,22,0,0.0
LAADAN-AC,46,19,0,0.0
LAADAN-AC,47,17,0,0.0
LAADAN-AC,48,16,0,0.0
LAADAN-AC,49,14,0,0.0
Vanilla Offline Actor-Critic,0,5000,3336,0.6672
Vanilla Offline Actor-Critic,1,4125,1948,0.47224242424242424
Vanilla Offline Actor-Critic,2,3656,1461,0.39961706783369805
Vanilla Offline Actor-Critic,3,3227,1148,0.3557483731019523
Vanilla Offline Actor-Critic,4,2888,1041,0.36045706371191133
Vanilla Offline Actor-Critic,5,2558,898,0.35105551211884284
Vanilla Offline Actor-Critic,6,2312,826,0.35726643598615915
Vanilla Offline Actor-Critic,7,2080,765,0.36778846153846156
Vanilla Offline Actor-Critic,8,1831,663,0.3620972146368105
Vanilla Offline Actor-Critic,9,1621,607,0.3744602097470697
Vanilla Offline Actor-Critic,10,1414,529,0.3741159830268741
Vanilla Offline Actor-Critic,11,1244,453,0.3641479099678457
Vanilla Offline Actor-Critic,12,1112,390,0.35071942446043164
Vanilla Offline Actor-Critic,13,985,341,0.3461928934010152
Vanilla Offline Actor-Critic,14,876,313,0.3573059360730594
Vanilla Offline Actor-Critic,15,778,260,0.3341902313624679
Vanilla Offline Actor-Critic,16,699,255,0.3648068669527897
Vanilla Offline Actor-Critic,17,608,228,0.375
Vanilla Offline Actor-Critic,18,543,194,0.3572744014732965
Vanilla Offline Actor-Critic,19,461,158,0.34273318872017355
Vanilla Offline Actor-Critic,20,397,140,0.3526448362720403
Vanilla Offline Actor-Critic,21,353,130,0.36827195467422097
Vanilla Offline Actor-Critic,22,316,108,0.34177215189873417
Vanilla Offline Actor-Critic,23,275,99,0.36
Vanilla Offline Actor-Critic,24,252,86,0.3412698412698413
Vanilla Offline Actor-Critic,25,224,80,0.35714285714285715
Vanilla Offline Actor-Critic,26,202,73,0.3613861386138614
Vanilla Offline Actor-Critic,27,172,64,0.37209302325581395
Vanilla Offline Actor-Critic,28,152,58,0.3815789473684211
Vanilla Offline Actor-Critic,29,135,54,0.4
Vanilla Offline Actor-Critic,30,122,47,0.38524590163934425
Vanilla Offline Actor-Critic,31,102,29,0.28431372549019607
Vanilla Offline Actor-Critic,32,96,30,0.3125
Vanilla Offline Actor-Critic,33,86,30,0.3488372093023256
Vanilla Offline Actor-Critic,34,75,20,0.26666666666666666
Vanilla Offline Actor-Critic,35,66,20,0.30303030303030304
Vanilla Offline Actor-Critic,36,56,15,0.26785714285714285
Vanilla Offline Actor-Critic,37,53,17,0.32075471698113206
Vanilla Offline Actor-Critic,38,46,14,0.30434782608695654
Vanilla Offline Actor-Critic,39,44,13,0.29545454545454547
Vanilla Offline Actor-Critic,40,39,14,0.358974358974359
Vanilla Offline Actor-Critic,41,34,13,0.38235294117647056
Vanilla Offline Actor-Critic,42,31,13,0.41935483870967744
Vanilla Offline Actor-Critic,43,25,6,0.24
Vanilla Offline Actor-Critic,44,20,6,0.3
Vanilla Offline Actor-Critic,45,18,7,0.3888888888888889
Vanilla Offline Actor-Critic,46,15,4,0.26666666666666666
Vanilla Offline Actor-Critic,47,15,4,0.26666666666666666
Vanilla Offline Actor-Critic,48,13,6,0.46153846153846156
Vanilla Offline Actor-Critic,49,10,4,0.4
