epoch,critic_loss,actor_loss,q1_loss,q2_loss,cost_loss,cql_q1,cql_q2,expected_immediate_cost,expected_cost_to_go,cost_budget,lagrange,expert_kl,smoothness,avg_return,survival_rate,mortality_rate,avg_length,inadmissibility_rate,expert_argmax_match,mean_kl_to_expert,policy_entropy,mean_action_deviation_from_expert,soft_survival_rate,soft_inadmissibility_rate,soft_avg_return,soft_policy_entropy,soft_mean_kl_to_expert,trajectory_mean_action_jump,trajectory_normalised_action_jump
1,0.03872715309262276,0.060085512697696686,0.023188788443803787,0.015538363717496395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
2,0.02458304911851883,0.03784375637769699,0.013872825540602207,0.010710222646594048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
3,0.01713903248310089,0.0195238646119833,0.008674495853483677,0.008464537560939789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
4,0.015062103047966957,0.0034609453286975622,0.007435120176523924,0.0076269833371043205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
5,0.014476409181952477,-0.00638483464717865,0.007392057217657566,0.007084351498633623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
6,0.014449037611484528,-0.01537913829088211,0.007687247358262539,0.006761790253221989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
7,0.013609623536467552,-0.019295047968626022,0.0074005587957799435,0.006209064275026321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
8,0.012361947447061539,-0.022821111604571342,0.006816714536398649,0.005545233376324177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
9,0.011257994920015335,-0.02354673482477665,0.0060023353435099125,0.005255659110844135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
10,0.009965337812900543,-0.02110028825700283,0.005209564696997404,0.004755772650241852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
11,0.009117892012000084,-0.020002780482172966,0.0047532119788229465,0.004364680498838425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
12,0.008425863459706306,-0.018132276833057404,0.004277810920029879,0.0041480520740151405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
13,0.007573793642222881,-0.016399862244725227,0.0037267766892910004,0.0038470167201012373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
14,0.007407983299344778,-0.01222347654402256,0.0037056622095406055,0.0037023210898041725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
15,0.007165317889302969,-0.012422116473317146,0.0036366446875035763,0.0035286732017993927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
16,0.0071502747014164925,-0.010881100781261921,0.003623917931690812,0.003526357002556324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
17,0.006739964708685875,-0.0119390320032835,0.0034905015490949154,0.003249463392421603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
18,0.006870663724839687,-0.013265827670693398,0.003526427550241351,0.00334423640742898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
19,0.006499616429209709,-0.017059635370969772,0.00336577114649117,0.0031338452827185392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
20,0.006233057007193565,-0.01978481002151966,0.003259209915995598,0.002973846858367324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
21,0.005863667465746403,-0.024402707815170288,0.003021672833710909,0.00284199439920485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
