method,seed,avg_return,survival_rate,mortality_rate,avg_length,inadmissibility_rate,expert_argmax_match,mean_kl_to_expert,policy_entropy,mean_action_deviation_from_expert,soft_survival_rate,soft_inadmissibility_rate,soft_avg_return,soft_policy_entropy,soft_mean_kl_to_expert,trajectory_mean_action_jump,trajectory_normalised_action_jump
Masking-only actor-critic,42,0.7970450520515442,0.7970450520515442,0.2029549479484558,6.961900234222412,0.0,0.7488468289375305,4.614740371704102,-0.0,2.5102553367614746,0.7967300415039062,0.0,0.7967300415039062,0.022412557154893875,2.324147939682007,1.6778067885117494,0.06990861618798956
Masking-only actor-critic,43,0.7951722741127014,0.7951722741127014,0.20482772588729858,6.9563751220703125,0.0,0.7512493133544922,4.591792583465576,-0.0,2.518066644668579,0.794980525970459,0.0,0.794980525970459,0.013077881187200546,2.4268221855163574,1.564058616848059,0.06516910903533579
Masking-only actor-critic,44,0.7966377139091492,0.7966377139091492,0.20336228609085083,6.974696636199951,0.0,0.7508648633956909,4.602256774902344,-0.0,2.493758201599121,0.7965346574783325,0.0,0.7965346574783325,0.014188462868332863,2.4460394382476807,1.6828449072130323,0.07011853780054302
Masking-only actor-critic,45,0.797528862953186,0.797528862953186,0.20247113704681396,6.997795104980469,0.0,0.7487987279891968,4.618361473083496,-0.0,2.494617462158203,0.7974900603294373,0.0,0.7974900603294373,0.01757591962814331,2.432063102722168,1.5941910744880476,0.06642462810366866
Masking-only actor-critic,46,0.8007687330245972,0.8007687330245972,0.19923126697540283,7.0217061042785645,0.0,0.7440899610519409,4.62706184387207,-0.0,2.4731686115264893,0.8002127408981323,0.0,0.8002127408981323,0.01611657254397869,2.454833984375,1.8911598957019093,0.07879832898757956
LAADAN without conservative critic,42,0.8074615001678467,0.8074615001678467,0.19253849983215332,7.004729747772217,0.0,0.746972918510437,4.621555328369141,-0.0,2.3806629180908203,0.8053817749023438,0.0,0.8053817749023438,0.3015563488006592,0.26557421684265137,2.1161317928968764,0.08817215803736984
LAADAN without conservative critic,43,0.8060688376426697,0.8060688376426697,0.19393116235733032,6.998035430908203,0.0,0.7475495338439941,4.613846778869629,-0.0,2.3852310180664062,0.8049201965332031,0.0,0.8049201965332031,0.29112327098846436,0.27866312861442566,2.0211723679840583,0.08421551533266909
LAADAN without conservative critic,44,0.8066883087158203,0.8066883087158203,0.1933116912841797,7.009891033172607,0.0,0.744041919708252,4.620388507843018,-0.0,2.371687889099121,0.8052656054496765,0.0,0.8052656054496765,0.2997792065143585,0.26890861988067627,2.063802188893393,0.08599175787055803
LAADAN without conservative critic,45,0.8073853850364685,0.8073853850364685,0.1926146149635315,7.009888648986816,0.0,0.7488948702812195,4.613546371459961,-0.0,2.3477907180786133,0.8053105473518372,0.0,0.8053105473518372,0.29459476470947266,0.2764950692653656,2.1182168951646005,0.08825903729852502
LAADAN without conservative critic,46,0.8058308959007263,0.8058308959007263,0.19416910409927368,6.99806022644043,0.0,0.7488948702812195,4.628835201263428,-0.0,2.4035356044769287,0.8047299981117249,0.0,0.8047299981117249,0.2976713180541992,0.27102455496788025,2.1034363965205407,0.08764318318835586
