method,seed,avg_return,survival_rate,mortality_rate,avg_length,inadmissibility_rate,expert_argmax_match,mean_kl_to_expert,policy_entropy,mean_action_deviation_from_expert,soft_survival_rate,soft_inadmissibility_rate,soft_avg_return,soft_policy_entropy,soft_mean_kl_to_expert,trajectory_mean_action_jump,trajectory_normalised_action_jump,uses_action_mask,uses_lagrangian,cost_budget
Full LAADAN-AC,42,0.7929698824882507,0.7929698824882507,0.20703011751174927,8.672937393188477,0.0,0.9514222741127014,3.9558145999908447,-0.0,1.420835256576538,0.7910413146018982,0.0,0.7910413146018982,0.13928551971912384,0.4788035452365875,,,,,
Full LAADAN-AC,43,0.7940747141838074,0.7940747141838074,0.20592528581619263,8.701140403747559,0.0,0.9547857046127319,3.951958656311035,-0.0,1.4233516454696655,0.7914621233940125,0.0,0.7914621233940125,0.13989639282226562,0.47442322969436646,,,,,
Full LAADAN-AC,44,0.7928001284599304,0.7928001284599304,0.20719987154006958,8.656521797180176,0.0,0.9567075967788696,3.950505256652832,-0.0,1.4358328580856323,0.7912879586219788,0.0,0.7912879586219788,0.14064891636371613,0.4758337736129761,,,,,
Full LAADAN-AC,45,0.7916035652160645,0.7916035652160645,0.20839643478393555,8.639445304870605,0.0,0.9560830593109131,3.948744773864746,-0.0,1.4136204719543457,0.7914842367172241,0.0,0.7914842367172241,0.13871654868125916,0.4802250266075134,,,,,
Full LAADAN-AC,46,0.7920867800712585,0.7920867800712585,0.20791321992874146,8.644221305847168,0.0,0.9512301087379456,3.950664520263672,-0.0,1.4308865070343018,0.7910050749778748,0.0,0.7910050749778748,0.13679298758506775,0.48557478189468384,,,,,
Masking-only actor-critic,42,0.7970450520515442,0.7970450520515442,0.2029549479484558,6.961900234222412,0.0,0.7488468289375305,4.614740371704102,-0.0,2.5102553367614746,0.7967300415039062,0.0,0.7967300415039062,0.022412557154893875,2.324147939682007,1.6778067885117494,0.06990861618798956,1.0,0.0,0.0
Masking-only actor-critic,43,0.7951722741127014,0.7951722741127014,0.20482772588729858,6.9563751220703125,0.0,0.7512493133544922,4.591792583465576,-0.0,2.518066644668579,0.794980525970459,0.0,0.794980525970459,0.013077881187200546,2.4268221855163574,1.564058616848059,0.06516910903533579,1.0,0.0,0.0
Masking-only actor-critic,44,0.7966377139091492,0.7966377139091492,0.20336228609085083,6.974696636199951,0.0,0.7508648633956909,4.602256774902344,-0.0,2.493758201599121,0.7965346574783325,0.0,0.7965346574783325,0.014188462868332863,2.4460394382476807,1.6828449072130323,0.07011853780054302,1.0,0.0,0.0
Masking-only actor-critic,45,0.797528862953186,0.797528862953186,0.20247113704681396,6.997795104980469,0.0,0.7487987279891968,4.618361473083496,-0.0,2.494617462158203,0.7974900603294373,0.0,0.7974900603294373,0.01757591962814331,2.432063102722168,1.5941910744880476,0.06642462810366866,1.0,0.0,0.0
Masking-only actor-critic,46,0.8007687330245972,0.8007687330245972,0.19923126697540283,7.0217061042785645,0.0,0.7440899610519409,4.62706184387207,-0.0,2.4731686115264893,0.8002127408981323,0.0,0.8002127408981323,0.01611657254397869,2.454833984375,1.8911598957019093,0.07879832898757956,1.0,0.0,0.0
LAADAN without conservative critic,42,0.8074615001678467,0.8074615001678467,0.19253849983215332,7.004729747772217,0.0,0.746972918510437,4.621555328369141,-0.0,2.3806629180908203,0.8053817749023438,0.0,0.8053817749023438,0.3015563488006592,0.26557421684265137,2.1161317928968764,0.08817215803736984,1.0,1.0,0.0
LAADAN without conservative critic,43,0.8060688376426697,0.8060688376426697,0.19393116235733032,6.998035430908203,0.0,0.7475495338439941,4.613846778869629,-0.0,2.3852310180664062,0.8049201965332031,0.0,0.8049201965332031,0.29112327098846436,0.27866312861442566,2.0211723679840583,0.08421551533266909,1.0,1.0,0.0
LAADAN without conservative critic,44,0.8066883087158203,0.8066883087158203,0.1933116912841797,7.009891033172607,0.0,0.744041919708252,4.620388507843018,-0.0,2.371687889099121,0.8052656054496765,0.0,0.8052656054496765,0.2997792065143585,0.26890861988067627,2.063802188893393,0.08599175787055803,1.0,1.0,0.0
LAADAN without conservative critic,45,0.8073853850364685,0.8073853850364685,0.1926146149635315,7.009888648986816,0.0,0.7488948702812195,4.613546371459961,-0.0,2.3477907180786133,0.8053105473518372,0.0,0.8053105473518372,0.29459476470947266,0.2764950692653656,2.1182168951646005,0.08825903729852502,1.0,1.0,0.0
LAADAN without conservative critic,46,0.8058308959007263,0.8058308959007263,0.19416910409927368,6.99806022644043,0.0,0.7488948702812195,4.628835201263428,-0.0,2.4035356044769287,0.8047299981117249,0.0,0.8047299981117249,0.2976713180541992,0.27102455496788025,2.1034363965205407,0.08764318318835586,1.0,1.0,0.0
LAADAN without expert KL,42,0.7884547710418701,0.7884547710418701,0.21154522895812988,8.446523666381836,0.0,0.9195175766944885,4.008992671966553,-0.0,1.516733169555664,0.7887827157974243,0.0,0.7887827157974243,0.036102235317230225,1.9543691873550415,2.972138139790864,0.12383908915795266,1.0,1.0,0.0
LAADAN without expert KL,43,0.7911989092826843,0.7911989092826843,0.20880109071731567,8.148955345153809,0.0,0.878339409828186,4.103976726531982,-0.0,1.7739431858062744,0.7911240458488464,0.0,0.7911240458488464,0.01200098730623722,2.303317070007324,3.013247803653605,0.1255519918189002,1.0,1.0,0.0
LAADAN without expert KL,44,0.7894945740699768,0.7894945740699768,0.2105054259300232,8.390668869018555,0.0,0.921439528465271,4.006643295288086,-0.0,1.5484421253204346,0.7894303798675537,0.0,0.7894303798675537,0.015184532850980759,2.394275665283203,3.0178594878529217,0.12574414532720507,1.0,1.0,0.0
LAADAN without expert KL,45,0.7897878885269165,0.7897878885269165,0.2102121114730835,8.466721534729004,0.0,0.9247549176216125,4.007596969604492,-0.0,1.521232008934021,0.7897495627403259,0.0,0.7897495031356812,0.013608664274215698,2.4394309520721436,2.9426184606956998,0.12260910252898749,1.0,1.0,0.0
LAADAN without expert KL,46,0.7908986210823059,0.7908986210823059,0.2091013789176941,8.10366153717041,0.0,0.8764174580574036,4.106995582580566,-0.0,1.7886748313903809,0.790611207485199,0.0,0.790611207485199,0.01247994415462017,2.5908772945404053,2.9421931735657227,0.12259138223190512,1.0,1.0,0.0
