model,state_id,action,admissible,q_value
Behavior Cloning,681,0,1,16.160959243774414
Behavior Cloning,681,1,0,3.4379398822784424
Behavior Cloning,681,2,0,0.7138639092445374
Behavior Cloning,681,3,0,-0.12558487057685852
Behavior Cloning,681,4,0,2.2022407054901123
Behavior Cloning,681,5,0,5.165574073791504
Behavior Cloning,681,6,0,-0.9052371382713318
Behavior Cloning,681,7,0,-3.514686346054077
Behavior Cloning,681,8,0,-4.032282829284668
Behavior Cloning,681,9,0,-3.3063175678253174
Behavior Cloning,681,10,0,1.1945632696151733
Behavior Cloning,681,11,0,-6.904469013214111
Behavior Cloning,681,12,0,-4.2139434814453125
Behavior Cloning,681,13,0,-7.7371087074279785
Behavior Cloning,681,14,0,-11.387772560119629
Behavior Cloning,681,15,0,-0.10459324717521667
Behavior Cloning,681,16,0,-6.151759624481201
Behavior Cloning,681,17,0,-9.053367614746094
Behavior Cloning,681,18,0,-14.318744659423828
Behavior Cloning,681,19,0,-6.3131232261657715
Behavior Cloning,681,20,0,-2.4640135765075684
Behavior Cloning,681,21,0,-14.015616416931152
Behavior Cloning,681,22,0,-15.264237403869629
Behavior Cloning,681,23,0,-15.508376121520996
Behavior Cloning,681,24,0,-6.242947101593018
Behavior Cloning,682,0,1,11.635123252868652
Behavior Cloning,682,1,0,3.3765039443969727
Behavior Cloning,682,2,0,2.374392032623291
Behavior Cloning,682,3,0,-0.8254918456077576
Behavior Cloning,682,4,0,0.23582187294960022
Behavior Cloning,682,5,0,4.32424259185791
Behavior Cloning,682,6,0,-0.48051950335502625
Behavior Cloning,682,7,0,-3.8513638973236084
Behavior Cloning,682,8,0,-3.3355748653411865
Behavior Cloning,682,9,0,-4.017208576202393
Behavior Cloning,682,10,0,0.7752434015274048
Behavior Cloning,682,11,0,-1.4939967393875122
Behavior Cloning,682,12,0,0.7743942141532898
Behavior Cloning,682,13,0,-7.946535587310791
Behavior Cloning,682,14,0,-11.167413711547852
Behavior Cloning,682,15,0,-1.6504476070404053
Behavior Cloning,682,16,0,-0.42733457684516907
Behavior Cloning,682,17,0,-9.649995803833008
Behavior Cloning,682,18,0,-14.750137329101562
Behavior Cloning,682,19,0,-1.8068844079971313
Behavior Cloning,682,20,0,-2.057527780532837
Behavior Cloning,682,21,0,-17.717105865478516
Behavior Cloning,682,22,0,-12.242435455322266
Behavior Cloning,682,23,0,-15.011042594909668
Behavior Cloning,682,24,0,-7.253793716430664
Behavior Cloning,684,0,1,15.668750762939453
Behavior Cloning,684,1,0,4.765835285186768
Behavior Cloning,684,2,0,2.638010025024414
Behavior Cloning,684,3,0,-3.2195754051208496
Behavior Cloning,684,4,0,1.2339205741882324
Behavior Cloning,684,5,0,6.148034572601318
Behavior Cloning,684,6,0,1.7294328212738037
Behavior Cloning,684,7,0,-5.264890193939209
Behavior Cloning,684,8,0,-6.634491920471191
Behavior Cloning,684,9,0,-6.520798206329346
Behavior Cloning,684,10,0,3.9993820190429688
