epoch,critic_loss,actor_loss,q1_loss,q2_loss,cost_loss,cql_q1,cql_q2,expected_immediate_cost,expected_cost_to_go,cost_budget,lagrange,expert_kl,smoothness,avg_return,survival_rate,mortality_rate,avg_length,inadmissibility_rate,expert_argmax_match,mean_kl_to_expert,policy_entropy,mean_action_deviation_from_expert,soft_survival_rate,soft_inadmissibility_rate,soft_avg_return,soft_policy_entropy,soft_mean_kl_to_expert
1,4.159098148345947,0.10143812745809555,0.032862339168787,0.02921576425433159,0.867462158203125,3.237417221069336,3.221698760986328,0.8817191123962402,0.06280835717916489,0.05,0.00016634382247924804,2.452817678451538,0.3554686903953552,,,,,,,,,,,,,,
2,4.088057994842529,0.1096455454826355,0.033126816153526306,0.029375409707427025,0.8409698605537415,3.192129135131836,3.1770427227020264,0.8809868693351746,0.08199305832386017,0.05,0.000332541196346283,2.440500497817993,0.35552334785461426,,,,,,,,,,,,,,
3,4.015443325042725,0.11850175261497498,0.03543338552117348,0.03183865547180176,0.8097506761550903,3.1458773612976074,3.1309635639190674,0.8798103332519531,0.10497884452342987,0.05,0.0004985032629966737,2.422231674194336,0.35554182529449463,,,,,,,,,,,,,,
4,3.9445407390594482,0.1292198747396469,0.039126042276620865,0.03625459223985672,0.7738770246505737,3.104419469833374,3.086146831512451,0.8784259557723999,0.13146407902240753,0.05,0.0006641884541511537,2.4035391807556152,0.35552269220352173,,,,,,,,,,,,,,
5,3.870771646499634,0.13966886699199677,0.04439498856663704,0.04264744743704796,0.7347995638847351,3.0582475662231445,3.03961181640625,0.8767278790473938,0.16197101771831512,0.05,0.0008295340299606324,2.3835816383361816,0.3557054102420807,,,,,,,,,,,,,,
6,3.794283390045166,0.14955389499664307,0.05153326690196991,0.05178063362836838,0.6918941140174866,3.011730194091797,2.9864203929901123,0.8747841119766235,0.19642645120620728,0.05,0.000994490852355957,2.361783027648926,0.35565945506095886,,,,,,,,,,,,,,
7,3.722609043121338,0.15780813992023468,0.05971436947584152,0.06288287788629532,0.647850513458252,2.968174934387207,2.936147689819336,0.8729407787322998,0.23507557809352875,0.05,0.001159079008102417,2.340134620666504,0.35576504468917847,,,,,,,,,,,,,,
8,3.6460657119750977,0.16517579555511475,0.0700506865978241,0.07701229304075241,0.5986358523368835,2.9208648204803467,2.879868507385254,0.8705328106880188,0.27950021624565125,0.05,0.001323185570240021,2.3162708282470703,0.35583892464637756,,,,,,,,,,,,,,
9,3.570202112197876,0.17122094333171844,0.08169500529766083,0.09367348998785019,0.5481014251708984,2.8701205253601074,2.8233439922332764,0.8682665228843689,0.3291133642196655,0.05,0.0014868388748168948,2.291511058807373,0.35582661628723145,,,,,,,,,,,,,,
10,3.493929386138916,0.17092826962471008,0.09427618235349655,0.1129550188779831,0.49530094861984253,2.818655252456665,2.764138698577881,0.8653905391693115,0.38136371970176697,0.05,0.0016499169826507572,2.2629637718200684,0.3557923138141632,0.7794474959373474,0.7794474959373474,0.2205525040626526,9.51073932647705,0.74577836386475,0.23303864896297455,13.512567520141602,-0.0,7.554605007171631,0.775686502456665,0.8522106150556856,0.7756864428520203,3.203821897506714,2.5167839527130127
11,3.4221887588500977,0.1681855469942093,0.10704708844423294,0.13276179134845734,0.4436662197113037,2.7678611278533936,2.709566116333008,0.8627833724021912,0.4391234815120697,0.05,0.0018124736571311954,2.2393767833709717,0.35590746998786926,,,,,,,,,,,,,,
12,3.3550209999084473,0.15980511903762817,0.12069898098707199,0.15366142988204956,0.39353471994400024,2.7178637981414795,2.6563880443573,0.859554648399353,0.5022507905960083,0.05,0.001974384586811066,2.2106611728668213,0.3561176061630249,,,,,,,,,,,,,,
13,3.290081739425659,0.14619725942611694,0.13283796608448029,0.1743207573890686,0.3455008864402771,2.670177459716797,2.6046669483184814,0.8560798168182373,0.5689407587051392,0.05,0.0021356005501747136,2.178976535797119,0.3560727834701538,,,,,,,,,,,,,,
14,3.2307636737823486,0.12568821012973785,0.14626383781433105,0.19308315217494965,0.30172574520111084,2.6224114894866943,2.5569703578948975,0.8522005081176758,0.6321766376495361,0.05,0.0022960406517982487,2.148235321044922,0.35623636841773987,,,,,,,,,,,,,,
15,3.175079345703125,0.10041756182909012,0.15618132054805756,0.2090173363685608,0.26397618651390076,2.5769126415252686,2.5148966312408447,0.8482886552810669,0.6934553980827332,0.05,0.002455698382854462,2.116394519805908,0.3563927412033081,,,,,,,,,,,,,,
16,3.128060817718506,0.06941985338926315,0.16487784683704376,0.22116301953792572,0.23285740613937378,2.539212465286255,2.4791128635406494,0.8437555432319641,0.7574847936630249,0.05,0.0026144494915008552,2.0814318656921387,0.3563896417617798,,,,,,,,,,,,,,
17,3.082162857055664,0.0337253101170063,0.17133000493049622,0.2275586575269699,0.20663361251354218,2.5031063556671143,2.4501750469207764,0.8388195037841797,0.8119324445724487,0.05,0.002772213392257691,2.045854330062866,0.35658368468284607,,,,,,,,,,,,,,
18,3.046220302581787,-0.0030634012073278427,0.1743987649679184,0.22903257608413696,0.18753188848495483,2.4796245098114014,2.430889368057251,0.8331697583198547,0.8566036820411682,0.05,0.002928847343921662,2.0063295364379883,0.3566620349884033,,,,,,,,,,,,,,
19,3.016231060028076,-0.04092970862984657,0.17886845767498016,0.22961418330669403,0.17374178767204285,2.4560678005218506,2.4119455814361572,0.8272307515144348,0.8936783671379089,0.05,0.003084293494224549,1.9670065641403198,0.3565671741962433,,,,,,,,,,,,,,
20,2.9864249229431152,-0.07823684811592102,0.17931978404521942,0.2227267026901245,0.16270093619823456,2.4377353191375732,2.4056193828582764,0.8206561207771301,0.9157724976539612,0.05,0.003238424718379975,1.9258265495300293,0.3564375638961792,0.7835614085197449,0.7835614085197449,0.21643859148025513,9.425326347351074,0.6058040481137076,0.5449259877204895,7.743562698364258,-0.0,5.092395782470703,0.7763270139694214,0.8051160733058124,0.7763270139694214,3.123039484024048,2.0240776538848877
21,2.9586124420166016,-0.11264245212078094,0.17950032651424408,0.21514791250228882,0.15246272087097168,2.422996759414673,2.4000062942504883,0.813689112663269,0.9271136522293091,0.05,0.003391162540912629,1.8841054439544678,0.3562087118625641,,,,,,,,,,,,,,
22,2.9326677322387695,-0.14355656504631042,0.17825834453105927,0.2050156593322754,0.14222301542758942,2.4117751121520996,2.402566432952881,0.8062899112701416,0.9259872436523438,0.05,0.0035424205231666572,1.8443970680236816,0.35616493225097656,,,,,,,,,,,,,,
23,2.9159746170043945,-0.17236356437206268,0.17792510986328125,0.1955329328775406,0.13775058090686798,2.4025611877441406,2.4069712162017822,0.7978593111038208,0.9230585098266602,0.05,0.0036919923853874215,1.7986057996749878,0.3556453287601471,,,,,,,,,,,,,,
24,2.8885278701782227,-0.19763879477977753,0.17571322619915009,0.18438845872879028,0.12480480223894119,2.394019365310669,2.4132235050201416,0.7883321046829224,0.9076690673828125,0.05,0.003839658806324006,1.751037836074829,0.35493573546409607,,,,,,,,,,,,,,
25,2.873014450073242,-0.21778129041194916,0.17451095581054688,0.17462770640850067,0.11991176009178162,2.3867745399475098,2.4211533069610596,0.7787545919418335,0.8860999941825867,0.05,0.003985409724712372,1.706464171409607,0.3541660010814667,,,,,,,,,,,,,,
26,2.856978416442871,-0.2388463318347931,0.1721375584602356,0.16620613634586334,0.11372175067663193,2.381258487701416,2.4285671710968018,0.7682123780250549,0.8646628856658936,0.05,0.004129052200317384,1.6592738628387451,0.35303330421447754,,,,,,,,,,,,,,
27,2.8384711742401123,-0.2589990496635437,0.17121517658233643,0.1589445024728775,0.1074172705411911,2.3692495822906494,2.4325385093688965,0.7574011087417603,0.8388721942901611,0.05,0.004270532422065735,1.6163161993026733,0.352512001991272,,,,,,,,,,,,,,
28,2.8199946880340576,-0.2787554860115051,0.16892097890377045,0.15160928666591644,0.10055621713399887,2.36261248588562,2.4352035522460938,0.7451595067977905,0.8117905855178833,0.05,0.004409564323425293,1.5683964490890503,0.3509652316570282,,,,,,,,,,,,,,
29,2.8027281761169434,-0.3027955889701843,0.17112277448177338,0.14790458977222443,0.09894531220197678,2.3420422077178955,2.42746901512146,0.7321534156799316,0.7854591608047485,0.05,0.004545995006561279,1.523114562034607,0.3492507338523865,,,,,,,,,,,,,,
30,2.7889130115509033,-0.32620859146118164,0.1706792265176773,0.14427751302719116,0.09586867690086365,2.3323652744293213,2.42380952835083,0.7204201817512512,0.7674852013587952,0.05,0.0046800790429115295,1.4856232404708862,0.3479519784450531,0.778175950050354,0.778175950050354,0.221824049949646,9.232367515563965,0.7106826691364251,0.6225734949111938,6.478233337402344,-0.0,4.698973655700684,0.7778283953666687,0.7041709025290337,0.7778283357620239,2.680694580078125,1.3136584758758545
31,2.775939702987671,-0.35900330543518066,0.17196638882160187,0.14247354865074158,0.09291362017393112,2.3205599784851074,2.416611909866333,0.7066233158111572,0.7489281296730042,0.05,0.004811403706073761,1.443345308303833,0.34589555859565735,,,,,,,,,,,,,,
32,2.7593417167663574,-0.39033547043800354,0.17400532960891724,0.14289632439613342,0.09227646887302399,2.3018689155578613,2.398458242416382,0.6933903098106384,0.7309616208076477,0.05,0.004940081768035888,1.406416654586792,0.34446999430656433,,,,,,,,,,,,,,
33,2.7455546855926514,-0.4327017664909363,0.17755036056041718,0.1454036980867386,0.09104541689157486,2.2832984924316406,2.3798117637634277,0.6776979565620422,0.7154139876365662,0.05,0.005065621359348297,1.3706644773483276,0.34153392910957336,,,,,,,,,,,,,,
34,2.7329530715942383,-0.4699518084526062,0.17985302209854126,0.14784212410449982,0.09058333188295364,2.2681808471679688,2.361168384552002,0.6654912829399109,0.7047395706176758,0.05,0.005188719615936279,1.341852068901062,0.33961427211761475,,,,,,,,,,,,,,
35,2.7175285816192627,-0.5209910273551941,0.18501706421375275,0.15347278118133545,0.0889752134680748,2.245645523071289,2.334481716156006,0.6513482928276062,0.6976234912872314,0.05,0.0053089892745018,1.3154832124710083,0.3370245695114136,,,,,,,,,,,,,,
36,2.7030746936798096,-0.567631721496582,0.19018889963626862,0.15989117324352264,0.08821514248847961,2.222913980484009,2.306645154953003,0.6390971541404724,0.6890918612480164,0.05,0.005426808705329894,1.2985998392105103,0.3347759246826172,,,,,,,,,,,,,,
37,2.690586805343628,-0.6082070469856262,0.19219659268856049,0.16556960344314575,0.08651752024888992,2.2080538272857666,2.2845523357391357,0.6295672059059143,0.6847036480903625,0.05,0.0055427221465110775,1.2941721677780151,0.3333440124988556,,,,,,,,,,,,,,
38,2.6765573024749756,-0.6701251864433289,0.19723807275295258,0.17412585020065308,0.08280005306005478,2.1894118785858154,2.2553746700286865,0.6158657670021057,0.6825997829437256,0.05,0.005655895299911499,1.2822099924087524,0.32966360449790955,,,,,,,,,,,,,,
39,2.665940046310425,-0.7171316742897034,0.1995544284582138,0.18100543320178986,0.08075978606939316,2.1754229068756104,2.2338178157806396,0.6075531244277954,0.6862652897834778,0.05,0.005767405924797057,1.2883907556533813,0.3282037675380707,,,,,,,,,,,,,,
40,2.6525909900665283,-0.7690868973731995,0.20446567237377167,0.1896754503250122,0.07814249396324158,2.156968116760254,2.2036468982696533,0.5992035865783691,0.6870068311691284,0.05,0.005877246642112731,1.299699068069458,0.3267916440963745,0.7783045172691345,0.7783045172691345,0.22169548273086548,9.212190628051758,0.7270968650934886,0.6233422756195068,6.469225883483887,-0.0,4.775040626525879,0.7791603803634644,0.6141517735541043,0.7791603803634644,1.475080966949463,0.8057487607002258
41,2.6416854858398438,-0.8138160109519958,0.20815740525722504,0.19781337678432465,0.07723698765039444,2.139596700668335,2.177358627319336,0.5922762751579285,0.6898571848869324,0.05,0.005985701897144317,1.3216514587402344,0.32547929883003235,,,,,,,,,,,,,,
42,2.629213333129883,-0.848281741142273,0.2090875804424286,0.2032683938741684,0.07342767715454102,2.128465175628662,2.1583940982818604,0.5873036980628967,0.6931820511817932,0.05,0.006093162636756896,1.3479036092758179,0.324523001909256,,,,,,,,,,,,,,
43,2.613760471343994,-0.8792247176170349,0.2087084800004959,0.20643600821495056,0.06999101489782333,2.118351936340332,2.138897657394409,0.5838578343391418,0.6968722939491272,0.05,0.0061999342036247245,1.3866469860076904,0.3245728611946106,,,,,,,,,,,,,,
44,2.602555751800537,-0.9089213609695435,0.2093888372182846,0.21008950471878052,0.06797510385513306,2.107879638671875,2.1223249435424805,0.5814096927642822,0.702428936958313,0.05,0.006306216142177581,1.425593614578247,0.3237708508968353,,,,,,,,,,,,,,
45,2.5938315391540527,-0.9260545372962952,0.20881974697113037,0.2119024693965912,0.06615138798952103,2.102189064025879,2.111726999282837,0.5805810689926147,0.7087739109992981,0.05,0.006412332355976104,1.4772205352783203,0.32448437809944153,,,,,,,,,,,,,,
46,2.586317539215088,-0.9420866370201111,0.21012970805168152,0.21396611630916595,0.06491399556398392,2.0948069095611572,2.099808692932129,0.5818222761154175,0.7192645072937012,0.05,0.006518696811199188,1.5390639305114746,0.32561755180358887,,,,,,,,,,,,,,
47,2.5707247257232666,-0.9577682018280029,0.20677721500396729,0.21160149574279785,0.06190313771367073,2.0896434783935547,2.0912423133850098,0.5803337693214417,0.7241556644439697,0.05,0.006624763565063476,1.595394492149353,0.3252260684967041,,,,,,,,,,,,,,
