model,n,survival_rate_mean,survival_rate_ci95_half,inadmissibility_rate_mean,inadmissibility_rate_ci95_half,expert_argmax_match_mean,expert_argmax_match_ci95_half,mean_kl_to_expert_mean,mean_kl_to_expert_ci95_half,mean_action_deviation_from_expert_mean,mean_action_deviation_from_expert_ci95_half,trajectory_normalised_action_jump_mean,trajectory_normalised_action_jump_ci95_half
Full LAADAN-AC,5,0.7930979490280151,0.0007124949296426425,0.0,0.0,0.9525466084480285,0.0030705991143530975,3.9529494762420656,0.0018586580557895826,1.431802248954773,0.016926800354877064,0.12869264516621637,0.005126467680483777
Masking-only actor-critic,5,0.7974404931068421,0.0025624995328501926,0.0,0.0,0.7488083839416504,0.0035379337601946156,4.611031436920166,0.01740620923873297,2.4971847534179688,0.021838733133121492,0.06978994945365637,0.004768517770568274
LAADAN without action mask,5,0.7876412034034729,0.002181849581464191,0.01344111223878373,0.0034265464320991385,0.8318950772285462,0.014528805053087856,4.320822620391846,0.04900436992088514,1.912296986579895,0.12316964531433719,0.11151802021773763,0.010999084565268198
No-mask no-Lagrangian,5,0.7875682353973389,0.0022638892555653686,0.012357875592454473,0.003271323682765276,0.8356428980827332,0.013561645254350996,4.307002449035645,0.04355529763052619,1.9227583885192872,0.09719584333107409,0.11532800673278601,0.00373552290436257
No-mask budget 0.005,5,0.7876412034034729,0.002181849581464191,0.01344111223878373,0.0034265464320991385,0.8318950772285462,0.014528805053087856,4.320822620391846,0.04900436992088514,1.912296986579895,0.12316964531433719,0.11151802021773763,0.010999084565268198
No-mask budget 0.01,5,0.7876412034034729,0.002181849581464191,0.01344111223878373,0.0034265464320991385,0.8318950772285462,0.014528805053087856,4.320822620391846,0.04900436992088514,1.912296986579895,0.12316964531433719,0.11151802021773763,0.010999084565268198
No-mask budget 0.02,5,0.7876219749450684,0.002161079493198372,0.013554040277862393,0.0032404377554056526,0.8317989826202392,0.01456573880352134,4.32153902053833,0.04934402796240209,1.9136194944381715,0.1255044240314108,0.11158118568318205,0.011054919640605464
No-mask budget 0.05,5,0.7877225399017334,0.0020116255009527744,0.013553314103869302,0.0032417353863700964,0.8316452145576477,0.014249393348507399,4.321803379058838,0.04879592769576458,1.9140233516693115,0.12536650038453945,0.11156444311688149,0.011038046290746395
LAADAN without Lagrangian cost control,5,0.7930979490280151,0.0007124949296426425,0.0,0.0,0.9525466084480285,0.0030705991143530975,3.9529494762420656,0.0018586580557895826,1.431802248954773,0.016926800354877064,0.12869264516621637,0.005126467680483777
LAADAN without conservative critic,5,0.8069552659988404,0.0008929505309769978,0.0,0.0,0.7475302934646606,0.0026295953736978376,4.620011997222901,0.007700368915368309,2.377229833602905,0.020848767869173945,0.08771379396967119,0.005755948414723028
LAADAN without expert KL,5,0.7907181859016419,0.0009169882050523848,0.0,0.0,0.8802709937095642,0.052720040682427236,4.109229373931885,0.14108390296158735,1.7967273235321044,0.3531808345456542,0.11742043299676523,0.011520354014722694
LAADAN without smoothness proxy,5,0.7930721640586853,0.0006666577574802185,0.0,0.0,0.9535556316375733,0.0043185133554399366,3.9525593280792237,0.0033811203916818008,1.4341233730316163,0.018673677637731007,0.12858170135074018,0.004338470321290303
Post-hoc Masked VOAC,1,0.8075860738754272,0.0,0.0,0.0,0.7206900119781494,0.0,4.8650970458984375,0.0,2.2705349922180176,0.0,0.15150080536328414,0.0
