epoch,critic_loss,actor_loss,q1_loss,q2_loss,cost_loss,cql_q1,cql_q2,expected_immediate_cost,expected_cost_to_go,cost_budget,lagrange,expert_kl,smoothness,avg_return,survival_rate,mortality_rate,avg_length,inadmissibility_rate,expert_argmax_match,mean_kl_to_expert,policy_entropy,mean_action_deviation_from_expert,soft_survival_rate,soft_inadmissibility_rate,soft_avg_return,soft_policy_entropy,soft_mean_kl_to_expert
1,0.03356148302555084,0.0445515476167202,0.018783506006002426,0.014777975156903267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2,0.021920591592788696,0.02410905994474888,0.011462321504950523,0.010458270087838173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
3,0.016821175813674927,0.010149318724870682,0.008214462548494339,0.008606712333858013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
4,0.014617432840168476,0.0030338407959789038,0.007221997249871492,0.007395435590296984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
5,0.01404368132352829,-0.0034041842445731163,0.006971044931560755,0.007072635926306248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
6,0.012834634631872177,-0.0053302692249417305,0.006547324359416962,0.006287309806793928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
7,0.011585252359509468,-0.009503854438662529,0.005984043702483177,0.005601208191365004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
8,0.010466758161783218,-0.010699009522795677,0.005292498506605625,0.005174259655177593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
9,0.009411930106580257,-0.011125280521810055,0.004638316575437784,0.004773613531142473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
10,0.008433372713625431,-0.010374464094638824,0.004133676178753376,0.004299696534872055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7799690961837769,0.7799690961837769,0.22003090381622314,7.403824329376221,0.0,0.7487507462501526,4.744210243225098,-0.0,2.4577505588531494,0.776589035987854,0.0,0.776589035987854,0.5424844026565552,0.04216884821653366
