method,seed,avg_return,survival_rate,mortality_rate,avg_length,inadmissibility_rate,expert_argmax_match,mean_kl_to_expert,policy_entropy,mean_action_deviation_from_expert,soft_survival_rate,soft_inadmissibility_rate,soft_avg_return,soft_policy_entropy,soft_mean_kl_to_expert,max_inadmissible_probability_mass_before_mask,mean_inadmissible_probability_mass_before_mask,state_mask_intervention_rate
Behavior Cloning,42,0.73314368724823,0.73314368724823,0.26685631275177,25.224687576293945,0.0,1.0,0.9083240628242493,-0.0,0.5642727613449097,0.7249653935432434,0.00979690895708676,0.7249653935432434,0.29119637608528137,0.019711965695023537,,,
CQL-regularised fitted-Q,42,0.7341501116752625,0.7341501116752625,0.26584988832473755,25.3493709564209,0.006044259058870516,0.9735816717147827,1.3169677257537842,-0.0,0.7878062725067139,,,,,,,,
Vanilla Offline Actor-Critic,42,0.04983619600534439,0.04983619600534439,0.9501638039946556,47.752445220947266,0.8429310329263813,0.0,18.106548309326172,-0.0,8.757062911987305,0.1894465535879135,0.7871773725183189,0.1894465535879135,3.1595993041992188,3.259206771850586,,,
LAADAN-AC,42,0.7322443127632141,0.7322443127632141,0.2677556872367859,25.202152252197266,0.0,0.9978345632553101,0.9168972969055176,-0.0,0.5709724426269531,0.7321617603302002,0.0,0.7321617603302002,0.004600054118782282,0.3403753638267517,,,
Post-hoc Masked VOAC,42,0.04798941686749458,0.04798941686749458,0.9520105831325054,47.77199935913086,0.0,0.043308794498443604,17.232873916625977,-0.0,8.203462600708008,0.4377511739730835,0.0,0.4377511739730835,1.5908939838409424,1.5737988948822021,0.9793754797428846,0.7768096080118266,0.7
Behavior Cloning,43,0.73314368724823,0.73314368724823,0.26685631275177,25.224687576293945,0.0,1.0,0.9083240628242493,-0.0,0.5642727613449097,0.7247326374053955,0.009146472244900297,0.7247326374053955,0.29597100615501404,0.018180489540100098,,,
CQL-regularised fitted-Q,43,0.7372021675109863,0.7372021675109863,0.26279783248901367,25.30523681640625,0.0017473185121150364,0.9883066415786743,1.0697314739227295,-0.0,0.6103265881538391,,,,,,,,
Vanilla Offline Actor-Critic,43,0.012158788740634918,0.012158788740634918,0.9878412112593651,49.404991149902344,0.7419954657560499,0.0017323517240583897,18.031749725341797,-0.0,7.8409104347229,0.1799010932445526,0.7795769960460023,0.1799010932445526,3.150489568710327,3.3696861267089844,,,
LAADAN-AC,43,0.733410120010376,0.733410120010376,0.266589879989624,25.25855255126953,0.0,0.998700737953186,0.913251519203186,-0.0,0.5655720233917236,0.7332709431648254,0.0,0.7332709431648254,0.00386308366432786,0.3272070586681366,,,
Post-hoc Masked VOAC,43,0.04272948578000069,0.04272948578000069,0.9572705142199993,48.073997497558594,0.0,0.049805112183094025,17.066478729248047,-0.0,7.192863464355469,0.42904132604599,0.0,0.42904132604599,1.5672959089279175,1.6983880996704102,0.9857677929103374,0.7756903430039529,0.66
Behavior Cloning,44,0.73314368724823,0.73314368724823,0.26685631275177,25.224687576293945,0.0,1.0,0.9083240628242493,-0.0,0.5642727613449097,0.7249733209609985,0.009014695858444588,0.7249733209609985,0.28813135623931885,0.017987500876188278,,,
CQL-regularised fitted-Q,44,0.7347374558448792,0.7347374558448792,0.26526254415512085,25.30458641052246,0.003663531703188788,0.9887397289276123,1.080337643623352,-0.0,0.6171360015869141,,,,,,,,
Vanilla Offline Actor-Critic,44,0.03778412565588951,0.03778412565588951,0.9622158743441105,48.265167236328125,0.7766405868156173,0.0012992637930437922,18.088979721069336,-0.0,8.321442604064941,0.20433644950389862,0.7813880459528181,0.20433644950389862,3.165008783340454,3.229914665222168,,,
LAADAN-AC,44,0.7322443127632141,0.7322443127632141,0.2677556872367859,25.202152252197266,0.0,0.9978345632553101,0.9168972969055176,-0.0,0.5709724426269531,0.7321569919586182,0.0,0.7321569919586182,0.004741139709949493,0.3352580964565277,,,
Post-hoc Masked VOAC,44,0.045842450112104416,0.045842450112104416,0.9541575498878956,47.87311553955078,0.0,0.05067128688097,17.06962013244629,-0.0,8.197718620300293,0.4301823675632477,0.0,0.4301823675632477,1.576025366783142,1.592439889907837,0.9832715447992086,0.7667073186289053,0.675
Behavior Cloning,45,0.73314368724823,0.73314368724823,0.26685631275177,25.224687576293945,0.0,1.0,0.9083240628242493,-0.0,0.5642727613449097,0.7260587811470032,0.00843205787323499,0.7260587811470032,0.27460914850234985,0.0175170935690403,,,
CQL-regularised fitted-Q,45,0.735316276550293,0.735316276550293,0.26468372344970703,25.361541748046875,0.0027282370466298837,0.9887397289276123,1.0711596012115479,-0.0,0.5704256296157837,,,,,,,,
Vanilla Offline Actor-Critic,45,0.03984777629375458,0.03984777629375458,0.9601522237062454,48.209716796875,0.7620892826396309,0.0034647034481167793,18.039260864257812,-0.0,5.928445816040039,0.18857747316360474,0.7833493267075311,0.18857747316360474,3.1570534706115723,3.219872236251831,,,
LAADAN-AC,45,0.733410120010376,0.733410120010376,0.266589879989624,25.25855255126953,0.0,0.998700737953186,0.913251519203186,-0.0,0.5655720233917236,0.7332741022109985,0.0,0.7332741022109985,0.004209265112876892,0.3298410177230835,,,
