epoch,critic_loss,actor_loss,q1_loss,q2_loss,cost_loss,cql_q1,cql_q2,expected_immediate_cost,expected_cost_to_go,cost_budget,lagrange,expert_kl,smoothness,avg_return,survival_rate,mortality_rate,avg_length,inadmissibility_rate,expert_argmax_match,mean_kl_to_expert,policy_entropy,mean_action_deviation_from_expert,soft_survival_rate,soft_inadmissibility_rate,soft_avg_return,soft_policy_entropy,soft_mean_kl_to_expert,trajectory_mean_action_jump,trajectory_normalised_action_jump
1,0.9800427556037903,0.05780338495969772,0.019658822566270828,0.018302565440535545,0.001631421153433621,0.9400143623352051,0.9408854842185974,0.0,0.026080207899212837,0.0,0.0,0.06349098682403564,0.0,,,,,,,,,,,,,,,,
2,0.9650876522064209,0.03734331578016281,0.013247140683233738,0.012784753926098347,0.001149132614955306,0.937707781791687,0.9381054043769836,0.0,0.02097170054912567,0.0,0.0,0.06186357140541077,0.0,,,,,,,,,,,,,,,,
3,0.9557791948318481,0.02489561028778553,0.00933806411921978,0.009253098629415035,0.0007689495687372983,0.9363858103752136,0.936452329158783,0.0,0.015906527638435364,0.0,0.0,0.06124233081936836,0.0,,,,,,,,,,,,,,,,
4,0.9509835839271545,0.021001482382416725,0.007594739086925983,0.00751013308763504,0.0007234485819935799,0.9353153109550476,0.9349952936172485,0.0,0.012973210774362087,0.0,0.0,0.060305919498205185,0.0,,,,,,,,,,,,,,,,
5,0.9490271806716919,0.019771797582507133,0.006895093247294426,0.00668001314625144,0.000649069610517472,0.9352360367774963,0.9343699812889099,0.0,0.009163709357380867,0.0,0.0,0.05946056917309761,0.0,,,,,,,,,,,,,,,,
6,0.948642909526825,0.01845652423799038,0.007026004604995251,0.006783114280551672,0.0006002053269185126,0.9349532723426819,0.9335139393806458,0.0,0.007238168269395828,0.0,0.0,0.05899767950177193,0.0,,,,,,,,,,,,,,,,
7,0.9475758075714111,0.01357094943523407,0.006658391561359167,0.006838319823145866,0.0005471978220157325,0.9341587424278259,0.9329049587249756,0.0,0.005820076912641525,0.0,0.0,0.05841115862131119,0.0,,,,,,,,,,,,,,,,
8,0.9467124938964844,0.005688629113137722,0.00619066646322608,0.006859777960926294,0.0004808533703908324,0.9339085221290588,0.9324539303779602,0.0,0.004922304768115282,0.0,0.0,0.05857538431882858,0.0,,,,,,,,,,,,,,,,
9,0.9455586671829224,-2.280229819007218e-05,0.0057951402850449085,0.00672117481008172,0.0004538969078566879,0.9331883788108826,0.931988537311554,0.0,0.003730230964720249,0.0,0.0,0.05873457342386246,0.0,,,,,,,,,,,,,,,,
10,0.9437199234962463,-0.006839299108833075,0.005153427366167307,0.006329887546598911,0.00041956439963541925,0.9324231147766113,0.9312109351158142,0.0,0.003588760271668434,0.0,0.0,0.05953405052423477,0.0,,,,,,,,,,,,,,,,
11,0.9424490332603455,-0.012280108407139778,0.004687318578362465,0.005903875920921564,0.0003985506482422352,0.9319522380828857,0.930966317653656,0.0,0.002689548535272479,0.0,0.0,0.059971753507852554,0.0,,,,,,,,,,,,,,,,
12,0.941005289554596,-0.014934448525309563,0.004452855791896582,0.0053019095212221146,0.0003853189409710467,0.9311143159866333,0.9306161403656006,0.0,0.0026403022930026054,0.0,0.0,0.060863398015499115,0.0,,,,,,,,,,,,,,,,
13,0.9399251341819763,-0.01794530265033245,0.004212814383208752,0.004812052473425865,0.0003712635370902717,0.9305955171585083,0.9304625391960144,0.0,0.0020683035254478455,0.0,0.0,0.062002796679735184,0.0,,,,,,,,,,,,,,,,
14,0.939497172832489,-0.019950775429606438,0.004166994243860245,0.00457781134173274,0.0003505573549773544,0.9303540587425232,0.9304494857788086,0.0,0.002136971103027463,0.0,0.0,0.06392566114664078,0.0,,,,,,,,,,,,,,,,
15,0.9388548135757446,-0.020046604797244072,0.004102603066712618,0.004394931253045797,0.00033730591530911624,0.9300243854522705,0.930015504360199,0.0,0.001976555213332176,0.0,0.0,0.06598549336194992,0.0,,,,,,,,,,,,,,,,
