method,seed,avg_return,survival_rate,mortality_rate,avg_length,inadmissibility_rate,expert_argmax_match,mean_kl_to_expert,policy_entropy,mean_action_deviation_from_expert,soft_survival_rate,soft_inadmissibility_rate,soft_avg_return,soft_policy_entropy,soft_mean_kl_to_expert,max_inadmissible_probability_mass_before_mask,mean_inadmissible_probability_mass_before_mask,state_mask_intervention_rate
Behavior Cloning,42,0.7825562953948975,0.7825562953948975,0.21744370460510254,8.9379243850708,0.0,0.9530558586120605,3.9469168186187744,-0.0,1.3234694004058838,0.7786492705345154,0.006599098143159431,0.7786492705345154,0.5264360308647156,0.0057610077783465385,,,
CQL-regularised fitted-Q,42,0.7737001776695251,0.7737001776695251,0.22629982233047485,10.802032470703125,0.0,0.8488852977752686,4.125185012817383,-0.0,1.4064960479736328,,,,,,,,
Vanilla Offline Actor-Critic,42,0.7630417346954346,0.7630417346954346,0.23695826530456543,13.115105628967285,0.23557405605000223,0.07726311683654785,16.508386611938477,-0.0,11.057044982910156,0.7756873965263367,0.8472223260826149,0.7756873965263367,3.209613800048828,2.7726049423217773,,,
LAADAN-AC,42,0.7929698824882507,0.7929698824882507,0.20703011751174927,8.672937393188477,0.0,0.9514222741127014,3.9558145999908447,-0.0,1.420835256576538,0.7910413146018982,0.0,0.7910413146018982,0.13928551971912384,0.4788035452365875,,,
Post-hoc Masked VOAC,42,0.7651910781860352,0.7651910781860352,0.23480892181396484,13.208675384521484,0.0,0.6969056129455566,5.036893844604492,-0.0,2.6839566230773926,0.7747185230255127,0.0,0.7747185230255127,0.513217031955719,0.08814755827188492,0.984103612601757,0.8641557906237783,0.4215686274509804
Behavior Cloning,43,0.7849230766296387,0.7849230766296387,0.21507692337036133,9.070372581481934,0.0,0.9513261914253235,3.9506218433380127,-0.0,1.2657109498977661,0.7782371640205383,0.0067748822320797385,0.7782372236251831,0.5266627073287964,0.0062408363446593285,,,
CQL-regularised fitted-Q,43,0.7778558135032654,0.7778558135032654,0.22214418649673462,10.378379821777344,0.0006788847217831899,0.867912769317627,4.087150573730469,-0.0,1.3208411931991577,,,,,,,,
Vanilla Offline Actor-Critic,43,0.763338565826416,0.763338565826416,0.23666143417358398,13.126299858093262,0.23528213940168075,0.07750336825847626,16.51074981689453,-0.0,12.16714096069336,0.7757691740989685,0.8473171808812274,0.7757692337036133,3.2101330757141113,2.7452242374420166,,,
LAADAN-AC,43,0.7940747141838074,0.7940747141838074,0.20592528581619263,8.701140403747559,0.0,0.9547857046127319,3.951958656311035,-0.0,1.4233516454696655,0.7914621233940125,0.0,0.7914621233940125,0.13989639282226562,0.47442322969436646,,,
Post-hoc Masked VOAC,43,0.7642730474472046,0.7642730474472046,0.2357269525527954,13.234182357788086,0.0,0.6968095302581787,5.044654369354248,-0.0,2.6860368251800537,0.7751127481460571,0.0,0.7751127481460571,0.5143312811851501,0.08477513492107391,0.9843405559659004,0.8642591420829776,0.42296918767507
Behavior Cloning,44,0.7833705544471741,0.7833705544471741,0.21662944555282593,8.7759428024292,0.0,0.9551220536231995,3.948913335800171,-0.0,1.3563838005065918,0.7785909175872803,0.0067362930619836,0.778590977191925,0.5255268216133118,0.0063416361808776855,,,
CQL-regularised fitted-Q,44,0.7776238322257996,0.7776238322257996,0.22237616777420044,10.48051643371582,0.0006670103959141255,0.8627233505249023,4.10483980178833,-0.0,1.3609671592712402,,,,,,,,
Vanilla Offline Actor-Critic,44,0.763266921043396,0.763266921043396,0.236733078956604,13.104799270629883,0.23643021827941857,0.0770709216594696,16.511098861694336,-0.0,11.56051254272461,0.775836169719696,0.8450544111369828,0.775836169719696,3.2098183631896973,2.7495272159576416,,,
LAADAN-AC,44,0.7928001284599304,0.7928001284599304,0.20719987154006958,8.656521797180176,0.0,0.9567075967788696,3.950505256652832,-0.0,1.4358328580856323,0.7912879586219788,0.0,0.7912879586219788,0.14064891636371613,0.4758337736129761,,,
Post-hoc Masked VOAC,44,0.7668065428733826,0.7668065428733826,0.23319345712661743,13.203801155090332,0.0,0.6989717483520508,5.015156269073486,-0.0,2.66542911529541,0.7752326726913452,0.0,0.7752326726913452,0.5132729411125183,0.08682015538215637,0.9809396862983704,0.8622213198623362,0.42436974789915966
Behavior Cloning,45,0.7838976979255676,0.7838976979255676,0.21610230207443237,8.922442436218262,0.0,0.9574283957481384,3.9433727264404297,-0.0,1.3337448835372925,0.7781065106391907,0.006617640855472159,0.7781065106391907,0.5262355804443359,0.005468168295919895,,,
CQL-regularised fitted-Q,45,0.7768391370773315,0.7768391370773315,0.22316086292266846,10.546865463256836,0.0008118945858037524,0.8472515940666199,4.115934371948242,-0.0,1.4080101251602173,,,,,,,,
Vanilla Offline Actor-Critic,45,0.7629408836364746,0.7629408836364746,0.2370591163635254,13.11550235748291,0.23637101447209877,0.07750336825847626,16.511089324951172,-0.0,11.647624969482422,0.7757959365844727,0.8467008604507957,0.7757959365844727,3.210294246673584,2.765377998352051,,,
