model,initial_state,step,state,action,admissible,reward,next_state
Vanilla Offline Actor-Critic,559,0,559,20,0,0.09570956975221634,52
Vanilla Offline Actor-Critic,559,1,52,15,0,0.10397553443908691,646
Vanilla Offline Actor-Critic,559,2,646,15,0,0.05078125,279
Vanilla Offline Actor-Critic,559,3,279,20,1,0.0,252
Vanilla Offline Actor-Critic,559,4,252,20,1,0.012820512987673283,252
Vanilla Offline Actor-Critic,559,5,252,20,1,0.012820512987673283,602
Vanilla Offline Actor-Critic,559,6,602,20,1,0.01600000075995922,277
Vanilla Offline Actor-Critic,559,7,277,20,1,0.027522936463356018,11
Vanilla Offline Actor-Critic,559,8,11,20,0,0.09131748974323273,714
LAADAN-AC,559,0,559,0,1,0.09570956975221634,559
LAADAN-AC,559,1,559,0,1,0.09570956975221634,624
LAADAN-AC,559,2,624,0,1,0.11235955357551575,352
LAADAN-AC,559,3,352,20,1,0.00917431153357029,460
LAADAN-AC,559,4,460,20,1,0.01785714365541935,253
LAADAN-AC,559,5,253,5,1,0.1315789520740509,412
LAADAN-AC,559,6,412,5,1,0.0941176488995552,714
