model,step,visited_count,inadmissible_count,inadmissible_rate
LAADAN-AC,0,2000,0,0.0
LAADAN-AC,1,1660,0,0.0
LAADAN-AC,2,1477,0,0.0
LAADAN-AC,3,1306,0,0.0
LAADAN-AC,4,1167,0,0.0
LAADAN-AC,5,1035,0,0.0
LAADAN-AC,6,924,0,0.0
LAADAN-AC,7,817,0,0.0
LAADAN-AC,8,731,0,0.0
LAADAN-AC,9,659,0,0.0
LAADAN-AC,10,594,0,0.0
LAADAN-AC,11,521,0,0.0
LAADAN-AC,12,461,0,0.0
LAADAN-AC,13,417,0,0.0
LAADAN-AC,14,369,0,0.0
LAADAN-AC,15,338,0,0.0
LAADAN-AC,16,305,0,0.0
LAADAN-AC,17,269,0,0.0
LAADAN-AC,18,240,0,0.0
LAADAN-AC,19,209,0,0.0
LAADAN-AC,20,189,0,0.0
LAADAN-AC,21,173,0,0.0
LAADAN-AC,22,150,0,0.0
LAADAN-AC,23,138,0,0.0
LAADAN-AC,24,125,0,0.0
LAADAN-AC,25,110,0,0.0
LAADAN-AC,26,100,0,0.0
LAADAN-AC,27,91,0,0.0
LAADAN-AC,28,75,0,0.0
LAADAN-AC,29,66,0,0.0
LAADAN-AC,30,58,0,0.0
LAADAN-AC,31,52,0,0.0
LAADAN-AC,32,49,0,0.0
LAADAN-AC,33,43,0,0.0
LAADAN-AC,34,36,0,0.0
LAADAN-AC,35,33,0,0.0
LAADAN-AC,36,33,0,0.0
LAADAN-AC,37,30,0,0.0
LAADAN-AC,38,26,0,0.0
LAADAN-AC,39,23,0,0.0
LAADAN-AC,40,17,0,0.0
LAADAN-AC,41,15,0,0.0
LAADAN-AC,42,13,0,0.0
LAADAN-AC,43,8,0,0.0
LAADAN-AC,44,8,0,0.0
LAADAN-AC,45,8,0,0.0
LAADAN-AC,46,7,0,0.0
LAADAN-AC,47,6,0,0.0
LAADAN-AC,48,6,0,0.0
LAADAN-AC,49,5,0,0.0
Vanilla Offline Actor-Critic,0,2000,1277,0.6385
Vanilla Offline Actor-Critic,1,1684,685,0.40676959619952496
Vanilla Offline Actor-Critic,2,1535,485,0.31596091205211724
Vanilla Offline Actor-Critic,3,1414,363,0.2567185289957567
Vanilla Offline Actor-Critic,4,1323,283,0.21390778533635676
Vanilla Offline Actor-Critic,5,1227,241,0.19641401792991034
Vanilla Offline Actor-Critic,6,1151,206,0.1789748045178106
Vanilla Offline Actor-Critic,7,1081,202,0.1868640148011101
Vanilla Offline Actor-Critic,8,1014,172,0.16962524654832348
Vanilla Offline Actor-Critic,9,955,179,0.187434554973822
Vanilla Offline Actor-Critic,10,886,152,0.17155756207674944
Vanilla Offline Actor-Critic,11,836,142,0.16985645933014354
Vanilla Offline Actor-Critic,12,783,143,0.1826309067688378
Vanilla Offline Actor-Critic,13,735,138,0.18775510204081633
Vanilla Offline Actor-Critic,14,674,120,0.17804154302670624
Vanilla Offline Actor-Critic,15,632,103,0.1629746835443038
Vanilla Offline Actor-Critic,16,589,90,0.15280135823429541
Vanilla Offline Actor-Critic,17,556,99,0.17805755395683454
Vanilla Offline Actor-Critic,18,522,96,0.1839080459770115
Vanilla Offline Actor-Critic,19,487,78,0.1601642710472279
Vanilla Offline Actor-Critic,20,453,76,0.16777041942604856
Vanilla Offline Actor-Critic,21,422,74,0.17535545023696683
Vanilla Offline Actor-Critic,22,395,61,0.15443037974683543
Vanilla Offline Actor-Critic,23,367,51,0.13896457765667575
Vanilla Offline Actor-Critic,24,353,52,0.14730878186968838
Vanilla Offline Actor-Critic,25,329,44,0.1337386018237082
Vanilla Offline Actor-Critic,26,316,36,0.11392405063291139
Vanilla Offline Actor-Critic,27,301,41,0.1362126245847176
Vanilla Offline Actor-Critic,28,277,42,0.15162454873646208
Vanilla Offline Actor-Critic,29,257,41,0.15953307392996108
Vanilla Offline Actor-Critic,30,242,40,0.1652892561983471
Vanilla Offline Actor-Critic,31,221,30,0.13574660633484162
Vanilla Offline Actor-Critic,32,212,28,0.1320754716981132
Vanilla Offline Actor-Critic,33,205,33,0.16097560975609757
Vanilla Offline Actor-Critic,34,194,28,0.14432989690721648
Vanilla Offline Actor-Critic,35,186,33,0.1774193548387097
Vanilla Offline Actor-Critic,36,176,39,0.2215909090909091
Vanilla Offline Actor-Critic,37,161,36,0.2236024844720497
Vanilla Offline Actor-Critic,38,149,33,0.2214765100671141
Vanilla Offline Actor-Critic,39,139,30,0.2158273381294964
Vanilla Offline Actor-Critic,40,126,18,0.14285714285714285
Vanilla Offline Actor-Critic,41,119,21,0.17647058823529413
Vanilla Offline Actor-Critic,42,115,18,0.1565217391304348
Vanilla Offline Actor-Critic,43,110,15,0.13636363636363635
Vanilla Offline Actor-Critic,44,103,18,0.17475728155339806
Vanilla Offline Actor-Critic,45,96,13,0.13541666666666666
Vanilla Offline Actor-Critic,46,90,13,0.14444444444444443
Vanilla Offline Actor-Critic,47,82,12,0.14634146341463414
Vanilla Offline Actor-Critic,48,79,17,0.21518987341772153
Vanilla Offline Actor-Critic,49,68,11,0.16176470588235295
