expert_action,voac_action,laadan_action,state_count
5,5,5,63
0,20,0,62
0,12,0,52
5,20,5,46
15,5,15,42
20,20,20,34
10,5,10,34
10,20,10,32
0,5,0,31
20,15,20,29
5,15,5,26
20,5,20,24
0,15,0,21
0,23,0,16
10,12,10,13
24,20,24,12
0,21,0,12
5,12,5,11
0,24,0,11
24,23,24,8
0,8,0,8
0,0,0,8
15,15,15,7
20,12,20,6
0,17,0,5
10,15,5,5
10,5,5,5
5,12,10,4
10,15,10,4
0,11,0,4
15,20,15,4
15,20,20,3
0,16,0,3
5,7,5,2
23,20,20,2
10,20,5,2
5,20,10,2
15,12,5,2
5,21,5,2
10,5,15,2
15,5,10,2
20,17,20,2
5,20,20,2
5,16,5,2
20,5,15,2
15,20,10,2
15,15,20,2
5,0,5,2
10,12,5,2
15,5,20,2
0,7,0,1
5,23,5,1
12,20,12,1
10,11,10,1
20,20,10,1
10,16,10,1
23,15,20,1
20,0,20,1
20,7,20,1
5,5,10,1
5,4,10,1
20,10,10,1
17,20,20,1
5,15,20,1
15,20,5,1
0,19,0,1
15,0,15,1
22,20,10,1
10,23,5,1
24,15,24,1
15,15,5,1
5,24,5,1
10,20,20,1
24,5,24,1
10,15,20,1
15,5,5,1
22,20,20,1
5,8,5,1
22,20,22,1
5,5,15,1
5,23,15,1
20,10,20,1
5,20,15,1
20,8,20,1
0,5,20,1
