model,state_id,action,admissible,q_value
Behavior Cloning,357,0,1,11.021706581115723
Behavior Cloning,357,1,0,4.391204833984375
Behavior Cloning,357,2,0,4.948190689086914
Behavior Cloning,357,3,0,0.7773131132125854
Behavior Cloning,357,4,0,1.7156274318695068
Behavior Cloning,357,5,0,4.1759257316589355
Behavior Cloning,357,6,0,1.8201733827590942
Behavior Cloning,357,7,0,-3.7337210178375244
Behavior Cloning,357,8,0,1.2234265804290771
Behavior Cloning,357,9,0,-3.2837445735931396
Behavior Cloning,357,10,0,1.190125823020935
Behavior Cloning,357,11,0,0.7854067087173462
Behavior Cloning,357,12,0,-2.210840940475464
Behavior Cloning,357,13,0,-3.4070420265197754
Behavior Cloning,357,14,0,-8.01937198638916
Behavior Cloning,357,15,0,0.14204150438308716
Behavior Cloning,357,16,0,-2.7605674266815186
Behavior Cloning,357,17,0,-6.153746604919434
Behavior Cloning,357,18,0,-10.8766450881958
Behavior Cloning,357,19,0,-4.859360694885254
Behavior Cloning,357,20,0,-2.094069719314575
Behavior Cloning,357,21,0,-15.806548118591309
Behavior Cloning,357,22,0,-15.283785820007324
Behavior Cloning,357,23,0,-22.878978729248047
Behavior Cloning,357,24,0,-11.972227096557617
Behavior Cloning,287,0,1,11.7168550491333
Behavior Cloning,287,1,0,1.2364051342010498
Behavior Cloning,287,2,0,1.7455037832260132
Behavior Cloning,287,3,0,0.8374104499816895
Behavior Cloning,287,4,0,2.140793800354004
Behavior Cloning,287,5,0,3.227435350418091
Behavior Cloning,287,6,0,-3.3920841217041016
Behavior Cloning,287,7,0,-3.415365219116211
Behavior Cloning,287,8,0,-2.2524428367614746
Behavior Cloning,287,9,0,-1.428087830543518
Behavior Cloning,287,10,0,0.8899231553077698
Behavior Cloning,287,11,0,-2.036198854446411
Behavior Cloning,287,12,0,-2.1977086067199707
Behavior Cloning,287,13,0,-3.727217435836792
Behavior Cloning,287,14,0,-5.605099201202393
Behavior Cloning,287,15,0,-0.02618628740310669
Behavior Cloning,287,16,0,-1.4487959146499634
Behavior Cloning,287,17,0,-8.056032180786133
Behavior Cloning,287,18,0,-9.029237747192383
Behavior Cloning,287,19,0,-2.2823212146759033
Behavior Cloning,287,20,0,-1.3775519132614136
Behavior Cloning,287,21,0,-10.407503128051758
Behavior Cloning,287,22,0,-12.223180770874023
Behavior Cloning,287,23,0,-15.85279369354248
Behavior Cloning,287,24,0,-7.73672342300415
Behavior Cloning,554,0,1,13.549600601196289
Behavior Cloning,554,1,0,6.454323768615723
Behavior Cloning,554,2,0,3.101548194885254
Behavior Cloning,554,3,0,3.8308560848236084
Behavior Cloning,554,4,0,6.099421977996826
Behavior Cloning,554,5,0,1.762629508972168
Behavior Cloning,554,6,0,-2.3810532093048096
Behavior Cloning,554,7,0,-2.5192344188690186
Behavior Cloning,554,8,0,-1.3750489950180054
Behavior Cloning,554,9,0,-1.2466357946395874
Behavior Cloning,554,10,0,0.4626091718673706
Behavior Cloning,554,11,0,1.3027063608169556
Behavior Cloning,554,12,0,-0.9603678584098816
Behavior Cloning,554,13,0,-2.9048068523406982
Behavior Cloning,554,14,0,-5.749176979064941
Behavior Cloning,554,15,0,-2.0230517387390137
Behavior Cloning,554,16,0,-0.6010594964027405
Behavior Cloning,554,17,0,-9.76795482635498
Behavior Cloning,554,18,0,-10.794885635375977
Behavior Cloning,554,19,0,-3.320563316345215
Behavior Cloning,554,20,0,-2.172689199447632
Behavior Cloning,554,21,0,-15.554669380187988
Behavior Cloning,554,22,0,-15.750411987304688
Behavior Cloning,554,23,0,-21.55327606201172
Behavior Cloning,554,24,0,-9.825655937194824
Behavior Cloning,285,0,0,-5.368776798248291
Behavior Cloning,285,1,0,-13.103757858276367
Behavior Cloning,285,2,0,-12.679551124572754
Behavior Cloning,285,3,0,-12.317852973937988
Behavior Cloning,285,4,0,-11.150049209594727
Behavior Cloning,285,5,0,5.452429294586182
Behavior Cloning,285,6,0,-5.855617523193359
Behavior Cloning,285,7,0,-5.428517818450928
Behavior Cloning,285,8,0,-4.6934285163879395
Behavior Cloning,285,9,0,-8.21812629699707
Behavior Cloning,285,10,1,7.146205425262451
Behavior Cloning,285,11,0,-3.9915058612823486
